Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	169,89 	169,89 	169,89 	169,89 	- 	0 	0.46%
26/01/2026 	169,11 	169,11 	169,11 	169,11 	- 	0 	-0.13%
23/01/2026 	169.33 	169.33 	169.33 	169.33 	- 	0 	0.52%
22/01/2026 	168.46 	168.46 	168.46 	168.46 	- 	0 	0.22%
21/01/2026 	168,09 	168,09 	168,09 	168,09 	- 	0 	0.52%
20/01/2026 	167,22 	167,22 	167,22 	167,22 	- 	0 	-0.27%
19/01/2026 	167.68 	167.68 	167.68 	167.68 	- 	0 	0.33%
16/01/2026 	167.13 	167.13 	167.13 	167.13 	- 	0 	0.46%
15/01/2026 	166,36 	166,36 	166,36 	166,36 	- 	0 	0.69%
14/01/2026 	165,22 	165,22 	165,22 	165,22 	- 	0 	-0.10%
13/01/2026 	165.38 	165.38 	165.38 	165.38 	- 	0 	0.21%
12/01/2026 	165.04 	165.04 	165.04 	165.04 	- 	0 	0.67%
09/01/2026 	163,94 	163,94 	163,94 	163,94 	- 	0 	-0.39%
08/01/2026 	164,58 	164,58 	164,58 	164,58 	- 	0 	-0.07%
07/01/2026 	164,70 	164,70 	164,70 	164,70 	- 	0 	0.37%
06/01/2026 	164,10 	164,10 	164,10 	164,10 	- 	0 	0.76%
05/01/2026 	162.86 	162.86 	162.86 	162.86 	- 	0 	-1.49%
02/01/2026 	165,32 	165,32 	165,32 	165,32 	- 	0 	-0.55%
01/01/2026 	166.24 	166.24 	166.24 	166.24 	- 	0 	0.00%
31/12/2025 	166.24 	166.24 	166.24 	166.24 	- 	0 	1.97%
30/12/2025 	163.03 	163.03 	163.03 	163.03 	- 	0 	-0.14%
29/12/2025 	163.26 	163.26 	163.26 	163.26 	- 	0 	-0.04%
26/12/2025 	163.33 	163.33 	163.33 	163.33 	- 	0 	0.06%
25/12/2025 	163,24 	163,24 	163,24 	163,24 	- 	0 	0.00%
24/12/2025 	163,24 	163,24 	163,24 	163,24 	- 	0 	0.21%
23/12/2025 	162,89 	162,89 	162,89 	162,89 	- 	0 	-0.46%
22/12/2025 	163,64 	163,64 	163,64 	163,64 	- 	0 	-0.75%
19/12/2025 	164,88 	164,88 	164,88 	164,88 	- 	0 	0.63%
18/12/2025 	163,84 	163,84 	163,84 	163,84 	- 	0 	-1.09%
17/12/2025 	165,64 	165,64 	165,64 	165,64 	- 	0 	0.07%
16/12/2025 	165.52 	165.52 	165.52 	165.52 	- 	0 	-0.39%
15/12/2025 	166,17 	166,17 	166,17 	166,17 	- 	0 	-0.29%
12/12/2025 	166.65 	166.65 	166.65 	166.65 	- 	0 	0.01%
11/12/2025 	166.63 	166.63 	166.63 	166.63 	- 	0 	-0.40%
10/12/2025 	167.30 	167.30 	167.30 	167.30 	- 	0 	-0.39%
09/12/2025 	167.96 	167.96 	167.96 	167.96 	- 	0 	-0.72%
08/12/2025 	169,17 	169,17 	169,17 	169,17 	- 	0 	-0.01%
05/12/2025 	169.18 	169.18 	169.18 	169.18 	- 	0 	-0.22%
04/12/2025 	169,56 	169,56 	169,56 	169,56 	- 	0 	0.31%
03/12/2025 	169,03 	169,03 	169,03 	169,03 	- 	0 	0.75%
02/12/2025 	167.78 	167.78 	167.78 	167.78 	- 	0 	-1.24%
01/12/2025 	169,89 	169,89 	169,89 	169,89 	- 	0 	2.62%
28/11/2025 	165,55 	165,55 	165,55 	165,55 	- 	0 	-0.32%
27/11/2025 	166.08 	166.08 	166.08 	166.08 	- 	0 	-0.11%
26/11/2025 	166.26 	166.26 	166.26 	166.26 	- 	0 	0.87%
25/11/2025 	164.82 	164.82 	164.82 	164.82 	- 	0 	0.44%
24/11/2025 	164,09 	164,09 	164,09 	164,09 	- 	0 	-0.59%
21/11/2025 	165.06 	165.06 	165.06 	165.06 	- 	0 	0.02%
20/11/2025 	165.02 	165.02 	165.02 	165.02 	- 	0 	0.38%
19/11/2025 	164,39 	164,39 	164,39 	164,39 	- 	0 	0.46%
18/11/2025 	163.63 	163.63 	163.63 	163.63 	- 	0 	-0.59%
17/11/2025 	164,60 	164,60 	164,60 	164,60 	- 	0 	1.04%
14/11/2025 	162.91 	162.91 	162.91 	162.91 	- 	0 	-0.58%
13/11/2025 	163.86 	163.86 	163.86 	163.86 	- 	0 	0.01%
12/11/2025 	163,85 	163,85 	163,85 	163,85 	- 	0 	-0.27%
11/11/2025 	164.29 	164.29 	164.29 	164.29 	- 	0 	0.44%
10/11/2025 	163.57 	163.57 	163.57 	163.57 	- 	0 	-0.21%
07/11/2025 	163,92 	163,92 	163,92 	163,92 	- 	0 	-0.48%
06/11/2025 	164.71 	164.71 	164.71 	164.71 	- 	0 	0.86%
05/11/2025 	163.30 	163.30 	163.30 	163.30 	- 	0 	-0.90%
04/11/2025 	164.78 	164.78 	164.78 	164.78 	- 	0 	-0.65%
03/11/2025 	165.86 	165.86 	165.86 	165.86 	- 	0 	-1.15%
31/10/2025 	167.79 	167.79 	167.79 	167.79 	- 	0 	-0.81%
