Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	356.47 	356.47 	356.47 	356.47 	- 	422 766 170 113 	0.41%
26/01/2026 	355.01 	355.01 	355.01 	355.01 	- 	371 165 247 300 	-0.37%
23/01/2026 	356,33 	356,33 	356,33 	356,33 	- 	416 233 515 366 	0.50%
22/01/2026 	354,56 	354,56 	354,56 	354,56 	- 	316 2011 998 021 	0.16%
21/01/2026 	353,99 	353,99 	353,99 	353,99 	- 	464 005 941 467 	0.72%
20/01/2026 	351.47 	351.47 	351.47 	351.47 	- 	236 828 405 674 	-0.48%
19/01/2026 	353,18 	353,18 	353,18 	353,18 	- 	262 920 699 722 	0.64%
16/01/2026 	350,94 	350,94 	350,94 	350,94 	- 	259 866 902 588 	0.66%
15/01/2026 	348,65 	348,65 	348,65 	348,65 	- 	265 552 264 614 	0.73%
14/01/2026 	346,13 	346,13 	346,13 	346,13 	- 	494 104 006 533 	0.02%
13/01/2026 	346.06 	346.06 	346.06 	346.06 	- 	237 033 488 314 	0.46%
12/01/2026 	344,48 	344,48 	344,48 	344,48 	- 	152 282 424 087 	0.74%
09/01/2026 	341,95 	341,95 	341,95 	341,95 	- 	356 431 018 624 	-0.49%
08/01/2026 	343,62 	343,62 	343,62 	343,62 	- 	192 728 122 810 	-0.03%
07/01/2026 	343,73 	343,73 	343,73 	343,73 	- 	190 361 410 689 	0.46%
06/01/2026 	342,14 	342,14 	342,14 	342,14 	- 	152 200 115 097 	0.67%
05/01/2026 	339,85 	339,85 	339,85 	339,85 	- 	156 533 391 210 	-1,34%
02/01/2026 	344,48 	344,48 	344,48 	344,48 	- 	310 334 127 217 	-0.37%
01/01/2026 	345,75 	345,75 	345,75 	345,75 	- 	316 237 512 644 	0.00%
31/12/2025 	345,75 	345,75 	345,75 	345,75 	- 	316 237 512 644 	1.70%
30/12/2025 	339,96 	339,96 	339,96 	339,96 	- 	849 877 293 732 	-0.16%
29/12/2025 	340,51 	340,51 	340,51 	340,51 	- 	860 549 627 845 	-0.10%
26/12/2025 	340,86 	340,86 	340,86 	340,86 	- 	1 189 356 184 634 	0.33%
25/12/2025 	339,75 	339,75 	339,75 	339,75 	- 	190 781 369 138 	0.00%
24/12/2025 	339,75 	339,75 	339,75 	339,75 	- 	190 781 369 138 	0.05%
23/12/2025 	339.58 	339.58 	339.58 	339.58 	- 	322 994 978 679 	-0.35%
22/12/2025 	340,78 	340,78 	340,78 	340,78 	- 	297 543 432 199 	-0.89%
19/12/2025 	343,83 	343,83 	343,83 	343,83 	- 	1 147 368 420 388 	0.34%
18/12/2025 	342.66 	342.66 	342.66 	342.66 	- 	826 815 990 825 	-1.03%
17/12/2025 	346,23 	346,23 	346,23 	346,23 	- 	221 833 864 985 	0.08%
16/12/2025 	345,97 	345,97 	345,97 	345,97 	- 	324 086 994 099 	-0.34%
15/12/2025 	347,14 	347,14 	347,14 	347,14 	- 	207 160 334 550 	-0.19%
12/12/2025 	347.81 	347.81 	347.81 	347.81 	- 	134 824 744 241 	0.13%
11/12/2025 	347,37 	347,37 	347,37 	347,37 	- 	221 047 324 524 	-0.56%
10/12/2025 	349,31 	349,31 	349,31 	349,31 	- 	268 974 460 821 	-0.36%
09/12/2025 	350,57 	350,57 	350,57 	350,57 	- 	171 609 200 982 	-0.62%
08/12/2025 	352.77 	352.77 	352.77 	352.77 	- 	251 207 345 201 	-0.03%
05/12/2025 	352,87 	352,87 	352,87 	352,87 	- 	390 093 324 017 	-0.12%
04/12/2025 	353,29 	353,29 	353,29 	353,29 	- 	618 356 826 777 	0.25%
