Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	146.08 	146.08 	146.08 	146.08 	- 	0 	0.60%
26/01/2026 	145,21 	145,21 	145,21 	145,21 	- 	0 	-0.40%
23/01/2026 	145,79 	145,79 	145,79 	145,79 	- 	0 	0.19%
22/01/2026 	145.52 	145.52 	145.52 	145.52 	- 	0 	-0.20%
21/01/2026 	145.81 	145.81 	145.81 	145.81 	- 	0 	0.68%
20/01/2026 	144.83 	144.83 	144.83 	144.83 	- 	0 	-0.37%
19/01/2026 	145,37 	145,37 	145,37 	145,37 	- 	0 	0.92%
16/01/2026 	144.05 	144.05 	144.05 	144.05 	- 	0 	0.49%
15/01/2026 	143,35 	143,35 	143,35 	143,35 	- 	0 	0.20%
14/01/2026 	143,06 	143,06 	143,06 	143,06 	- 	0 	0.08%
13/01/2026 	142.94 	142.94 	142.94 	142.94 	- 	0 	-0.06%
12/01/2026 	143,03 	143,03 	143,03 	143,03 	- 	0 	0.70%
09/01/2026 	142.04 	142.04 	142.04 	142.04 	- 	0 	-0.28%
08/01/2026 	142.44 	142.44 	142.44 	142.44 	- 	0 	-0.90%
07/01/2026 	143,73 	143,73 	143,73 	143,73 	- 	0 	0.40%
06/01/2026 	143,16 	143,16 	143,16 	143,16 	- 	0 	1.24%
05/01/2026 	141.41 	141.41 	141.41 	141.41 	- 	0 	-1.44%
02/01/2026 	143,48 	143,48 	143,48 	143,48 	- 	0 	-0.53%
01/01/2026 	144.25 	144.25 	144.25 	144.25 	- 	0 	0.00%
31/12/2025 	144.25 	144.25 	144.25 	144.25 	- 	0 	1.47%
30/12/2025 	142.16 	142.16 	142.16 	142.16 	- 	0 	0.99%
29/12/2025 	140.77 	140.77 	140.77 	140.77 	- 	0 	-0.15%
26/12/2025 	140,98 	140,98 	140,98 	140,98 	- 	0 	0.82%
25/12/2025 	139.83 	139.83 	139.83 	139.83 	- 	0 	0.00%
24/12/2025 	139.83 	139.83 	139.83 	139.83 	- 	0 	0.22%
23/12/2025 	139,52 	139,52 	139,52 	139,52 	- 	0 	-0.14%
22/12/2025 	139.72 	139.72 	139.72 	139.72 	- 	0 	-1,32%
19/12/2025 	141,59 	141,59 	141,59 	141,59 	- 	0 	0.77%
18/12/2025 	140,51 	140,51 	140,51 	140,51 	- 	0 	-1.08%
17/12/2025 	142.04 	142.04 	142.04 	142.04 	- 	0 	0.01%
16/12/2025 	142,03 	142,03 	142,03 	142,03 	- 	0 	-0.68%
15/12/2025 	143,00 	143,00 	143,00 	143,00 	- 	0 	-0.21%
12/12/2025 	143,30 	143,30 	143,30 	143,30 	- 	0 	-0.59%
11/12/2025 	144,15 	144,15 	144,15 	144,15 	- 	0 	-0.32%
10/12/2025 	144.61 	144.61 	144.61 	144.61 	- 	0 	-0.47%
09/12/2025 	145.29 	145.29 	145.29 	145.29 	- 	0 	-1.00%
08/12/2025 	146,76 	146,76 	146,76 	146,76 	- 	0 	0.14%
05/12/2025 	146,56 	146,56 	146,56 	146,56 	- 	0 	-0.67%
04/12/2025 	147,55 	147,55 	147,55 	147,55 	- 	0 	1.06%
03/12/2025 	146,00 	146,00 	146,00 	146,00 	- 	0 	1.57%
02/12/2025 	143,74 	143,74 	143,74 	143,74 	- 	0 	-1.78%
01/12/2025 	146,35 	146,35 	146,35 	146,35 	- 	0 	3.79%
28/11/2025 	141,01 	141,01 	141,01 	141,01 	- 	0 	-0.10%
27/11/2025 	141,15 	141,15 	141,15 	141,15 	- 	0 	-0.17%
26/11/2025 	141.39 	141.39 	141.39 	141.39 	- 	0 	0.11%
25/11/2025 	141.23 	141.23 	141.23 	141.23 	- 	0 	0.11%
24/11/2025 	141.07 	141.07 	141.07 	141.07 	- 	0 	0.31%
21/11/2025 	140,64 	140,64 	140,64 	140,64 	- 	0 	-0.74%
20/11/2025 	141.69 	141.69 	141.69 	141.69 	- 	0 	-0.09%
19/11/2025 	141.82 	141.82 	141.82 	141.82 	- 	0 	-0.21%
18/11/2025 	142.12 	142.12 	142.12 	142.12 	- 	0 	-0.52%
17/11/2025 	142.87 	142.87 	142.87 	142.87 	- 	0 	1.74%
14/11/2025 	140,43 	140,43 	140,43 	140,43 	- 	0 	-0.07%
13/11/2025 	140,53 	140,53 	140,53 	140,53 	- 	0 	0.35%
12/11/2025 	140,04 	140,04 	140,04 	140,04 	- 	0 	-0.41%
11/11/2025 	140,62 	140,62 	140,62 	140,62 	- 	0 	0.23%
10/11/2025 	140.30 	140.30 	140.30 	140.30 	- 	0 	0.10%
07/11/2025 	140,16 	140,16 	140,16 	140,16 	- 	0 	-0.39%
06/11/2025 	140.71 	140.71 	140.71 	140.71 	- 	0 	0.87%
05/11/2025 	139.50 	139.50 	139.50 	139.50 	- 	0 	-0.55%
04/11/2025 	140,27 	140,27 	140,27 	140,27 	- 	0 	-0.93%
03/11/2025 	141,58 	141,58 	141,58 	141,58 	- 	0 	-1.45%
31/10/2025 	143,66 	143,66 	143,66 	143,66 	- 	0 	-0.79%
