Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	233,09 	233,09 	233,09 	233,09 	- 	0 	0.34%
26/01/2026 	232.31 	232.31 	232.31 	232.31 	- 	0 	-0.44%
23/01/2026 	233,34 	233,34 	233,34 	233,34 	- 	0 	1.05%
22/01/2026 	230,92 	230,92 	230,92 	230,92 	- 	0 	0.75%
21/01/2026 	229,20 	229,20 	229,20 	229,20 	- 	0 	0.70%
20/01/2026 	227,60 	227,60 	227,60 	227,60 	- 	0 	-0.48%
19/01/2026 	228,70 	228,70 	228,70 	228,70 	- 	0 	0.62%
16/01/2026 	227,30 	227,30 	227,30 	227,30 	- 	0 	1.14%
15/01/2026 	224.74 	224.74 	224.74 	224.74 	- 	0 	1.16%
14/01/2026 	222.17 	222.17 	222.17 	222.17 	- 	0 	-0.24%
13/01/2026 	222.71 	222.71 	222.71 	222.71 	- 	0 	1.31%
12/01/2026 	219.84 	219.84 	219.84 	219.84 	- 	0 	1.32%
09/01/2026 	216,97 	216,97 	216,97 	216,97 	- 	0 	-0.98%
08/01/2026 	219,12 	219,12 	219,12 	219,12 	- 	0 	1.03%
07/01/2026 	216,89 	216,89 	216,89 	216,89 	- 	0 	0.77%
06/01/2026 	215,23 	215,23 	215,23 	215,23 	- 	0 	-0.42%
05/01/2026 	216,13 	216,13 	216,13 	216,13 	- 	0 	-0.74%
02/01/2026 	217.75 	217.75 	217.75 	217.75 	- 	0 	0.05%
01/01/2026 	217,65 	217,65 	217,65 	217,65 	- 	0 	0.00%
31/12/2025 	217,65 	217,65 	217,65 	217,65 	- 	0 	0.78%
30/12/2025 	215,96 	215,96 	215,96 	215,96 	- 	0 	-0.19%
29/12/2025 	216,38 	216,38 	216,38 	216,38 	- 	0 	0.04%
26/12/2025 	216,30 	216,30 	216,30 	216,30 	- 	0 	0.38%
25/12/2025 	215.48 	215.48 	215.48 	215.48 	- 	0 	0.00%
24/12/2025 	215.48 	215.48 	215.48 	215.48 	- 	0 	-0.11%
23/12/2025 	215.71 	215.71 	215.71 	215.71 	- 	0 	-0.52%
22/12/2025 	216.83 	216.83 	216.83 	216.83 	- 	0 	-1.19%
19/12/2025 	219,45 	219,45 	219,45 	219,45 	- 	0 	-0.26%
18/12/2025 	220,02 	220,02 	220,02 	220,02 	- 	0 	-0.20%
17/12/2025 	220,47 	220,47 	220,47 	220,47 	- 	0 	-0.04%
16/12/2025 	220,55 	220,55 	220,55 	220,55 	- 	0 	0.15%
15/12/2025 	220,21 	220,21 	220,21 	220,21 	- 	0 	0.21%
12/12/2025 	219.74 	219.74 	219.74 	219.74 	- 	0 	0.18%
11/12/2025 	219,35 	219,35 	219,35 	219,35 	- 	0 	-0.04%
10/12/2025 	219,44 	219,44 	219,44 	219,44 	- 	0 	-0.51%
09/12/2025 	220,56 	220,56 	220,56 	220,56 	- 	0 	-0.84%
08/12/2025 	222.42 	222.42 	222.42 	222.42 	- 	0 	0.02%
05/12/2025 	222.38 	222.38 	222.38 	222.38 	- 	0 	0.07%
04/12/2025 	222.22 	222.22 	222.22 	222.22 	- 	0 	0.06%
03/12/2025 	222.08 	222.08 	222.08 	222.08 	- 	0 	-0.03%
02/12/2025 	222.15 	222.15 	222.15 	222.15 	- 	0 	0.09%
01/12/2025 	221,95 	221,95 	221,95 	221,95 	- 	0 	0.39%
28/11/2025 	221.08 	221.08 	221.08 	221.08 	- 	0 	0.05%
27/11/2025 	220,98 	220,98 	220,98 	220,98 	- 	0 	0.13%
26/11/2025 	220,70 	220,70 	220,70 	220,70 	- 	0 	0.28%
25/11/2025 	220,09 	220,09 	220,09 	220,09 	- 	0 	0.31%
24/11/2025 	219,41 	219,41 	219,41 	219,41 	- 	0 	0.20%
21/11/2025 	218,98 	218,98 	218,98 	218,98 	- 	0 	0.35%
20/11/2025 	218,22 	218,22 	218,22 	218,22 	- 	0 	-0.12%
19/11/2025 	218.48 	218.48 	218.48 	218.48 	- 	0 	2.10%
18/11/2025 	213,98 	213,98 	213,98 	213,98 	- 	0 	0.84%
17/11/2025 	212.20 	212.20 	212.20 	212.20 	- 	0 	0.85%
14/11/2025 	210,41 	210,41 	210,41 	210,41 	- 	0 	0.00%
13/11/2025 	210,41 	210,41 	210,41 	210,41 	- 	0 	-0.02%
12/11/2025 	210,45 	210,45 	210,45 	210,45 	- 	0 	0.41%
11/11/2025 	209.59 	209.59 	209.59 	209.59 	- 	0 	0.61%
10/11/2025 	208,32 	208,32 	208,32 	208,32 	- 	0 	0.56%
07/11/2025 	207.16 	207.16 	207.16 	207.16 	- 	0 	-0.38%
06/11/2025 	207,96 	207,96 	207,96 	207,96 	- 	0 	0.51%
05/11/2025 	206,91 	206,91 	206,91 	206,91 	- 	0 	-0.91%
04/11/2025 	208.81 	208.81 	208.81 	208.81 	- 	0 	-0.66%
03/11/2025 	210.20 	210.20 	210.20 	210.20 	- 	0 	-1.22%
31/10/2025 	212.79 	212.79 	212.79 	212.79 	- 	0 	-0.44%
30/10/2025 	213,74 	213,74 	213,74 	213,74 	- 	0 	0.26%
