No.	Symbol	Company Name	Market Cap Stock Price	% Change	Revenue
1	ATW	Attijariwafa bank SA	147.12B	750.00	2.74%	32.12B
2	MNG	Managem S.A.	93.74B	7,901.00	0.52%	8.87B
3	IAM	Itissalat Al-Maghrib (IAM) S.A.	92.74B	105.50	-	36.48B
4	MSA	Société d'Exploitation des Ports	65.84B	909.00	1.34%	5.37B
5	BCP	Banque Centrale Populaire	55.87B	275.00	-	20.92B
6	GTM	Societe Generale Des Travaux Du Maroc	49.20B	845.00	3.05%	14.05B
7	TQM	TAQA Morocco S.A.	46.49B	1,971.00	-1.45%	10.61B
8	BOA	Bank of Africa	45.82B	208.00	-0.48%	16.62B
9	LHM	LafargeHolcim Maroc S.A.	41.63B	1,785.00	-	8.62B
10	TGC	Travaux Généraux de Construction de Casablanca S.A	28.47B	821.00	0.12%	9.13B
11	CMA	Ciments du Maroc Société Anonyme	25.26B	1,788.00	2.17%	4.59B
12	CSR	Cosumar SA	19.18B	203.00	-	10.62B
13	WAA	Wafa Assurance SA	17.33B	4,950.00	-	15.51B
14	AKT	Akdital S.A	15.41B	1,107.00	1.75%	3.80B
15	TMA	TotalEnergies Marketing Maroc S.A.	14.69B	1,620.00	-1.22%	15.81B
16	GAZ	Afriquia Gaz SA	14.33B	4,099.00	-	9.02B
17	CIH	Crédit Immobilier et Hôtelier, Société Anonyme	14.24B	399.90	-0.03%	3.92B
18	SOT	Société de Therapeutique Marocaine S.A.	13.68B	1,798.00	3.51%	3.04B
19	LBV	Label Vie S.A.	12.44B	4,300.00	0.12%	17.36B
20	ADH	Douja Promotion Groupe Addoha S.A.	12.10B	30.40	0.46%	2.20B
21	CDM	Crédit du Maroc S.A.	11.96B	1,099.00	2.71%	3.21B
22	ADI	Alliances Developpement Immobilier S.A.	10.86B	492.00	1.05%	2.50B
23	LES	Lesieur Cristal S.A.	9.48B	343.00	0.88%	5.57B
24	SMI	Societe Metallurgique d'Imiter société anonyme	9.37B	5,695.00	4.52%	1.29B
25	CFG	CFG Bank SA	9.35B	231.50	0.65%	1.06B
26	SAH	Sanlam Maroc	8.83B	2,145.00	1.32%	7.46B
27	ATL	AtlantaSanad Société Anonyme	8.47B	141.00	0.36%	5.93B
