ticker,company_name,industry,url
ATW,Attijariwafa bank SA
MNG,Managem S.A.
IAM,Itissalat Al-Maghrib (IAM) S.A.
MSA,Société d'Exploitation des Ports
BCP,Banque Centrale Populaire
GTM,Societe Generale Des Travaux Du Maroc
TQM,TAQA Morocco S.A.
BOA,Bank of Africa
LHM,LafargeHolcim Maroc S.A.
TGC,Travaux Généraux de Construction de Casablanca S.A
CMA,Ciments du Maroc Société Anonyme
CSR,Cosumar SA
WAA,Wafa Assurance SA
AKT,Akdital S.A
TMA,TotalEnergies Marketing Maroc S.A.
GAZ,Afriquia Gaz SA
CIH,"Crédit Immobilier et Hôtelier, Société Anonyme"
SOT,Société de Therapeutique Marocaine S.A.
LBV,Label Vie S.A.
ADH,Douja Promotion Groupe Addoha S.A.
CDM,Crédit du Maroc S.A.
ADI,Alliances Developpement Immobilier S.A.
LES,Lesieur Cristal S.A.
SMI,Societe Metallurgique d'Imiter société anonyme
CFG,CFG Bank SA
SAH,Sanlam Maroc
ATL,AtlantaSanad Société Anonyme
BCI,Banque Marocaine pour le Commerce et l'Industrie
JET,Jet Contractors
SID,SONASID S.A.
CAP,Cash Plus SA
CMG,Compagnie Marocaine de Goutte à goutte et de Pompage S.A.
SBM,Société des Boissons du Maroc S.A.
DHO,delta holding S.A.
ARD,Aradei Capital S.A.
RIS,Risma
ATH,Auto Hall S.A.
NEJ,Auto Nejma Maroc S.A.
CMT,Compagnie Minière de Touissit S.A.
VCN,Vicenne S.A
RDS,Résidences Dar Saada S.A
HPS,Hightech Payment Systems S.A.
OUL,Les Eaux Minérales d'Oulmès S.A.
MUT,Mutandis SCA
EQD,Societe d'Equipement Domestique et Menager (EQDOM) S.A
UMR,Unimer SA
SLF,Salafin S.A.
DWY,Disway S.A.
NKL,Ennakl Automobiles S.A.
SNA,Stokvis Nord Afrique S.A.
PRO,Societe de Promotion Pharmaceutique du Maghreb S.A.
MIC,Microdata S.A.
COL,Colorado S.A.
AGM,Agma SA
MAB,Société Maghrébine de Crédit-bail
DRI,Dari Couspate SA
AFM,AFMA S.A.
SNP,Société Nationale d'Electrolyse et de Pétrochimie S.A.
CTM,Compagnie de Transports au Maroc Société Anonyme
MLE,Maroc Leasing S.A.
ALM,Aluminium Du Maroc SA
IMO,Immorente Invest S.A.
FBR,Fenie Brossette S.A.
S2M,Société Maghrébine de Monétique
BAL,Société Immobilière Balima
DYT,Disty Technologies SA
MOX,Maghreb Oxygène S.A.
M2M,M2M Group SA
STR,Stroc Industrie S.A.
CRS,Cartier Saada SA
SRM,Société de Réalisations Mécaniques S.A.
ZDJ,Zellidja S.A.
MDP,Med Paper S.A.
AFI,Afric Industries S.A.
INV,INVOLYS S.A.
IBC,IB Maroc.com SA
REB,Societe Rebab Company S.A. Ltd.
