ticker,announcement_date,record_date,pay_date,dividend_type,amount_per_share,currency
BKG,21-Nov-2025,08-Dec-2025,12-Jan-2026,Interim,11.20,RWF
IMH,20-Nov-2025,15-Dec-2025,14-Jan-2026,Interim,1.50,KES
COOP,13-Oct-2025,26-Nov-2025,04-Dec-2025,Interim,1.00,KES
KEGN,31-Oct-2025,04-12-2025,12-02-2026,Final,0.90,KES
CARB,31-Oct-2025,26-Nov-2025,18-Dec-2025,Final,2.00,KES
KPLC,07-Oct-2025,02-Dec-2025,30-Jan-2026,Final,0.80,KES
DTK,21-Jun-2024,24-May-2024,28-June-2024,Final,6.00,KES
KNRE,07-Oct-2025,25-Jun-2024,09-Aug-2024,Final,0.30,KES
JUB,30-May-2024,25-Jun-2024,25-Jul-2024,Special,2.30,KES
JUB,30-May-2024,25-Jun-2024,25-Jul-2024,Final,10.0,KES
BKG,22-May-2024,14-Jun-2024,01-Jul-2024,Final,24.18,RWF
CIC,14-May-2024,04-Jun-2024,08-Jul-2024,Final,0.13,KES
SCOM,09-May-2024,31-Jul-2024,31-Aug-2024,Final,0.65,KES
BOC,30-Apr-2024,31-May-2024,21-Jul-2024,Final,6.05,KES
TOTL,29-Apr-2024,27-Jun-2024,25-Jul-2024,Final,1.92,KES
LBTY,18-Mar-2024,14-Jun-2024,24-Aug-2024,Final,0.373,KES
BAMB,17-Apr-2024,24-May-2024,25-Jul-2024,Final,5.47,KES
NCBA,27-Mar-2024,30-Apr-2024,29-May-2024,Final,3.00,KES
NSE,02-Apr-2024,30-May-2024,31-Jul-2024,Final,0.16,KES
DTK,27-Mar-2024,24-May-2024,28-Jun-2024,Final,6.00,KES
EQTY,27-Mar-2024,24-May-2024,28-Jun-2024,Final,4.00,KES
UMME,25-Mar-2024,28-Jun-2024,19-Jul-2024,Final,54.20,USH
IMH,,18-Apr-2024,24-May-2024,Final,2.25,KES
LIMT,25-Mar-2024,15-Apr-2024,30-June-2024,Final,1.00,KES
COOP,21-Mar-2024,29-Apr-2024,10-Jun-2024,Final,1.50,KES
KUKZ,20-Mar-2024,31-May-2024,15-Jun-2024,Final,24.00,KES
ABSA,18-Mar-2024,30-Apr-2024,23-May-2024,Final,1.35,KES
SCBK,12-Mar-2024,19-Apr-2024,30-May-2024,FinaL,23.00,KES
SBIC,06-Mar-2024,17-May-2024,06-Jun-2024,Final,14.20,KES
SCOM,22-Feb-2024,15-Mar-2024,31-Mar-2024,Interim,0.55,KES
