Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 900 	2 895 	2 900 	2 895 	275 	797 500 	0.17%
26/01/2026 	2 895 	2 860 	2 895 	2 860 	5 629 	16 295 955 	1.58%
23/01/2026 	2 850 	2 800 	2 850 	2 800 	1 736 	4 947 600 	1.79%
22/01/2026 	2 800 	2 770 	2 800 	2 770 	1 444 	4 043 200 	1.82%
21/01/2026 	2 750 	2 730 	2 750 	2 730 	604 	1 661 000 	1.85%
20/01/2026 	2 700 	2 700 	2 700 	2 700 	737 	1 989 900 	0.00%
19/01/2026 	2 700 	2 660 	2 700 	2 660 	2 411 	6 509 700 	0.00%
16/01/2026 	2 700 	2 700 	2 700 	2 700 	2 223 	6 002 100 	0.00%
15/01/2026 	2 700 	2 660 	2 700 	2 660 	1 771 	4 781 700 	1.50%
14/01/2026 	2 660 	2 660 	2 705 	2 705 	4 213 	11 206 580 	-1.66%
13/01/2026 	2 705 	2 705 	2 705 	2 705 	847 	2 291 135 	0.00%
12/01/2026 	2 705 	2 705 	2 750 	2 750 	476 	1 287 580 	-1,28%
09/01/2026 	2 740 	2 720 	2 740 	2 720 	1 714 	4 696 360 	0.74%
08/01/2026 	2 720 	2 720 	2 730 	2 730 	3 089 	8 402 080 	-0.37%
07/01/2026 	2 730 	2 730 	2 750 	2 750 	1 489 	4 064 970 	-1,80%
06/01/2026 	2 780 	2 780 	2 800 	2 800 	2 348 	6 527 440 	-0.71%
05/01/2026 	2 800 	2 800 	2 920 	2 920 	2 543 	7 120 400 	-4.11%
02/01/2026 	2 920 	2 900 	2 920 	2 900 	936 	2 733 120 	0.69%
01/01/2026 	2 900 	2 900 	2 900 	2 900 	1 806 	5 237 400 	0.00%
31/12/2025 	2 900 	2 900 	2 900 	2 900 	1 806 	5 237 400 	0.00%
30/12/2025 	2 900 	2 900 	3 000 	3 000 	2 315 	6 713 500 	-4.92%
29/12/2025 	3 050 	3 050 	3 080 	3 080 	2 116 	6 453 800 	-0.97%
26/12/2025 	3 080 	3 010 	3 080 	3 010 	2 292 	7 059 360 	2.33%
25/12/2025 	3 010 	3 010 	3 010 	3 010 	680 	2 046 800 	0.00%
24/12/2025 	3 010 	3 010 	3 010 	3 010 	680 	2 046 800 	0.00%
23/12/2025 	3 010 	3 010 	3 030 	3 030 	2 199 	6 618 990 	-0.50%
