Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	5 000 	4 905 	5 000 	4 905 	5 197 	25 985 000 	0.20%
26/01/2026 	4 990 	4 940 	4 990 	4 940 	3 072 	15 329 280 	1.53%
23/01/2026 	4 915 	4 915 	4 930 	4 930 	820 	4 030 300 	-0.30%
22/01/2026 	4 930 	4 930 	4 930 	4 930 	236 	1 163 480 	0.20%
21/01/2026 	4 920 	4 900 	4 920 	4 900 	2 211 	10 878 120 	0.20%
20/01/2026 	4 910 	4 910 	4 950 	4 950 	572 	2 808 520 	-0.61%
19/01/2026 	4 940 	4 910 	4 940 	4 910 	808 	3 991 520 	0.00%
16/01/2026 	4 940 	4 920 	4 940 	4 920 	638 	3 151 720 	0.41%
15/01/2026 	4 920 	4 910 	4 920 	4 910 	164 	806 880 	0.20%
14/01/2026 	4 910 	4 900 	4 910 	4 900 	2 299 	11 288 090 	-0.81%
13/01/2026 	4 950 	4 910 	4 950 	4 910 	578 	2 861 100 	0.20%
12/01/2026 	4 940 	4 940 	4 940 	4 940 	1 189 	5 873 660 	-0.20%
09/01/2026 	4 950 	4 915 	4 950 	4 915 	177 	876 150 	-0.20%
08/01/2026 	4 960 	4 960 	4 970 	4 970 	101 	500 960 	-0.20%
07/01/2026 	4 970 	4 955 	4 970 	4 955 	2 957 	14 696 290 	0.40%
06/01/2026 	4 950 	4 950 	4 950 	4 950 	1 062 	5 256 900 	0.81%
05/01/2026 	4 910 	4 910 	4 955 	4 955 	483 	2 371 530 	-1,31%
02/01/2026 	4 975 	4 975 	4 975 	4 975 	1 414 	7 034 650 	0.00%
01/01/2026 	4 975 	4 910 	4 975 	4 910 	1 634 	8 129 150 	0.00%
31/12/2025 	4 975 	4 910 	4 975 	4 910 	1 634 	8 129 150 	1.43%
30/12/2025 	4 905 	4 905 	4 995 	4 995 	4 732 	23 210 460 	-1,80%
29/12/2025 	4 995 	4 960 	4 995 	4 960 	3 120 	15 584 400 	0.71%
26/12/2025 	4 960 	4 900 	4 960 	4 900 	26 703 	132 446 880 	1.12%
25/12/2025 	4 905 	4 900 	4 905 	4 900 	900 	4 414 500 	0.00%
24/12/2025 	4 905 	4 900 	4 905 	4 900 	900 	4 414 500 	-0.91%
23/12/2025 	4 950 	4 950 	4 965 	4 965 	349 	1 727 550 	-0.30%
