Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	19 100 	19 100 	19 300 	19 300 	828 	15 814 800 	-0.26%
26/01/2026 	19 150 	19 150 	19 200 	19 200 	775 	14 841 250 	-0.26%
23/01/2026 	19 200 	19 200 	19 300 	19 300 	385 	7 392 000 	0.00%
22/01/2026 	19 200 	19 200 	19 200 	19 200 	289 	5 548 800 	0.00%
21/01/2026 	19 200 	19 105 	19 200 	19 105 	426 	8 179 200 	0.26%
20/01/2026 	19 150 	19 150 	19 200 	19 200 	511 	9 785 650 	-0.26%
19/01/2026 	19 200 	19 200 	19 295 	19 295 	697 	13 382 400 	-0.49%
16/01/2026 	19 295 	19 195 	19 295 	19 195 	287 	5 537 665 	0.52%
15/01/2026 	19 195 	19 100 	19 195 	19 100 	652 	12 515 140 	0.00%
14/01/2026 	19 195 	19 185 	19 195 	19 185 	507 	9 731 865 	0.10%
13/01/2026 	19 175 	19 175 	19 200 	19 200 	136 	2 607 800 	0.37%
12/01/2026 	19 105 	19 105 	19 230 	19 230 	137 	2 617 385 	-0.75%
09/01/2026 	19 250 	19 250 	19 270 	19 270 	115 	2 213 750 	-0.10%
08/01/2026 	19 270 	19 265 	19 270 	19 265 	501 	9 654 270 	0.00%
07/01/2026 	19 270 	19 270 	19 290 	19 290 	201 	3 873 270 	-0.10%
06/01/2026 	19 290 	19 290 	19 295 	19 295 	158 	3 047 820 	0.21%
05/01/2026 	19 250 	19 250 	19 295 	19 295 	143 	2 752 750 	-0.26%
02/01/2026 	19 300 	19 300 	19 300 	19 300 	1 143 	22 059 900 	-0.75%
01/01/2026 	19 445 	19 300 	19 445 	19 300 	703 	13 669 835 	0.00%
31/12/2025 	19 445 	19 300 	19 445 	19 300 	703 	13 669 835 	0.75%
30/12/2025 	19 300 	19 300 	19 445 	19 445 	129 	2 489 700 	0.00%
29/12/2025 	19 300 	19 300 	19 400 	19 400 	490 	9 457 000 	-0.77%
26/12/2025 	19 450 	19 005 	19 450 	19 005 	391 	7 604 950 	0.36%
25/12/2025 	19 380 	19 335 	19 380 	19 335 	1 025 	19 864 500 	0.00%
24/12/2025 	19 380 	19 335 	19 380 	19 335 	1 025 	19 864 500 	0.21%
23/12/2025 	19 340 	19 340 	19 400 	19 400 	51 	986 340 	-0.33%
22/12/2025 	19 405 	19 405 	19 445 	19 445 	1 493 	28 971 665 	-0.46%
19/12/2025 	19 495 	19 495 	19 500 	19 500 	140 	2 729 300 	-0.03%
18/12/2025 	19 500 	18 600 	19 500 	18 600 	1 058 	20 631 000 	-1.64%
17/12/2025 	19 825 	19 825 	19 845 	19 845 	191 	3 786 575 	-0.10%
16/12/2025 	19 845 	19 750 	19 845 	19 750 	388 	7 699 860 	0.48%
15/12/2025 	19 750 	19 510 	19 750 	19 510 	250 	4 937 500 	-0.25%
12/12/2025 	19 800 	19 800 	19 850 	19 850 	181 	3 583 800 	0.76%
11/12/2025 	19 650 	19 650 	19 850 	19 850 	143 	2 809 950 	-1.01%
10/12/2025 	19 850 	19 600 	19 850 	19 600 	43 	853 550 	-0.50%
09/12/2025 	19 950 	19 950 	19 950 	19 950 	246 	4 907 700 	0.13%
08/12/2025 	19 925 	19 925 	20 030 	20 030 	164 	3 267 700 	-0.13%
05/12/2025 	19 950 	19 950 	19 950 	19 950 	63 	1 256 850 	-0.23%
04/12/2025 	19 995 	19 500 	19 995 	19 500 	102 	2 039 490 	2.54%
03/12/2025 	19 500 	19 500 	19 995 	19 995 	756 	14 742 000 	-2,21%
02/12/2025 	19 940 	19 940 	20 075 	20 075 	32 	638 080 	-0.55%
01/12/2025 	20 050 	20 050 	20 150 	20 150 	228 	4 571 400 	2.82%
28/11/2025 	19 500 	19 500 	20 100 	20 100 	592 	11 544 000 	-3.23%
27/11/2025 	20 150 	20 150 	20 345 	20 345 	5 120 	103 168 000 	0.75%
26/11/2025 	20 000 	20 000 	20 350 	20 350 	532 	10 640 000 	0.00%
25/11/2025 	20 000 	20 000 	20 350 	20 350 	1 560 	31 200 000 	-1.72%
