Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 540 	1 540 	1 655 	1 655 	2 381 	3 666 740 	-7.23%
26/01/2026 	1 660 	1 660 	1 685 	1 685 	767 	1 273 220 	-1.48%
23/01/2026 	1 685 	1 685 	1 785 	1 785 	1 167 	1 966 395 	-5.60%
22/01/2026 	1 785 	1 785 	1 795 	1 795 	5 595 	9 987 075 	6.89%
21/01/2026 	1 670 	1 670 	1 670 	1 670 	5 995 	10 011 650 	7.40%
20/01/2026 	1 555 	1 450 	1 555 	1 450 	3 457 	5 375 635 	7.24%
19/01/2026 	1 450 	1 350 	1 450 	1 350 	1 752 	2 540 400 	7.41%
16/01/2026 	1 350 	1 350 	1 385 	1 385 	513 	692 550 	0.00%
15/01/2026 	1 350 	1 350 	1 350 	1 350 	1 431 	1 931 850 	0.00%
14/01/2026 	1 350 	1 350 	1 380 	1 380 	182 	245 700 	-2.53%
13/01/2026 	1 385 	1 385 	1 390 	1 390 	153 	211 905 	-0.36%
12/01/2026 	1 390 	1 305 	1 390 	1 305 	892 	1 239 880 	0.72%
09/01/2026 	1 380 	1 350 	1 380 	1 350 	389 	536 820 	0.00%
08/01/2026 	1 380 	1 380 	1 400 	1 400 	5 718 	7 890 840 	-1.08%
07/01/2026 	1 395 	1 370 	1 395 	1 370 	556 	775 620 	2.20%
06/01/2026 	1 365 	1 365 	1 370 	1 370 	449 	612 885 	-0.36%
05/01/2026 	1 370 	1 360 	1 370 	1 360 	3 563 	4 881 310 	0.37%
02/01/2026 	1 365 	1 365 	1 365 	1 365 	1 223 	1 669 395 	-3,19%
01/01/2026 	1 410 	1 410 	1 410 	1 410 	228 	321 480 	0.00%
31/12/2025 	1 410 	1 410 	1 410 	1 410 	228 	321 480 	-0,70%
30/12/2025 	1 420 	1 420 	1 425 	1 425 	1 557 	2 210 940 	-0.35%
29/12/2025 	1 425 	1 425 	1 450 	1 450 	962 	1 370 850 	-1.72%
26/12/2025 	1 450 	1 450 	1 450 	1 450 	117 	169 650 	0.00%
25/12/2025 	1 450 	1 365 	1 450 	1 365 	1 262 	1 829 900 	0.00%
24/12/2025 	1 450 	1 365 	1 450 	1 365 	1 262 	1 829 900 	0.00%
23/12/2025 	1 450 	1 425 	1 450 	1 425 	136 	197 200 	1.75%
22/12/2025 	1 425 	1 425 	1 460 	1 460 	1 468 	2 091 900 	0.00%
19/12/2025 	1 425 	1 425 	1 440 	1 440 	480 	684 000 	-1,38%
18/12/2025 	1 445 	1 400 	1 445 	1 400 	704 	1 017 280 	3.21%
17/12/2025 	1 400 	1 400 	1 460 	1 460 	1 900 	2 660 000 	-4.11%
16/12/2025 	1 460 	1 460 	1 475 	1 475 	1 536 	2 242 560 	0.00%
15/12/2025 	1 460 	1 460 	1 460 	1 460 	1 870 	2 730 200 	7.35%
12/12/2025 	1 360 	1 360 	1 365 	1 365 	4 382 	5 959 520 	-0.37%
11/12/2025 	1 365 	1 365 	1 465 	1 465 	5 046 	6 887 790 	-5.21%
10/12/2025 	1 440 	1 440 	1 480 	1 480 	542 	780 480 	0.00%
09/12/2025 	1 440 	1 405 	1 440 	1 405 	5 227 	7 526 880 	2.86%
08/12/2025 	1 400 	1 400 	1 495 	1 495 	1 525 	2 135 000 	-3.45%
05/12/2025 	1 450 	1 350 	1 450 	1 350 	3 853 	5 586 850 	7.41%
04/12/2025 	1 350 	1 350 	1 355 	1 355 	1 315 	1 775 250 	-0.37%
03/12/2025 	1 355 	1 355 	1 355 	1 355 	609 	825 195 	0.00%
02/12/2025 	1 355 	1 355 	1 390 	1 390 	3 048 	4 130 040 	-2.52%
01/12/2025 	1 390 	1 390 	1 395 	1 395 	269 	373 910 	-0.36%
28/11/2025 	1 395 	1 370 	1 395 	1 370 	1 462 	2 039 490 	2.20%
27/11/2025 	1 365 	1 365 	1 365 	1 365 	5 496 	7 502 040 	0.00%
26/11/2025 	1 365 	1 365 	1 395 	1 395 	2 347 	3 203 655 	-2,15%
25/11/2025 	1 395 	1 365 	1 395 	1 365 	9 032 	12 599 640 	2.20%
24/11/2025 	1 365 	1 365 	1 400 	1 400 	1 670 	2 279 550 	-2.85%
21/11/2025 	1 405 	1 405 	1 405 	1 405 	193 	271 165 	0.00%
20/11/2025 	1 405 	1 405 	1 405 	1 405 	2 955 	4 151 775 	-0.35%
19/11/2025 	1 410 	1 410 	1 430 	1 430 	2 172 	3 062 520 	0.00%
18/11/2025 	1 410 	1 410 	1 450 	1 450 	3 227 	4 550 070 	-2,76%
17/11/2025 	1 450 	1 450 	1 485 	1 485 	1 108 	1 606 600 	-0.68%
14/11/2025 	1 460 	1 400 	1 460 	1 400 	1 992 	2 908 320 	-1,68%
13/11/2025 	1 485 	1 485 	1 500 	1 500 	2 606 	3 869 910 	5.32%
12/11/2025 	1 410 	1 410 	1 410 	1 410 	1 593 	2 246 130 	7.22%
11/11/2025 	1 315 	1 260 	1 315 	1 260 	6 311 	8 298 965 	4.37%
10/11/2025 	1 260 	1 230 	1 260 	1 230 	30 877 	38 905 020 	-4.91%
07/11/2025 	1 325 	1 325 	1 325 	1 325 	- 	0 	-7.34%
06/11/2025 	1 430 	1 430 	1 430 	1 430 	635 	908 050 	-7.44%
05/11/2025 	1 545 	1 545 	1 545 	1 545 	580 	896 100 	-7.49%
04/11/2025 	1 670 	1 670 	1 670 	1 670 	5 810 	9 702 700 	-7.48%
03/11/2025 	1 805 	1 805 	1 805 	1 805 	1 627 	2 936 735 	-7.44%
31/10/2025 	1 950 	1 950 	1 995 	1 995 	1 331 	2 595 450 	-2,26%
30/10/2025 	1 995 	1 910 	1 995 	1 910 	4 911 	9 797 445 	4.45%
