Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	6 795 	6 550 	6 795 	6 550 	4 494 	30 536 730 	3.74%
26/01/2026 	6 550 	6 550 	6 600 	6 600 	2 135 	13 984 250 	-0.08%
23/01/2026 	6 555 	6 550 	6 555 	6 550 	1 149 	7 531 695 	0.08%
22/01/2026 	6 550 	6 510 	6 550 	6 510 	1 391 	9 111 050 	0.61%
21/01/2026 	6 510 	6 500 	6 510 	6 500 	565 	3 678 150 	0.23%
20/01/2026 	6 495 	6 360 	6 495 	6 360 	1 662 	10 794 690 	1.96%
19/01/2026 	6 370 	6 350 	6 370 	6 350 	14 165 	90 231 050 	0.31%
16/01/2026 	6 350 	6 350 	6 360 	6 360 	2 276 	14 452 600 	-0.08%
15/01/2026 	6 355 	6 350 	6 355 	6 350 	3 252 	20 666 460 	0.08%
14/01/2026 	6 350 	6 350 	6 350 	6 350 	2 695 	17 113 250 	0.00%
13/01/2026 	6 350 	6 060 	6 350 	6 060 	2 674 	16 979 900 	6.19%
12/01/2026 	5 980 	5 965 	5 980 	5 965 	924 	5 525 520 	0.50%
09/01/2026 	5 950 	5 945 	5 950 	5 945 	3 194 	19 004 300 	0.17%
08/01/2026 	5 940 	5 940 	5 945 	5 945 	605 	3 593 700 	-0.08%
07/01/2026 	5 945 	5 900 	5 945 	5 900 	2 226 	13 233 570 	0.76%
06/01/2026 	5 900 	5 895 	5 900 	5 895 	1 162 	6 855 800 	0.94%
05/01/2026 	5 845 	5 845 	5 900 	5 900 	2 171 	12 689 495 	-0.09%
02/01/2026 	5 850 	5 850 	5 850 	5 850 	817 	4 779 450 	0.00%
01/01/2026 	5 850 	5 800 	5 850 	5 800 	1 165 	6 815 250 	0.00%
31/12/2025 	5 850 	5 800 	5 850 	5 800 	1 165 	6 815 250 	0.69%
30/12/2025 	5 810 	5 810 	5 900 	5 900 	7 563 	43 941 030 	-1.53%
29/12/2025 	5 900 	5 805 	5 900 	5 805 	153 323 	904 605 700 	0.85%
26/12/2025 	5 850 	5 825 	5 850 	5 825 	932 	5 452 200 	0.43%
25/12/2025 	5 825 	5 825 	5 825 	5 825 	4 599 	26 789 175 	0.00%
24/12/2025 	5 825 	5 825 	5 825 	5 825 	4 599 	26 789 175 	0.43%
23/12/2025 	5 800 	5 800 	5 890 	5 890 	4 231 	24 539 800 	-1.69%
22/12/2025 	5 900 	5 850 	5 900 	5 850 	3 346 	19 741 400 	0.17%
19/12/2025 	5 890 	5 890 	5 900 	5 900 	3 502 	20 626 780 	1.38%
18/12/2025 	5 810 	5 810 	5 860 	5 860 	1 080 	6 274 800 	-1.53%
17/12/2025 	5 900 	5 810 	5 900 	5 810 	3 558 	20 992 200 	-0.59%
