Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	4 645 	4 595 	4 645 	4 595 	2 887 	13 410 115 	-0.96%
26/01/2026 	4 690 	4 605 	4 690 	4 605 	2 522 	11 828 180 	2.07%
23/01/2026 	4 595 	4 500 	4 595 	4 500 	2 177 	10 003 315 	2.11%
22/01/2026 	4 500 	4 400 	4 500 	4 400 	3 388 	15 246 000 	2.51%
21/01/2026 	4 390 	4 390 	4 390 	4 390 	5 550 	24 364 500 	0.92%
20/01/2026 	4 350 	4 300 	4 350 	4 300 	5 703 	24 808 050 	1.64%
19/01/2026 	4 280 	4 280 	4 280 	4 280 	3 069 	13 135 320 	-0.12%
16/01/2026 	4 285 	4 285 	4 285 	4 285 	767 	3 286 595 	-0.12%
15/01/2026 	4 290 	4 145 	4 290 	4 145 	909 	3 899 610 	3.50%
14/01/2026 	4 145 	4 145 	4 290 	4 290 	2 573 	10 665 085 	-3,49%
13/01/2026 	4 295 	4 250 	4 295 	4 250 	3 801 	16 325 295 	3.49%
12/01/2026 	4 150 	4 100 	4 150 	4 100 	2 906 	12 059 900 	1.22%
09/01/2026 	4 100 	4 000 	4 100 	4 000 	6 133 	25 145 300 	2.50%
08/01/2026 	4 000 	3 980 	4 000 	3 980 	6 272 	25 088 000 	0.50%
07/01/2026 	3 980 	3 900 	3 980 	3 900 	725 	2 885 500 	0.13%
06/01/2026 	3 975 	3 975 	3 975 	3 975 	1 287 	5 115 825 	-0.13%
05/01/2026 	3 980 	3 900 	3 980 	3 900 	1 060 	4 218 800 	1.02%
02/01/2026 	3 940 	3 900 	3 940 	3 900 	439 	1 729 660 	5.07%
01/01/2026 	3 750 	3 750 	3 765 	3 765 	4 727 	17 726 250 	0.00%
31/12/2025 	3 750 	3 750 	3 765 	3 765 	4 727 	17 726 250 	-0.27%
30/12/2025 	3 760 	3 750 	3 760 	3 750 	1 365 	5 132 400 	0.27%
29/12/2025 	3 750 	3 750 	3 990 	3 990 	4 348 	16 305 000 	-6.02%
26/12/2025 	3 990 	3 810 	3 990 	3 810 	24 274 	96 853 260 	4.86%
25/12/2025 	3 805 	3 805 	3 935 	3 935 	1 435 	5 460 175 	0.00%
24/12/2025 	3 805 	3 805 	3 935 	3 935 	1 435 	5 460 175 	-3.55%
23/12/2025 	3 945 	3 810 	3 945 	3 810 	1 897 	7 483 665 	3.68%
22/12/2025 	3 805 	3 805 	3 950 	3 950 	3 964 	15 083 020 	-4,64%
19/12/2025 	3 990 	3 990 	4 000 	4 000 	1 498 	5 977 020 	-0.25%
18/12/2025 	4 000 	3 990 	4 000 	3 990 	907 	3 628 000 	0.00%
17/12/2025 	4 000 	4 000 	4 000 	4 000 	1 586 	6 344 000 	0.00%
16/12/2025 	4 000 	3 995 	4 000 	3 995 	1 856 	7 424 000 	0.00%
15/12/2025 	4 000 	4 000 	4 000 	4 000 	2 589 	10 356 000 	-0.37%
12/12/2025 	4 015 	4 015 	4 080 	4 080 	1 124 	4 512 860 	-0.74%
11/12/2025 	4 045 	4 000 	4 045 	4 000 	1 096 	4 433 320 	1.13%
10/12/2025 	4 000 	3 995 	4 000 	3 995 	3 722 	14 888 000 	0.00%
09/12/2025 	4 000 	4 000 	4 000 	4 000 	4 263 	17 052 000 	0.13%
08/12/2025 	3 995 	3 990 	3 995 	3 990 	739 	2 952 305 	0.13%
05/12/2025 	3 990 	3 990 	3 990 	3 990 	1 707 	6 810 930 	0.13%
