Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	7 175 	7 175 	7 175 	7 175 	5 025 	36 054 375 	0.00%
26/01/2026 	7 175 	7 175 	7 185 	7 185 	5 298 	38 013 150 	-0.21%
23/01/2026 	7 190 	7 185 	7 190 	7 185 	8 084 	58 123 960 	0.14%
22/01/2026 	7 180 	7 180 	7 180 	7 180 	15 254 	109 523 720 	0.00%
21/01/2026 	7 180 	7 180 	7 180 	7 180 	3 952 	28 375 360 	-0.07%
20/01/2026 	7 185 	7 150 	7 185 	7 150 	18 734 	134 603 790 	0.07%
19/01/2026 	7 180 	7 180 	7 185 	7 185 	3 023 	21 705 140 	-0.07%
16/01/2026 	7 185 	7 185 	7 185 	7 185 	2 967 	21 317 895 	0.00%
15/01/2026 	7 185 	7 185 	7 185 	7 185 	1 861 	13 371 285 	0.07%
14/01/2026 	7 180 	7 180 	7 185 	7 185 	1 077 	7 732 860 	-0.07%
13/01/2026 	7 185 	7 180 	7 185 	7 180 	2 063 	14 822 655 	0.00%
12/01/2026 	7 185 	7 185 	7 190 	7 190 	1 048 	7 529 880 	-0.07%
09/01/2026 	7 190 	7 180 	7 190 	7 180 	1 334 	9 591 460 	0.00%
08/01/2026 	7 190 	7 150 	7 190 	7 150 	801 	5 759 190 	0.00%
07/01/2026 	7 190 	7 105 	7 190 	7 105 	2 842 	20 433 980 	1.20%
06/01/2026 	7 105 	7 100 	7 105 	7 100 	3 008 	21 371 840 	-0.21%
05/01/2026 	7 120 	7 120 	7 175 	7 175 	1 768 	12 588 160 	-0.84%
02/01/2026 	7 180 	7 180 	7 180 	7 180 	728 	5 227 040 	0.00%
01/01/2026 	7 180 	7 180 	7 180 	7 180 	1 637 	11 753 660 	0.00%
31/12/2025 	7 180 	7 180 	7 180 	7 180 	1 637 	11 753 660 	0.00%
30/12/2025 	7 180 	7 150 	7 180 	7 150 	1 170 	8 400 600 	0.42%
29/12/2025 	7 150 	7 100 	7 150 	7 100 	3 529 	25 232 350 	0.00%
26/12/2025 	7 150 	7 105 	7 150 	7 105 	541 	3 868 150 	0.70%
25/12/2025 	7 100 	7 100 	7 100 	7 100 	1 027 	7 291 700 	0.00%
24/12/2025 	7 100 	7 100 	7 100 	7 100 	1 027 	7 291 700 	0.14%
23/12/2025 	7 090 	7 090 	7 150 	7 150 	2 150 	15 243 500 	0.00%
22/12/2025 	7 090 	7 090 	7 100 	7 100 	6 502 	46 099 180 	-0.84%
19/12/2025 	7 150 	7 140 	7 150 	7 140 	1 709 	12 219 350 	2.14%
18/12/2025 	7 000 	7 000 	7 175 	7 175 	2 457 	17 199 000 	-2,30%
17/12/2025 	7 165 	7 165 	7 175 	7 175 	2 257 	16 171 405 	-0.14%
16/12/2025 	7 175 	7 090 	7 175 	7 090 	2 168 	15 555 400 	1.06%
15/12/2025 	7 100 	7 100 	7 100 	7 100 	2 510 	17 821 000 	-1.05%
12/12/2025 	7 175 	7 150 	7 175 	7 150 	2 012 	14 436 100 	-0.14%
11/12/2025 	7 185 	7 090 	7 185 	7 090 	1 469 	10 554 765 	1.20%
10/12/2025 	7 100 	7 100 	7 100 	7 100 	2 892 	20 533 200 	0.00%
09/12/2025 	7 100 	7 100 	7 140 	7 140 	1 547 	10 983 700 	-0.56%
08/12/2025 	7 140 	7 000 	7 140 	7 000 	2 989 	21 341 460 	-0.83%
05/12/2025 	7 200 	7 200 	7 200 	7 200 	1 093 	7 869 600 	0.07%
04/12/2025 	7 195 	7 195 	7 200 	7 200 	752 	5 410 640 	-0.07%
03/12/2025 	7 200 	7 200 	7 200 	7 200 	2 635 	18 972 000 	-0.62%
