Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	4 230 	4 230 	4 265 	4 265 	3 303 	13 971 690 	0.71%
26/01/2026 	4 200 	4 200 	4 200 	4 200 	7 498 	31 491 600 	0.00%
23/01/2026 	4 200 	4 145 	4 200 	4 145 	6 890 	28 938 000 	1.33%
22/01/2026 	4 145 	4 145 	4 145 	4 145 	3 994 	16 555 130 	0.00%
21/01/2026 	4 145 	4 120 	4 145 	4 120 	1 899 	7 871 355 	0.61%
20/01/2026 	4 120 	4 120 	4 145 	4 145 	5 939 	24 468 680 	-0.72%
19/01/2026 	4 150 	4 145 	4 150 	4 145 	4 254 	17 654 100 	0.00%
16/01/2026 	4 150 	4 150 	4 150 	4 150 	3 735 	15 500 250 	1.22%
15/01/2026 	4 100 	4 100 	4 100 	4 100 	4 381 	17 962 100 	0.00%
14/01/2026 	4 100 	4 100 	4 190 	4 190 	5 175 	21 217 500 	0.99%
13/01/2026 	4 060 	4 060 	4 150 	4 150 	5 382 	21 850 920 	-0.73%
12/01/2026 	4 090 	4 000 	4 090 	4 000 	4 335 	17 730 150 	4.87%
09/01/2026 	3 900 	3 900 	4 000 	4 000 	15 339 	59 822 100 	-2.50%
08/01/2026 	4 000 	3 990 	4 000 	3 990 	4 780 	19 120 000 	0.13%
07/01/2026 	3 995 	3 990 	3 995 	3 990 	18 631 	74 430 845 	0.13%
06/01/2026 	3 990 	3 990 	3 990 	3 990 	2 105 	8 398 950 	0.00%
05/01/2026 	3 990 	3 990 	3 995 	3 995 	4 096 	16 343 040 	0.00%
02/01/2026 	3 990 	3 990 	3 995 	3 995 	2 004 	7 995 960 	-0.25%
01/01/2026 	4 000 	4 000 	4 145 	4 145 	7 291 	29 164 000 	0.00%
31/12/2025 	4 000 	4 000 	4 145 	4 145 	7 291 	29 164 000 	-3,50%
30/12/2025 	4 145 	4 145 	4 160 	4 160 	1 156 	4 791 620 	-0.36%
29/12/2025 	4 160 	4 100 	4 160 	4 100 	3 605 	14 996 800 	-0.24%
26/12/2025 	4 170 	4 170 	4 190 	4 190 	2 038 	8 498 460 	-0.12%
25/12/2025 	4 175 	4 175 	4 200 	4 200 	1 828 	7 631 900 	0.00%
24/12/2025 	4 175 	4 175 	4 200 	4 200 	1 828 	7 631 900 	-2,68%
23/12/2025 	4 290 	4 290 	4 300 	4 300 	1 273 	5 461 170 	-1,38%
