Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 600 	2 600 	2 625 	2 625 	1 117 	2 904 200 	-0.95%
26/01/2026 	2 625 	2 600 	2 625 	2 600 	3 020 	7 927 500 	1.16%
23/01/2026 	2 595 	2 595 	2 600 	2 600 	1 493 	3 874 335 	-0.19%
22/01/2026 	2 600 	2 600 	2 600 	2 600 	1 312 	3 411 200 	-1.14%
21/01/2026 	2 630 	2 630 	2 645 	2 645 	802 	2 109 260 	-0.38%
20/01/2026 	2 640 	2 640 	2 640 	2 640 	984 	2 597 760 	-0.19%
19/01/2026 	2 645 	2 645 	2 650 	2 650 	1 001 	2 647 645 	0.38%
16/01/2026 	2 635 	2 500 	2 635 	2 500 	821 	2 163 335 	3.33%
15/01/2026 	2 550 	2 550 	2 560 	2 560 	957 	2 440 350 	0.00%
14/01/2026 	2 550 	2 550 	2 625 	2 625 	1 674 	4 268 700 	-1.92%
13/01/2026 	2 600 	2 600 	2 620 	2 620 	1 236 	3 213 600 	-0.76%
12/01/2026 	2 620 	2 620 	2 640 	2 640 	765 	2 004 300 	0.58%
09/01/2026 	2 605 	2 570 	2 605 	2 570 	1 051 	2 737 855 	1.36%
08/01/2026 	2 570 	2 550 	2 570 	2 550 	586 	1 506 020 	0.78%
07/01/2026 	2 550 	2 500 	2 550 	2 500 	964 	2 458 200 	-0.97%
06/01/2026 	2 575 	2 550 	2 575 	2 550 	1 932 	4 974 900 	-0.58%
05/01/2026 	2 590 	2 590 	2 595 	2 595 	410 	1 061 900 	-0.38%
02/01/2026 	2 600 	2 455 	2 600 	2 455 	1 117 	2 904 200 	-0.38%
01/01/2026 	2 610 	2 610 	2 615 	2 615 	1 476 	3 852 360 	0.00%
31/12/2025 	2 610 	2 610 	2 615 	2 615 	1 476 	3 852 360 	-0.19%
30/12/2025 	2 615 	2 615 	2 630 	2 630 	394 	1 030 310 	-0.76%
29/12/2025 	2 635 	2 475 	2 635 	2 475 	5 119 	13 488 565 	-0.57%
26/12/2025 	2 650 	2 545 	2 650 	2 545 	1 333 	3 532 450 	4.13%
25/12/2025 	2 545 	2 545 	2 545 	2 545 	4 127 	10 503 215 	0.00%
24/12/2025 	2 545 	2 545 	2 545 	2 545 	4 127 	10 503 215 	-7.45%
23/12/2025 	2 750 	2 750 	2 750 	2 750 	442 	1 215 500 	5.77%
22/12/2025 	2 600 	2 600 	2 600 	2 600 	7 543 	19 611 800 	1.36%
19/12/2025 	2 565 	2 565 	2 600 	2 600 	5 364 	13 758 660 	-1,35%
18/12/2025 	2 600 	2 600 	2 620 	2 620 	3 803 	9 887 800 	-0.76%
17/12/2025 	2 620 	2 530 	2 620 	2 530 	1 229 	3 219 980 	3.56%
16/12/2025 	2 530 	2 500 	2 530 	2 500 	943 	2 385 790 	1.20%
15/12/2025 	2 500 	2 500 	2 500 	2 500 	657 	1 642 500 	0.00%
12/12/2025 	2 500 	2 480 	2 500 	2 480 	2 102 	5 255 000 	0.81%
11/12/2025 	2 480 	2 480 	2 490 	2 490 	1 867 	4 630 160 	-0.40%
10/12/2025 	2 490 	2 485 	2 490 	2 485 	4 856 	12 091 440 	0.00%
09/12/2025 	2 490 	2 490 	2 500 	2 500 	3 696 	9 203 040 	-0.40%
08/12/2025 	2 500 	2 495 	2 500 	2 495 	1 895 	4 737 500 	0.40%
05/12/2025 	2 490 	2 490 	2 490 	2 490 	2 318 	5 771 820 	-0.20%
04/12/2025 	2 495 	2 495 	2 500 	2 500 	10 081 	25 152 095 	-0.20%
03/12/2025 	2 500 	2 500 	2 500 	2 500 	5 479 	13 697 500 	0.00%
02/12/2025 	2 500 	2 500 	2 500 	2 500 	3 332 	8 330 000 	0.00%
01/12/2025 	2 500 	2 500 	2 500 	2 500 	971 	2 427 500 	0.20%
28/11/2025 	2 495 	2 495 	2 500 	2 500 	971 	2 422 645 	0.00%
27/11/2025 	2 495 	2 495 	2 500 	2 500 	3 742 	9 336 290 	-0.20%
26/11/2025 	2 500 	2 500 	2 500 	2 500 	503 	1 257 500 	0.00%
25/11/2025 	2 500 	2 500 	2 505 	2 505 	6 865 	17 162 500 	-0.79%
24/11/2025 	2 520 	2 520 	2 520 	2 520 	616 	1 552 320 	-0.20%
21/11/2025 	2 525 	2 525 	2 525 	2 525 	231 	583 275 	0.00%
20/11/2025 	2 525 	2 525 	2 530 	2 530 	1 623 	4 098 075 	-0.20%
19/11/2025 	2 530 	2 530 	2 530 	2 530 	5 852 	14 805 560 	0.00%
18/11/2025 	2 530 	2 530 	2 530 	2 530 	1 459 	3 691 270 	0.00%
17/11/2025 	2 530 	2 510 	2 530 	2 510 	484 	1 224 520 	0.80%
14/11/2025 	2 510 	2 500 	2 510 	2 500 	2 061 	5 173 110 	0.40%
13/11/2025 	2 500 	2 500 	2 510 	2 510 	1 658 	4 145 000 	-1.77%
12/11/2025 	2 545 	2 545 	2 550 	2 550 	1 054 	2 682 430 	0.00%
11/11/2025 	2 545 	2 545 	2 545 	2 545 	1 633 	4 155 985 	0.00%
10/11/2025 	2 545 	2 510 	2 545 	2 510 	474 	1 206 330 	1.80%
07/11/2025 	2 500 	2 500 	2 500 	2 500 	- 	0 	-2.34%
06/11/2025 	2 560 	2 555 	2 560 	2 555 	1 544 	3 952 640 	0.00%
05/11/2025 	2 560 	2 550 	2 560 	2 550 	1 709 	4 375 040 	0.39%
04/11/2025 	2 550 	2 550 	2 560 	2 560 	1 193 492 	3 043 404 600 	-0.39%
03/11/2025 	2 560 	2 560 	2 595 	2 595 	2 474 	6 333 440 	-1,35%
31/10/2025 	2 595 	2 580 	2 595 	2 580 	16 642 	43 185 990 	0.19%
30/10/2025 	2 590 	2 590 	2 590 	2 590 	3 482 	9 018 380 	-0.19%
