Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	5 600 	5 600 	5 635 	5 635 	2 925 	16 380 000 	-0.62%
26/01/2026 	5 635 	5 635 	5 640 	5 640 	3 047 	17 169 845 	0.00%
23/01/2026 	5 635 	5 635 	5 650 	5 650 	1 637 	9 224 495 	-0.27%
22/01/2026 	5 650 	5 650 	5 650 	5 650 	1 606 	9 073 900 	0.00%
21/01/2026 	5 650 	5 650 	5 670 	5 670 	8 828 	49 878 200 	-0.53%
20/01/2026 	5 680 	5 645 	5 680 	5 645 	2 616 	14 858 880 	1.07%
19/01/2026 	5 620 	5 450 	5 620 	5 450 	1 846 	10 374 520 	3.12%
16/01/2026 	5 450 	5 400 	5 450 	5 400 	2 891 	15 755 950 	0.93%
15/01/2026 	5 400 	5 390 	5 400 	5 390 	3 465 	18 711 000 	0.37%
14/01/2026 	5 380 	5 380 	5 450 	5 450 	2 957 	15 908 660 	-0.37%
13/01/2026 	5 400 	5 270 	5 400 	5 270 	7 437 	40 159 800 	2.47%
12/01/2026 	5 270 	5 240 	5 270 	5 240 	3 454 	18 202 580 	0.57%
09/01/2026 	5 240 	5 240 	5 240 	5 240 	4 441 	23 270 840 	0.00%
08/01/2026 	5 240 	5 240 	5 240 	5 240 	1 298 	6 801 520 	0.00%
07/01/2026 	5 240 	5 230 	5 240 	5 230 	2 236 	11 716 640 	0.19%
06/01/2026 	5 230 	5 230 	5 240 	5 240 	2 121 	11 092 830 	0.00%
05/01/2026 	5 230 	5 230 	5 240 	5 240 	1 301 	6 804 230 	-0.10%
02/01/2026 	5 235 	5 235 	5 240 	5 240 	2 052 	10 742 220 	-0.10%
01/01/2026 	5 240 	5 185 	5 240 	5 185 	3 468 	18 172 320 	0.00%
31/12/2025 	5 240 	5 185 	5 240 	5 185 	3 468 	18 172 320 	1.75%
30/12/2025 	5 150 	5 150 	5 190 	5 190 	2 503 	12 890 450 	-0.68%
29/12/2025 	5 185 	5 185 	5 200 	5 200 	2 877 	14 917 245 	-0.19%
26/12/2025 	5 195 	5 195 	5 200 	5 200 	1 450 	7 532 750 	-0.10%
25/12/2025 	5 200 	5 200 	5 235 	5 235 	3 113 	16 187 600 	0.00%
24/12/2025 	5 200 	5 200 	5 235 	5 235 	3 113 	16 187 600 	-0.67%
23/12/2025 	5 235 	5 235 	5 240 	5 240 	1 923 	10 066 905 	-0.10%
22/12/2025 	5 240 	5 240 	5 250 	5 250 	2 931 	15 358 440 	-0.95%
19/12/2025 	5 290 	5 290 	5 300 	5 300 	1 120 	5 924 800 	-0.19%
18/12/2025 	5 300 	5 300 	5 300 	5 300 	7 810 	41 393 000 	0.00%
17/12/2025 	5 300 	5 300 	5 395 	5 395 	3 774 	20 002 200 	-1.76%
16/12/2025 	5 395 	5 390 	5 395 	5 390 	4 777 	25 771 915 	-1.01%
15/12/2025 	5 450 	5 450 	5 475 	5 475 	5 948 	32 416 600 	-0.46%
12/12/2025 	5 475 	5 450 	5 475 	5 450 	2 732 	14 957 700 	-0.18%
11/12/2025 	5 485 	5 485 	5 485 	5 485 	863 	4 733 555 	1.57%
10/12/2025 	5 400 	5 400 	5 480 	5 480 	4 015 	21 681 000 	-1.46%
09/12/2025 	5 480 	5 480 	5 480 	5 480 	4 142 	22 698 160 	0.00%
08/12/2025 	5 480 	5 385 	5 480 	5 385 	1 921 	10 527 080 	1.76%
05/12/2025 	5 385 	5 385 	5 495 	5 495 	1 899 	10 226 115 	-1.91%
04/12/2025 	5 490 	5 490 	5 495 	5 495 	1 741 	9 558 090 	-0.09%
03/12/2025 	5 495 	5 495 	5 550 	5 550 	1 868 	10 264 660 	-0.99%
02/12/2025 	5 550 	5 550 	5 550 	5 550 	5 258 	29 181 900 	0.82%
01/12/2025 	5 505 	5 505 	5 525 	5 525 	3 811 	20 979 555 	-0.81%
28/11/2025 	5 550 	5 500 	5 550 	5 500 	1 454 	8 069 700 	1.19%
27/11/2025 	5 485 	5 485 	5 500 	5 500 	2 686 	14 732 710 	-0.27%
26/11/2025 	5 500 	5 500 	5 500 	5 500 	2 096 	11 528 000 	0.00%
25/11/2025 	5 500 	5 500 	5 500 	5 500 	9 403 	51 716 500 	3.58%
24/11/2025 	5 310 	5 310 	5 500 	5 500 	4 597 	24 410 070 	-3.45%
21/11/2025 	5 500 	5 500 	5 600 	5 600 	2 763 	15 196 500 	-0.09%
20/11/2025 	5 505 	5 505 	5 600 	5 600 	5 884 	32 391 420 	-1,70%
19/11/2025 	5 600 	5 470 	5 600 	5 470 	3 486 	19 521 600 	2.38%
18/11/2025 	5 470 	5 270 	5 470 	5 270 	6 210 	33 968 700 	3.89%
17/11/2025 	5 265 	5 265 	5 285 	5 285 	1 726 	9 087 390 	-0.47%
