Date 	Clôture 	Plus bas 	Plus haut 	Ouverture 	Volume Titres 	Volume FCFA 	Variation %
27/01/2026 	3 045 	3 045 	3 045 	3 045 	700 	2 131 500 	0,00%
26/01/2026 	3 045 	3 000 	3 045 	3 000 	2 997 	9 125 865 	1,67%
23/01/2026 	2 995 	2 950 	2 995 	2 950 	1 121 	3 357 395 	1,53%
22/01/2026 	2 950 	2 925 	2 950 	2 925 	714 	2 106 300 	0,85%
21/01/2026 	2 925 	2 735 	2 925 	2 735 	1 814 	5 305 950 	7,34%
20/01/2026 	2 725 	2 650 	2 725 	2 650 	702 	1 912 950 	4,61%
19/01/2026 	2 605 	2 600 	2 605 	2 600 	3 452 	8 992 460 	0,19%
16/01/2026 	2 600 	2 600 	2 685 	2 685 	806 	2 095 600 	0,00%
15/01/2026 	2 600 	2 600 	2 690 	2 690 	4 320 	11 232 000 	-3,35%
14/01/2026 	2 690 	2 620 	2 690 	2 620 	1 419 	3 817 110 	2,67%
13/01/2026 	2 620 	2 620 	2 625 	2 625 	600 	1 572 000 	-0,19%
12/01/2026 	2 625 	2 445 	2 625 	2 445 	695 	1 824 375 	7,36%
09/01/2026 	2 445 	2 355 	2 445 	2 355 	1 811 	4 427 895 	3,82%
08/01/2026 	2 355 	2 310 	2 355 	2 310 	647 	1 523 685 	2,39%
07/01/2026 	2 300 	2 300 	2 300 	2 300 	571 	1 313 300 	-2,34%
06/01/2026 	2 355 	2 350 	2 355 	2 350 	279 	657 045 	-0,21%
05/01/2026 	2 360 	2 350 	2 360 	2 350 	700 	1 652 000 	0,43%
02/01/2026 	2 350 	2 350 	2 360 	2 360 	742 	1 743 700 	-0,42%
01/01/2026 	2 360 	2 355 	2 360 	2 355 	50 	118 000 	0,00%
31/12/2025 	2 360 	2 355 	2 360 	2 355 	50 	118 000 	1,72%
30/12/2025 	2 320 	2 320 	2 320 	2 320 	137 	317 840 	0,87%
29/12/2025 	2 300 	2 300 	2 365 	2 365 	603 	1 386 900 	-2,75%
26/12/2025 	2 365 	2 365 	2 390 	2 390 	493 	1 165 945 	0,00%
25/12/2025 	2 365 	2 365 	2 365 	2 365 	405 	957 825 	0,00%
24/12/2025 	2 365 	2 365 	2 365 	2 365 	405 	957 825 	0,00%
23/12/2025 	2 365 	2 275 	2 365 	2 275 	1 830 	4 327 950 	7,50%
22/12/2025 	2 200 	2 200 	2 345 	2 345 	1 523 	3 350 600 	-6,18%
19/12/2025 	2 345 	2 345 	2 345 	2 345 	556 	1 303 820 	0,00%
18/12/2025 	2 345 	2 345 	2 345 	2 345 	546 	1 280 370 	0,00%
17/12/2025 	2 345 	2 345 	2 400 	2 400 	727 	1 704 815 	-0,21%
16/12/2025 	2 350 	2 350 	2 350 	2 350 	582 	1 367 700 	-3,89%
15/12/2025 	2 445 	2 300 	2 445 	2 300 	1 382 	3 378 990 	6,30%
12/12/2025 	2 300 	2 200 	2 300 	2 200 	989 	2 274 700 	4,55%
11/12/2025 	2 200 	2 185 	2 200 	2 185 	2 913 	6 408 600 	0,69%
10/12/2025 	2 185 	2 185 	2 200 	2 200 	518 	1 131 830 	-0,68%
09/12/2025 	2 200 	2 180 	2 200 	2 180 	262 	576 400 	0,69%
08/12/2025 	2 185 	2 185 	2 200 	2 200 	827 	1 806 995 	-0,23%
05/12/2025 	2 190 	2 190 	2 230 	2 230 	415 	908 850 	-1,79%
04/12/2025 	2 230 	2 230 	2 230 	2 230 	380 	847 400 	0,00%
03/12/2025 	2 230 	2 230 	2 230 	2 230 	3 496 	7 796 080 	3,00%
02/12/2025 	2 165 	2 165 	2 300 	2 300 	451 	976 415 	-5,87%
01/12/2025 	2 300 	2 300 	2 365 	2 365 	589 	1 354 700 	0,00%
28/11/2025 	2 300 	2 210 	2 300 	2 210 	779 	1 791 700 	4,07%
27/11/2025 	2 210 	2 100 	2 210 	2 100 	759 	1 677 390 	7,02%
26/11/2025 	2 065 	2 065 	2 240 	2 240 	711 	1 468 215 	-7,40%
25/11/2025 	2 230 	2 230 	2 400 	2 400 	2 444 	5 450 120 	-7,08%
24/11/2025 	2 400 	2 400 	2 400 	2 400 	393 	943 200 	7,14%
21/11/2025 	2 240 	2 240 	2 345 	2 345 	544 	1 218 560 	2,52%
20/11/2025 	2 185 	2 025 	2 185 	2 025 	377 	823 745 	7,37%
19/11/2025 	2 035 	2 035 	2 100 	2 100 	1 522 	3 097 270 	-6,86%
18/11/2025 	2 185 	2 185 	2 355 	2 355 	1 840 	4 020 400 	-7,42%
17/11/2025 	2 360 	2 360 	2 365 	2 365 	3 630 	8 566 800 	-7,45%
14/11/2025 	2 550 	2 550 	2 550 	2 550 	5 072 	12 933 600 	0,39%
13/11/2025 	2 540 	2 540 	2 540 	2 540 	1 465 	3 721 100 	7,40%
12/11/2025 	2 365 	2 365 	2 365 	2 365 	858 	2 029 170 	7,50%
11/11/2025 	2 200 	2 200 	2 200 	2 200 	6 641 	14 610 200 	7,32%
10/11/2025 	2 050 	2 035 	2 050 	2 035 	3 891 	7 976 550 	7,33%
07/11/2025 	1 910 	1 910 	1 910 	1 910 	- 	0 	2,69%
06/11/2025 	1 860 	1 850 	1 860 	1 850 	1 316 	2 447 760 	1,09%
05/11/2025 	1 840 	1 840 	1 850 	1 850 	1 567 	2 883 280 	-1,87%
04/11/2025 	1 875 	1 875 	1 970 	1 970 	2 939 	5 510 625 	-5,54%
03/11/2025 	1 985 	1 950 	1 985 	1 950 	627 	1 244 595 	7,30%
31/10/2025 	1 850 	1 800 	1 850 	1 800 	624 	1 154 400 	7,25%
30/10/2025 	1 725 	1 715 	1 725 	1 715 	2 116 	3 650 100 	1,17%
