Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	11 800 	11 600 	11 800 	11 600 	1 786 	21 074 800 	0.43%
26/01/2026 	11 750 	11 750 	11 950 	11 950 	1 476 	17 343 000 	-1.67%
23/01/2026 	11 950 	11 900 	11 950 	11 900 	440 	5 258 000 	0.42%
22/01/2026 	11 900 	11 900 	11 900 	11 900 	535 	6 366 500 	0.04%
21/01/2026 	11 895 	11 895 	11 895 	11 895 	894 	10 634 130 	0.00%
20/01/2026 	11 895 	11 895 	11 895 	11 895 	4 920 	58 523 400 	0.00%
19/01/2026 	11 895 	11 555 	11 895 	11 555 	987 	11 740 365 	7.11%
16/01/2026 	11 105 	11 105 	11 555 	11 555 	812 	9 017 260 	-3.89%
15/01/2026 	11 555 	11 105 	11 555 	11 105 	907 	10 480 385 	4.10%
14/01/2026 	11 100 	11 010 	11 100 	11 010 	207 	2 297 700 	0.91%
13/01/2026 	11 000 	10 900 	11 000 	10 900 	765 	8 415 000 	0.92%
12/01/2026 	10 900 	10 900 	10 950 	10 950 	198 	2 158 200 	-1.00%
09/01/2026 	11 010 	11 000 	11 010 	11 000 	166 	1 827 660 	0.09%
08/01/2026 	11 000 	10 980 	11 000 	10 980 	267 	2 937 000 	0.41%
07/01/2026 	10 955 	10 860 	10 955 	10 860 	238 	2 607 290 	0.87%
06/01/2026 	10 860 	10 860 	10 860 	10 860 	609 	6 613 740 	0.00%
05/01/2026 	10 860 	10 780 	10 860 	10 780 	441 	4 789 260 	0.14%
02/01/2026 	10 845 	10 780 	10 845 	10 780 	1 139 	12 352 455 	0.60%
01/01/2026 	10 780 	10 775 	10 780 	10 775 	233 	2 511 740 	0.00%
31/12/2025 	10 780 	10 775 	10 780 	10 775 	233 	2 511 740 	-0.65%
30/12/2025 	10 850 	10 780 	10 850 	10 780 	909 	9 862 650 	0.70%
29/12/2025 	10 775 	10 775 	10 775 	10 775 	631 	6 799 025 	0.00%
26/12/2025 	10 775 	10 775 	10 780 	10 780 	230 	2 478 250 	0.00%
25/12/2025 	10 775 	10 775 	10 775 	10 775 	402 	4 331 550 	0.00%
24/12/2025 	10 775 	10 775 	10 775 	10 775 	402 	4 331 550 	0.00%
23/12/2025 	10 775 	10 775 	10 780 	10 780 	68 	732 700 	-0.05%
