Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 525 	1 525 	1 585 	1 585 	6 434 	9 811 850 	0.33%
26/01/2026 	1 520 	1 495 	1 520 	1 495 	9 763 	14 839 760 	2.01%
23/01/2026 	1 490 	1 395 	1 490 	1 395 	9 058 	13 496 420 	7.19%
22/01/2026 	1 390 	1 390 	1 440 	1 440 	1 221 	1 697 190 	0.72%
21/01/2026 	1 380 	1 380 	1 400 	1 400 	2 817 	3 887 460 	-1.43%
20/01/2026 	1 400 	1 400 	1 450 	1 450 	2 199 	3 078 600 	-2.78%
19/01/2026 	1 440 	1 440 	1 450 	1 450 	1 756 	2 528 640 	-0.69%
16/01/2026 	1 450 	1 450 	1 455 	1 455 	976 	1 415 200 	-0.34%
15/01/2026 	1 455 	1 390 	1 455 	1 390 	5 203 	7 570 365 	4.68%
14/01/2026 	1 390 	1 345 	1 390 	1 345 	3 501 	4 866 390 	3.73%
13/01/2026 	1 340 	1 340 	1 345 	1 345 	773 	1 035 820 	-0.37%
12/01/2026 	1 345 	1 345 	1 345 	1 345 	1 193 	1 604 585 	0.00%
09/01/2026 	1 345 	1 345 	1 345 	1 345 	4 235 	5 696 075 	0.75%
08/01/2026 	1 335 	1 290 	1 335 	1 290 	1 265 	1 688 775 	4.71%
07/01/2026 	1 275 	1 250 	1 275 	1 250 	1 727 	2 201 925 	2.00%
06/01/2026 	1 250 	1 250 	1 305 	1 305 	9 269 	11 586 250 	-4,21%
05/01/2026 	1 305 	1 305 	1 370 	1 370 	6 653 	8 682 165 	-6.45%
02/01/2026 	1 395 	1 355 	1 395 	1 355 	2 776 	3 872 520 	-2.45%
01/01/2026 	1 430 	1 430 	1 450 	1 450 	1 284 	1 836 120 	0.00%
31/12/2025 	1 430 	1 430 	1 450 	1 450 	1 284 	1 836 120 	-1,38%
30/12/2025 	1 450 	1 450 	1 450 	1 450 	2 481 	3 597 450 	-0.68%
29/12/2025 	1 460 	1 450 	1 460 	1 450 	2 125 	3 102 500 	0.00%
26/12/2025 	1 460 	1 445 	1 460 	1 445 	2 804 	4 093 840 	1.04%
25/12/2025 	1 445 	1 300 	1 445 	1 300 	4 047 	5 847 915 	0.00%
24/12/2025 	1 445 	1 300 	1 445 	1 300 	4 047 	5 847 915 	3.21%
23/12/2025 	1 400 	1 400 	1 450 	1 450 	11 312 	15 836 800 	-3.45%
22/12/2025 	1 450 	1 450 	1 535 	1 535 	2 630 	3 813 500 	-0.34%
19/12/2025 	1 455 	1 455 	1 520 	1 520 	2 268 	3 299 940 	0.34%
18/12/2025 	1 450 	1 445 	1 450 	1 445 	5 754 	8 343 300 	0.35%
17/12/2025 	1 445 	1 445 	1 540 	1 540 	4 712 	6 808 840 	0.35%
16/12/2025 	1 440 	1 430 	1 440 	1 430 	1 472 	2 119 680 	1.41%
15/12/2025 	1 420 	1 400 	1 420 	1 400 	3 004 	4 265 680 	-0.35%
12/12/2025 	1 425 	1 425 	1 620 	1 620 	15 003 	21 379 275 	-5.94%
11/12/2025 	1 515 	1 515 	1 600 	1 600 	3 478 	5 269 170 	0.66%
10/12/2025 	1 505 	1 505 	1 670 	1 670 	8 617 	12 968 585 	-4,44%
09/12/2025 	1 575 	1 575 	1 700 	1 700 	7 937 	12 500 775 	-7.35%
08/12/2025 	1 700 	1 700 	1 735 	1 735 	736 	1 251 200 	-2.02%
05/12/2025 	1 735 	1 735 	1 750 	1 750 	713 	1 237 055 	0.00%
04/12/2025 	1 735 	1 735 	1 755 	1 755 	1 463 	2 538 305 	-1.14%
03/12/2025 	1 755 	1 755 	1 785 	1 785 	2 098 	3 681 990 	-1.40%
02/12/2025 	1 780 	1 725 	1 780 	1 725 	5 725 	10 190 500 	4.71%
01/12/2025 	1 700 	1 700 	1 700 	1 700 	8 806 	14 970 200 	0.59%
28/11/2025 	1 690 	1 690 	1 690 	1 690 	3 833 	6 477 770 	-0.29%
27/11/2025 	1 695 	1 585 	1 695 	1 585 	4 564 	7 735 980 	7.28%
26/11/2025 	1 580 	1 550 	1 580 	1 550 	9 749 	15 403 420 	4.98%
25/11/2025 	1 505 	1 485 	1 505 	1 485 	7 559 	11 376 295 	2.03%
24/11/2025 	1 475 	1 475 	1 475 	1 475 	4 317 	6 367 575 	-0.34%
21/11/2025 	1 480 	1 480 	1 500 	1 500 	3 416 	5 055 680 	-2,31%
20/11/2025 	1 515 	1 515 	1 530 	1 530 	5 822 	8 820 330 	0.00%
19/11/2025 	1 515 	1 515 	1 515 	1 515 	1 747 	2 646 705 	0.00%
18/11/2025 	1 515 	1 515 	1 530 	1 530 	3 124 	4 732 860 	-0.98%
17/11/2025 	1 530 	1 530 	1 530 	1 530 	2 681 	4 101 930 	0.00%
14/11/2025 	1 530 	1 530 	1 595 	1 595 	3 006 	4 599 180 	-4.97%
13/11/2025 	1 610 	1 610 	1 690 	1 690 	10 196 	16 415 560 	-3.01%
12/11/2025 	1 660 	1 660 	1 680 	1 680 	14 708 	24 415 280 	6.07%
11/11/2025 	1 565 	1 565 	1 565 	1 565 	30 112 	47 125 280 	7.19%
10/11/2025 	1 460 	1 460 	1 460 	1 460 	14 232 	20 778 720 	-7.30%
07/11/2025 	1 575 	1 575 	1 575 	1 575 	- 	0 	-7.35%
06/11/2025 	1 700 	1 700 	1 700 	1 700 	1 525 	2 592 500 	-7.36%
05/11/2025 	1 835 	1 835 	1 845 	1 845 	1 278 	2 345 130 	-7.32%
04/11/2025 	1 980 	1 980 	1 980 	1 980 	1 745 	3 455 100 	-7.48%
03/11/2025 	2 140 	2 140 	2 140 	2 140 	1 281 	2 741 340 	-7.36%
31/10/2025 	2 310 	2 310 	2 310 	2 310 	6 118 	14 132 580 	-7.41%
30/10/2025 	2 495 	2 330 	2 495 	2 330 	8 809 	21 978 455 	7.08%
