Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 650 	2 650 	2 695 	2 695 	3 623 	9 600 950 	-1.85%
26/01/2026 	2 700 	2 700 	2 700 	2 700 	7 670 	20 709 000 	-0.18%
23/01/2026 	2 705 	2 705 	2 720 	2 720 	5 857 	15 843 185 	-0.55%
22/01/2026 	2 720 	2 705 	2 720 	2 705 	5 074 	13 801 280 	0.74%
21/01/2026 	2 700 	2 665 	2 700 	2 665 	6 068 	16 383 600 	1.50%
20/01/2026 	2 660 	2 640 	2 660 	2 640 	2 477 	6 588 820 	1.33%
19/01/2026 	2 625 	2 590 	2 625 	2 590 	3 239 	8 502 375 	1.35%
16/01/2026 	2 590 	2 590 	2 590 	2 590 	9 684 	25 081 560 	0.00%
15/01/2026 	2 590 	2 565 	2 590 	2 565 	3 123 	8 088 570 	1.57%
14/01/2026 	2 550 	2 500 	2 550 	2 500 	3 756 	9 577 800 	2.00%
13/01/2026 	2 500 	2 490 	2 500 	2 490 	6 935 	17 337 500 	0.40%
12/01/2026 	2 490 	2 445 	2 490 	2 445 	12 674 	31 558 260 	3.75%
09/01/2026 	2 400 	2 400 	2 415 	2 415 	2 217 	5 320 800 	-0.41%
08/01/2026 	2 410 	2 410 	2 410 	2 410 	2 734 	6 588 940 	0.21%
07/01/2026 	2 405 	2 385 	2 405 	2 385 	5 891 	14 167 855 	1.26%
06/01/2026 	2 375 	2 320 	2 375 	2 320 	3 279 	7 787 625 	0.00%
05/01/2026 	2 375 	2 375 	2 400 	2 400 	3 426 	8 136 750 	-1.04%
02/01/2026 	2 400 	2 400 	2 430 	2 430 	5 847 	14 032 800 	1.69%
01/01/2026 	2 360 	2 360 	2 360 	2 360 	29 489 	69 594 040 	0.00%
31/12/2025 	2 360 	2 360 	2 360 	2 360 	29 489 	69 594 040 	4.66%
30/12/2025 	2 255 	2 255 	2 300 	2 300 	62 809 	141 634 295 	-1.96%
29/12/2025 	2 300 	2 300 	2 300 	2 300 	22 632 	52 053 600 	0.00%
26/12/2025 	2 300 	2 300 	2 300 	2 300 	29 933 	68 845 900 	0.00%
25/12/2025 	2 300 	2 300 	2 300 	2 300 	27 021 	62 148 300 	0.00%
24/12/2025 	2 300 	2 300 	2 300 	2 300 	27 021 	62 148 300 	-1.92%
23/12/2025 	2 345 	2 345 	2 445 	2 445 	7 820 	18 337 900 	-4,09%
22/12/2025 	2 445 	2 445 	2 500 	2 500 	17 081 	41 763 045 	-1.41%
19/12/2025 	2 480 	2 480 	2 500 	2 500 	2 400 	5 952 000 	-0.80%
18/12/2025 	2 500 	2 480 	2 500 	2 480 	1 820 	4 550 000 	1.21%
17/12/2025 	2 470 	2 470 	2 495 	2 495 	2 497 	6 167 590 	-1.00%
16/12/2025 	2 495 	2 400 	2 495 	2 400 	5 748 	14 341 260 	0.00%
15/12/2025 	2 495 	2 495 	2 500 	2 500 	18 947 	47 272 765 	-0.20%
12/12/2025 	2 500 	2 500 	2 500 	2 500 	8 608 	21 520 000 	0.00%
11/12/2025 	2 500 	2 500 	2 500 	2 500 	13 610 	34 025 000 	0.00%
10/12/2025 	2 500 	2 500 	2 500 	2 500 	11 244 	28 110 000 	0.00%
09/12/2025 	2 500 	2 500 	2 500 	2 500 	1 353 	3 382 500 	0.00%
08/12/2025 	2 500 	2 500 	2 500 	2 500 	3 073 	7 682 500 	0.00%
05/12/2025 	2 500 	2 500 	2 500 	2 500 	1 481 	3 702 500 	0.00%
04/12/2025 	2 500 	2 500 	2 500 	2 500 	5 173 	12 932 500 	0.00%
03/12/2025 	2 500 	2 460 	2 500 	2 460 	1 898 	4 745 000 	0.00%
02/12/2025 	2 500 	2 500 	2 500 	2 500 	2 689 	6 722 500 	0.00%
01/12/2025 	2 500 	2 500 	2 500 	2 500 	1 555 	3 887 500 	0.00%
28/11/2025 	2 500 	2 500 	2 500 	2 500 	2 578 	6 445 000 	0.00%
27/11/2025 	2 500 	2 500 	2 500 	2 500 	6 937 	17 342 500 	0.00%
26/11/2025 	2 500 	2 500 	2 500 	2 500 	1 600 	4 000 000 	0.00%
25/11/2025 	2 500 	2 500 	2 620 	2 620 	18 195 	45 487 500 	-4,58%
24/11/2025 	2 620 	2 620 	2 625 	2 625 	891 	2 334 420 	-0.38%
21/11/2025 	2 630 	2 515 	2 630 	2 515 	3 473 	9 133 990 	-0.38%
20/11/2025 	2 640 	2 640 	2 640 	2 640 	1 323 	3 492 720 	0.00%
19/11/2025 	2 640 	2 600 	2 640 	2 600 	996 	2 629 440 	1.54%
18/11/2025 	2 600 	2 600 	2 610 	2 610 	1 576 	4 097 600 	-0.38%
17/11/2025 	2 610 	2 510 	2 610 	2 510 	1 689 	4 408 290 	3.78%
14/11/2025 	2 515 	2 505 	2 515 	2 505 	2 934 	7 379 010 	-3,27%
13/11/2025 	2 600 	2 600 	2 615 	2 615 	4 647 	12 082 200 	0.00%
12/11/2025 	2 600 	2 600 	2 600 	2 600 	2 371 	6 164 600 	-0.38%
