Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	16 695 	16 690 	16 695 	16 690 	392 	6 544 440 	0.00%
26/01/2026 	16 695 	16 505 	16 695 	16 505 	1 706 	28 481 670 	1.15%
23/01/2026 	16 505 	16 505 	16 590 	16 590 	1 542 	25 450 710 	0.00%
22/01/2026 	16 505 	16 505 	16 700 	16 700 	438 	7 229 190 	-0.57%
21/01/2026 	16 600 	16 600 	16 700 	16 700 	582 	9 661 200 	0.61%
20/01/2026 	16 500 	16 500 	16 800 	16 800 	498 	8 217 000 	0.00%
19/01/2026 	16 500 	16 500 	16 500 	16 500 	413 	6 814 500 	0.00%
16/01/2026 	16 500 	16 500 	16 500 	16 500 	575 	9 487 500 	0.00%
15/01/2026 	16 500 	16 490 	16 500 	16 490 	765 	12 622 500 	0.06%
14/01/2026 	16 490 	16 490 	16 500 	16 500 	1 750 	28 857 500 	-0.06%
13/01/2026 	16 500 	15 800 	16 500 	15 800 	729 	12 028 500 	0.00%
12/01/2026 	16 500 	16 495 	16 500 	16 495 	330 	5 445 000 	0.03%
09/01/2026 	16 495 	16 250 	16 495 	16 250 	320 	5 278 400 	1.82%
08/01/2026 	16 200 	16 200 	16 295 	16 295 	1 223 	19 812 600 	0.00%
07/01/2026 	16 200 	16 200 	16 200 	16 200 	1 626 	26 341 200 	0.00%
06/01/2026 	16 200 	16 000 	16 200 	16 000 	1 101 	17 836 200 	2.56%
05/01/2026 	15 795 	15 795 	16 150 	16 150 	215 	3 395 925 	-1,28%
02/01/2026 	16 000 	16 000 	16 000 	16 000 	19 750 	316 000 000 	0.00%
01/01/2026 	16 000 	15 800 	16 000 	15 800 	589 	9 424 000 	0.00%
31/12/2025 	16 000 	15 800 	16 000 	15 800 	589 	9 424 000 	1.30%
30/12/2025 	15 795 	14 650 	15 795 	14 650 	80 571 	1 272 618 945 	1.31%
29/12/2025 	15 590 	14 630 	15 590 	14 630 	560 	8 730 400 	-0.06%
26/12/2025 	15 600 	15 005 	15 600 	15 005 	61 029 	952 052 400 	4.00%
25/12/2025 	15 000 	15 000 	15 005 	15 005 	98 	1 470 000 	0.00%
24/12/2025 	15 000 	15 000 	15 005 	15 005 	98 	1 470 000 	0.00%
23/12/2025 	15 000 	15 000 	15 000 	15 000 	727 	10 905 000 	-0.03%
22/12/2025 	15 005 	15 005 	15 005 	15 005 	1 919 	28 794 595 	-3,19%
19/12/2025 	15 500 	15 500 	15 800 	15 800 	6 098 	94 519 000 	2.89%
18/12/2025 	15 065 	15 065 	15 300 	15 300 	95 566 	1 439 701 790 	0.43%
17/12/2025 	15 000 	15 000 	15 050 	15 050 	6 585 	98 775 000 	-0.33%
16/12/2025 	15 050 	15 050 	15 220 	15 220 	5 742 	86 417 100 	-1.12%
15/12/2025 	15 220 	15 210 	15 220 	15 210 	1 258 	19 146 760 	0.07%
12/12/2025 	15 210 	15 210 	16 475 	16 475 	1 785 	27 149 850 	-3.73%
