Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	23 	23 	24 	24 	434 124 	9 984 852 	0.00%
26/01/2026 	23 	23 	24 	24 	669 539 	15 399 397 	-4,17%
23/01/2026 	24 	24 	24 	24 	2 092 853 	50 228 472 	4.35%
22/01/2026 	23 	23 	23 	23 	7 433 179 	170 963 117 	4.55%
21/01/2026 	22 	22 	23 	23 	1 315 805 	28 947 710 	-4.35%
20/01/2026 	23 	23 	23 	23 	248 961 	5 726 103 	4.55%
19/01/2026 	22 	22 	23 	23 	409 888 	9 017 536 	-4.35%
16/01/2026 	23 	23 	23 	23 	276 865 	6 367 895 	0.00%
15/01/2026 	23 	22 	23 	22 	447 179 	10 285 117 	4.55%
14/01/2026 	22 	22 	23 	23 	99 777 	2 195 094 	-4.35%
13/01/2026 	23 	22 	23 	22 	180 741 	4 157 043 	4.55%
12/01/2026 	22 	22 	23 	23 	134 028 	2 948 616 	0.00%
09/01/2026 	22 	22 	23 	23 	251 493 	5 532 846 	-4.35%
08/01/2026 	23 	22 	23 	22 	67 681 	1 556 663 	4.55%
07/01/2026 	22 	22 	22 	22 	209 123 	4 600 706 	0.00%
06/01/2026 	22 	22 	22 	22 	273 645 	6 020 190 	0.00%
05/01/2026 	22 	22 	23 	23 	600 533 	13 211 726 	-4.35%
02/01/2026 	23 	23 	23 	23 	89 496 	2 058 408 	0.00%
01/01/2026 	23 	23 	23 	23 	102 648 	2 360 904 	0.00%
31/12/2025 	23 	23 	23 	23 	102 648 	2 360 904 	0.00%
30/12/2025 	23 	23 	23 	23 	284 598 	6 545 754 	0.00%
29/12/2025 	23 	22 	23 	22 	436 722 	10 044 606 	4.55%
26/12/2025 	22 	22 	23 	23 	154 254 	3 393 588 	-4.35%
25/12/2025 	23 	23 	23 	23 	37 949 	872 827 	0.00%
24/12/2025 	23 	23 	23 	23 	37 949 	872 827 	0.00%
23/12/2025 	23 	23 	23 	23 	177 638 	4 085 674 	0.00%
22/12/2025 	23 	23 	23 	23 	289 142 	6 650 266 	0.00%
19/12/2025 	23 	23 	23 	23 	98 865 	2 273 895 	0.00%
18/12/2025 	23 	22 	23 	22 	124 009 	2 852 207 	0.00%
17/12/2025 	23 	23 	23 	23 	86 637 	1 992 651 	0.00%
16/12/2025 	23 	22 	23 	22 	189 913 	4 367 999 	4.55%
15/12/2025 	22 	22 	22 	22 	679 321 	14 945 062 	0.00%
12/12/2025 	22 	22 	22 	22 	246 169 	5 415 718 	0.00%
11/12/2025 	22 	21 	22 	21 	119 573 	2 630 606 	4.76%
10/12/2025 	21 	21 	21 	21 	2 034 257 	42 719 397 	0.00%
09/12/2025 	21 	21 	22 	22 	184 078 	3 865 638 	-4,55%
08/12/2025 	22 	22 	22 	22 	259 204 	5 702 488 	0.00%
05/12/2025 	22 	22 	22 	22 	1 663 324 	36 593 128 	0.00%
04/12/2025 	22 	22 	22 	22 	178 564 	3 928 408 	0.00%
03/12/2025 	22 	22 	22 	22 	144 387 	3 176 514 	0.00%
02/12/2025 	22 	22 	22 	22 	331 122 	7 284 684 	0.00%
01/12/2025 	22 	22 	22 	22 	302 285 	6 650 270 	-4.35%
28/11/2025 	23 	22 	23 	22 	3 261 595 	75 016 685 	0.00%
27/11/2025 	23 	23 	23 	23 	184 136 	4 235 128 	0.00%
26/11/2025 	23 	22 	23 	22 	844 219 	19 417 037 	0.00%
25/11/2025 	23 	23 	23 	23 	1 959 815 	45 075 745 	-4,17%
24/11/2025 	24 	23 	24 	23 	223 304 	5 359 296 	0.00%
21/11/2025 	24 	23 	24 	23 	946 885 	22 725 240 	0.00%
20/11/2025 	24 	24 	24 	24 	138 118 	3 314 832 	0.00%
19/11/2025 	24 	24 	24 	24 	149 463 	3 587 112 	0.00%
18/11/2025 	24 	23 	24 	23 	295 409 	7 089 816 	4.35%
17/11/2025 	23 	23 	23 	23 	137 594 	3 164 662 	4.55%
14/11/2025 	22 	22 	22 	22 	199 429 	4 387 438 	0.00%
13/11/2025 	22 	22 	23 	23 	448 393 	9 864 646 	-4.35%
12/11/2025 	23 	23 	23 	23 	1 204 339 	27 699 797 	0.00%
11/11/2025 	23 	23 	23 	23 	437 158 	10 054 634 	0.00%
10/11/2025 	23 	23 	24 	24 	465 551 	10 707 673 	-4,17%
07/11/2025 	24 	24 	24 	24 	- 	0 	0.00%
06/11/2025 	24 	23 	24 	23 	282 339 	6 776 136 	4.35%
05/11/2025 	23 	23 	23 	23 	2 431 763 	55 930 549 	0.00%
04/11/2025 	23 	22 	23 	22 	973 591 	22 392 593 	4.55%
03/11/2025 	22 	22 	22 	22 	441 472 	9 712 384 	0.00%
31/10/2025 	22 	22 	22 	22 	656 938 	14 452 636 	0.00%
30/10/2025 	22 	22 	22 	22 	519 076 	11 419 672 	0.00%
