Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 100 	2 100 	2 120 	2 120 	3 305 	6 940 500 	-0.71%
26/01/2026 	2 115 	2 100 	2 115 	2 100 	2 571 	5 437 665 	3.68%
23/01/2026 	2 040 	2 040 	2 050 	2 050 	4 215 	8 598 600 	-2.86%
22/01/2026 	2 100 	2 050 	2 100 	2 050 	3 662 	7 690 200 	0.00%
21/01/2026 	2 100 	2 100 	2 100 	2 100 	3 150 	6 615 000 	0.00%
20/01/2026 	2 100 	2 100 	2 175 	2 175 	3 996 	8 391 600 	-3,67%
19/01/2026 	2 180 	2 135 	2 180 	2 135 	9 030 	19 685 400 	2.11%
16/01/2026 	2 135 	2 135 	2 160 	2 160 	18 245 	38 953 075 	-0,70%
15/01/2026 	2 150 	2 135 	2 150 	2 135 	1 943 	4 177 450 	0.00%
14/01/2026 	2 150 	2 150 	2 155 	2 155 	1 737 	3 734 550 	-0.23%
13/01/2026 	2 155 	2 155 	2 155 	2 155 	1 888 	4 068 640 	1.17%
12/01/2026 	2 130 	2 130 	2 155 	2 155 	2 779 	5 919 270 	-1.16%
09/01/2026 	2 155 	2 155 	2 215 	2 215 	2 864 	6 171 920 	-2,71%
08/01/2026 	2 215 	2 065 	2 215 	2 065 	3 840 	8 505 600 	7.26%
07/01/2026 	2 065 	1 800 	2 065 	1 800 	10 131 	20 920 515 	7.27%
06/01/2026 	1 925 	1 925 	1 925 	1 925 	16 020 	30 838 500 	-7.45%
05/01/2026 	2 080 	2 035 	2 080 	2 035 	13 366 	27 801 280 	-5.24%
02/01/2026 	2 195 	2 195 	2 210 	2 210 	4 132 	9 069 740 	-1.13%
01/01/2026 	2 220 	2 220 	2 235 	2 235 	1 823 	4 047 060 	0.00%
31/12/2025 	2 220 	2 220 	2 235 	2 235 	1 823 	4 047 060 	0.91%
30/12/2025 	2 200 	2 200 	2 255 	2 255 	3 335 	7 337 000 	-2.87%
29/12/2025 	2 265 	2 265 	2 295 	2 295 	1 525 	3 454 125 	-1,31%
26/12/2025 	2 295 	2 285 	2 295 	2 285 	4 457 	10 228 815 	0.66%
25/12/2025 	2 280 	2 265 	2 280 	2 265 	567 	1 292 760 	0.00%
