Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	4 000 	3 805 	4 000 	3 805 	2 556 	10 224 000 	2.56%
26/01/2026 	3 900 	3 900 	4 000 	4 000 	2 187 	8 529 300 	-2.50%
23/01/2026 	4 000 	3 900 	4 000 	3 900 	1 088 	4 352 000 	0.00%
22/01/2026 	4 000 	4 000 	4 020 	4 020 	574 	2 296 000 	-0.50%
21/01/2026 	4 020 	4 020 	4 030 	4 030 	94 	377 880 	-0.74%
20/01/2026 	4 050 	4 050 	4 070 	4 070 	109 	441 450 	-0.49%
19/01/2026 	4 070 	4 070 	4 075 	4 075 	1 380 	5 616 600 	-0.25%
16/01/2026 	4 080 	4 000 	4 080 	4 000 	1 051 	4 288 080 	2.00%
15/01/2026 	4 000 	4 000 	4 000 	4 000 	838 	3 352 000 	0.13%
14/01/2026 	3 995 	3 995 	4 000 	4 000 	263 	1 050 685 	-2.44%
13/01/2026 	4 095 	4 090 	4 095 	4 090 	497 	2 035 215 	0.00%
12/01/2026 	4 095 	4 095 	4 130 	4 130 	457 	1 871 415 	-0.85%
09/01/2026 	4 130 	4 130 	4 130 	4 130 	82 	338 660 	-0.48%
08/01/2026 	4 150 	4 150 	4 195 	4 195 	3 198 	13 271 700 	-1.07%
07/01/2026 	4 195 	3 970 	4 195 	3 970 	254 	1 065 530 	-2,21%
06/01/2026 	4 290 	4 290 	4 295 	4 295 	441 	1 891 890 	-0.12%
05/01/2026 	4 295 	4 200 	4 295 	4 200 	355 	1 524 725 	0.00%
02/01/2026 	4 295 	3 995 	4 295 	3 995 	284 	1 219 780 	0.00%
01/01/2026 	4 295 	4 295 	4 350 	4 350 	164 	704 380 	0.00%
31/12/2025 	4 295 	4 295 	4 350 	4 350 	164 	704 380 	-1,38%
30/12/2025 	4 355 	4 355 	4 445 	4 445 	103 	448 565 	-3,65%
29/12/2025 	4 520 	4 200 	4 520 	4 200 	4 145 	18 735 400 	1.01%
26/12/2025 	4 475 	4 000 	4 475 	4 000 	2 814 	12 592 650 	6.55%
25/12/2025 	4 200 	3 760 	4 200 	3 760 	2 793 	11 730 600 	0.00%
24/12/2025 	4 200 	3 760 	4 200 	3 760 	2 793 	11 730 600 	5.13%
23/12/2025 	3 995 	3 900 	3 995 	3 900 	16 386 	65 462 070 	2.44%
22/12/2025 	3 900 	3 900 	3 900 	3 900 	2 212 	8 626 800 	0.00%
19/12/2025 	3 900 	3 755 	3 900 	3 755 	149 	581 100 	0.00%
18/12/2025 	3 900 	3 875 	3 900 	3 875 	1 246 	4 859 400 	0.65%
17/12/2025 	3 875 	3 730 	3 875 	3 730 	664 	2 573 000 	-0.13%
16/12/2025 	3 880 	3 800 	3 880 	3 800 	928 	3 600 640 	2.11%
15/12/2025 	3 800 	3 800 	3 860 	3 860 	262 	995 600 	-1.55%
12/12/2025 	3 860 	3 860 	3 865 	3 865 	82 	316 520 	-0.13%
11/12/2025 	3 865 	3 865 	3 880 	3 880 	551 	2 129 615 	1.05%
10/12/2025 	3 825 	3 825 	3 880 	3 880 	1 373 	5 251 725 	-0.65%
09/12/2025 	3 850 	3 700 	3 850 	3 700 	7 096 	27 319 600 	4.05%
08/12/2025 	3 700 	3 700 	3 820 	3 820 	2 922 	10 811 400 	-4,76%
05/12/2025 	3 885 	3 795 	3 885 	3 795 	5 314 	20 644 890 	1.57%
04/12/2025 	3 825 	3 800 	3 825 	3 800 	262 	1 002 150 	-0.65%
03/12/2025 	3 850 	3 795 	3 850 	3 795 	818 	3 149 300 	1.58%
02/12/2025 	3 790 	3 790 	3 800 	3 800 	291 	1 102 890 	-0.26%
01/12/2025 	3 800 	3 750 	3 800 	3 750 	1 201 	4 563 800 	0.00%
28/11/2025 	3 800 	3 795 	3 800 	3 795 	874 	3 321 200 	0.00%
27/11/2025 	3 800 	3 800 	3 800 	3 800 	211 	801 800 	0.00%
26/11/2025 	3 800 	3 705 	3 800 	3 705 	351 	1 333 800 	-1,30%
25/11/2025 	3 850 	3 750 	3 850 	3 750 	14 512 	55 871 200 	2.53%
24/11/2025 	3 755 	3 755 	3 845 	3 845 	7 655 	28 744 525 	-3.47%
21/11/2025 	3 890 	3 800 	3 890 	3 800 	5 149 	20 029 610 	0.91%
20/11/2025 	3 855 	3 800 	3 855 	3 800 	394 	1 518 870 	1.45%
19/11/2025 	3 800 	3 800 	3 850 	3 850 	3 048 	11 582 400 	-1,30%
18/11/2025 	3 850 	3 850 	3 950 	3 950 	201 	773 850 	-1.03%
17/11/2025 	3 890 	3 850 	3 890 	3 850 	1 107 	4 306 230 	-0.26%
14/11/2025 	3 900 	3 900 	3 995 	3 995 	397 	1 548 300 	0.00%
13/11/2025 	3 900 	3 900 	4 000 	4 000 	184 	717 600 	-2.50%
12/11/2025 	4 000 	3 825 	4 000 	3 825 	5 578 	22 312 000 	2.70%
11/11/2025 	3 895 	3 825 	3 895 	3 825 	234 	911 430 	1.83%
10/11/2025 	3 825 	3 750 	3 825 	3 750 	49 	187 425 	2.96%
07/11/2025 	3 715 	3 715 	3 715 	3 715 	- 	0 	0.00%
06/11/2025 	3 715 	3 715 	3 800 	3 800 	1 373 	5 100 695 	-4,74%
05/11/2025 	3 900 	3 850 	3 900 	3 850 	117 	456 300 	1.30%
04/11/2025 	3 850 	3 805 	3 850 	3 805 	947 	3 645 950 	0.00%
03/11/2025 	3 850 	3 800 	3 850 	3 800 	367 	1 412 950 	0.00%
31/10/2025 	3 850 	3 820 	3 850 	3 820 	212 	816 200 	0.92%
30/10/2025 	3 815 	3 815 	4 000 	4 000 	1 302 	4 967 130 	-4,63%
