Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 175 	1 165 	1 175 	1 165 	4 248 	4 991 400 	1.73%
26/01/2026 	1 155 	1 155 	1 155 	1 155 	3 650 	4 215 750 	0.00%
23/01/2026 	1 155 	1 155 	1 175 	1 175 	4 427 	5 113 185 	-1,70%
22/01/2026 	1 175 	1 175 	1 195 	1 195 	2 836 	3 332 300 	0.00%
21/01/2026 	1 175 	1 170 	1 175 	1 170 	7 896 	9 277 800 	1.29%
20/01/2026 	1 160 	1 130 	1 160 	1 130 	9 805 	11 373 800 	2.65%
19/01/2026 	1 130 	1 130 	1 205 	1 205 	23 924 	27 034 120 	-0.44%
16/01/2026 	1 135 	1 135 	1 200 	1 200 	9 622 	10 920 970 	0.89%
15/01/2026 	1 125 	1 125 	1 200 	1 200 	38 005 	42 755 625 	-4,26%
14/01/2026 	1 175 	1 175 	1 180 	1 180 	7 485 	8 794 875 	2.17%
13/01/2026 	1 150 	1 150 	1 205 	1 205 	21 045 	24 201 750 	-4,17%
12/01/2026 	1 200 	1 200 	1 200 	1 200 	4 080 	4 896 000 	4.35%
09/01/2026 	1 150 	1 095 	1 150 	1 095 	4 412 	5 073 800 	6.48%
08/01/2026 	1 080 	1 065 	1 080 	1 065 	904 	976 320 	7.46%
07/01/2026 	1 005 	980 	1 005 	980 	773 	776 865 	0.50%
06/01/2026 	1 000 	1 000 	1 010 	1 010 	4 354 	4 354 000 	-2,91%
05/01/2026 	1 030 	1 030 	1 030 	1 030 	1 153 	1 187 590 	-7.21%
02/01/2026 	1 110 	1 110 	1 190 	1 190 	1 381 	1 532 910 	-7.50%
01/01/2026 	1 200 	1 190 	1 200 	1 190 	4 986 	5 983 200 	0.00%
31/12/2025 	1 200 	1 190 	1 200 	1 190 	4 986 	5 983 200 	0.84%
30/12/2025 	1 190 	1 115 	1 190 	1 115 	6 354 	7 561 260 	7.21%
29/12/2025 	1 110 	1 110 	1 115 	1 115 	8 177 	9 076 470 	6.73%
26/12/2025 	1 040 	980 	1 040 	980 	14 167 	14 733 680 	6.12%
25/12/2025 	980 	980 	990 	990 	1 412 	1 383 760 	0.00%
24/12/2025 	980 	980 	990 	990 	1 412 	1 383 760 	-1.01%
23/12/2025 	990 	945 	990 	945 	1 550 	1 534 500 	4.76%
22/12/2025 	945 	900 	945 	900 	1 128 	1 065 960 	5.00%
19/12/2025 	900 	895 	900 	895 	9 135 	8 221 500 	0.00%
18/12/2025 	900 	900 	930 	930 	9 874 	8 886 600 	-4,26%
17/12/2025 	940 	935 	940 	935 	1 275 	1 198 500 	-0.53%
16/12/2025 	945 	935 	945 	935 	979 	925 155 	1.07%
15/12/2025 	935 	900 	935 	900 	1 428 	1 335 180 	-1.06%
12/12/2025 	945 	945 	945 	945 	536 	506 520 	0.00%
11/12/2025 	945 	945 	945 	945 	445 	420 525 	1.07%
10/12/2025 	935 	935 	940 	940 	260 	243 100 	-0.53%
09/12/2025 	940 	915 	940 	915 	2 618 	2 460 920 	-0.53%
08/12/2025 	945 	945 	950 	950 	444 	419 580 	-0.53%
05/12/2025 	950 	905 	950 	905 	170 	161 500 	0.00%
04/12/2025 	950 	950 	950 	950 	252 	239 400 	0.00%
03/12/2025 	950 	945 	950 	945 	885 	840 750 	4.97%
02/12/2025 	905 	900 	905 	900 	520 	470 600 	0.56%
01/12/2025 	900 	900 	905 	905 	2 136 	1 922 400 	-0.55%
28/11/2025 	905 	905 	930 	930 	857 	775 585 	-2,16%
27/11/2025 	925 	900 	925 	900 	1 069 	988 825 	2.78%
26/11/2025 	900 	900 	900 	900 	1 180 	1 062 000 	-4,26%
25/11/2025 	940 	940 	940 	940 	2 512 	2 361 280 	0.00%
24/11/2025 	940 	940 	945 	945 	1 408 	1 323 520 	-0.53%
21/11/2025 	945 	945 	945 	945 	545 	515 025 	0.00%
20/11/2025 	945 	945 	975 	975 	467 	441 315 	-3.08%
19/11/2025 	975 	930 	975 	930 	1 839 	1 793 025 	5.98%
18/11/2025 	920 	920 	985 	985 	1 510 	1 389 200 	-7.07%
17/11/2025 	990 	990 	995 	995 	2 589 	2 563 110 	-0.50%
14/11/2025 	995 	985 	995 	985 	441 	438 795 	1.02%
13/11/2025 	985 	930 	985 	930 	2 323 	2 288 155 	-1.01%
12/11/2025 	995 	995 	1 000 	1 000 	2 233 	2 221 835 	-0.50%
11/11/2025 	1 000 	955 	1 000 	955 	5 946 	5 946 000 	6.38%
10/11/2025 	940 	940 	940 	940 	2 007 	1 886 580 	-7.39%
07/11/2025 	1 015 	1 015 	1 015 	1 015 	- 	0 	-7.31%
06/11/2025 	1 095 	1 095 	1 095 	1 095 	7 594 	8 315 430 	7.35%
05/11/2025 	1 020 	1 020 	1 020 	1 020 	6 079 	6 200 580 	7.37%
04/11/2025 	950 	890 	950 	890 	10 482 	9 957 900 	7.34%
03/11/2025 	885 	885 	885 	885 	13 787 	12 201 495 	7.27%
31/10/2025 	825 	770 	825 	770 	20 917 	17 256 525 	7.14%
30/10/2025 	770 	735 	770 	735 	3 623 	2 789 710 	6.94%
