Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	12 095 	12 095 	12 100 	12 100 	781 	9 446 195 	-0.04%
26/01/2026 	12 100 	12 050 	12 100 	12 050 	737 	8 917 700 	-0.12%
23/01/2026 	12 115 	12 115 	12 195 	12 195 	337 	4 082 755 	0.96%
22/01/2026 	12 000 	11 980 	12 000 	11 980 	1 677 	20 124 000 	0.21%
21/01/2026 	11 975 	11 975 	11 975 	11 975 	587 	7 029 325 	0.55%
20/01/2026 	11 910 	11 910 	11 980 	11 980 	650 	7 741 500 	-0.58%
19/01/2026 	11 980 	11 450 	11 980 	11 450 	1 854 	22 210 920 	5.04%
16/01/2026 	11 405 	11 405 	11 445 	11 445 	1 095 	12 488 475 	2.24%
15/01/2026 	11 155 	11 155 	11 445 	11 445 	2 376 	26 504 280 	-2.53%
14/01/2026 	11 445 	11 445 	11 445 	11 445 	733 	8 389 185 	0.00%
13/01/2026 	11 445 	11 445 	11 450 	11 450 	2 022 	23 141 790 	-0.04%
12/01/2026 	11 450 	11 450 	11 450 	11 450 	617 	7 064 650 	1.78%
09/01/2026 	11 250 	11 200 	11 250 	11 200 	902 	10 147 500 	0.45%
08/01/2026 	11 200 	11 200 	11 300 	11 300 	1 271 	14 235 200 	-0.88%
07/01/2026 	11 300 	11 300 	11 300 	11 300 	1 091 	12 328 300 	-0.88%
06/01/2026 	11 400 	11 400 	11 400 	11 400 	576 	6 566 400 	0.00%
05/01/2026 	11 400 	11 400 	11 400 	11 400 	2 029 	23 130 600 	-0.26%
02/01/2026 	11 430 	11 430 	11 445 	11 445 	642 	7 338 060 	-0.13%
01/01/2026 	11 445 	11 350 	11 445 	11 350 	2 978 	34 083 210 	0.00%
31/12/2025 	11 445 	11 350 	11 445 	11 350 	2 978 	34 083 210 	0.84%
30/12/2025 	11 350 	11 350 	11 400 	11 400 	3 070 	34 844 500 	0.00%
29/12/2025 	11 350 	11 350 	11 450 	11 450 	785 	8 909 750 	-0.87%
26/12/2025 	11 450 	11 010 	11 450 	11 010 	1 970 	22 556 500 	4.09%
25/12/2025 	11 000 	11 000 	11 450 	11 450 	1 985 	21 835 000 	0.00%
24/12/2025 	11 000 	11 000 	11 450 	11 450 	1 985 	21 835 000 	-3,51%
23/12/2025 	11 400 	11 400 	11 400 	11 400 	1 121 	12 779 400 	0.00%
22/12/2025 	11 400 	11 400 	11 500 	11 500 	757 	8 629 800 	-0.87%
19/12/2025 	11 500 	11 500 	11 500 	11 500 	891 	10 246 500 	0.00%
18/12/2025 	11 500 	11 500 	11 505 	11 505 	1 850 	21 275 000 	-3.48%
17/12/2025 	11 915 	11 915 	11 935 	11 935 	841 	10 020 515 	-0.17%
16/12/2025 	11 935 	11 935 	11 940 	11 940 	692 	8 259 020 	-0.04%
15/12/2025 	11 940 	11 900 	11 940 	11 900 	564 	6 734 160 	-0.33%
12/12/2025 	11 980 	11 980 	11 985 	11 985 	689 	8 254 220 	-0.08%
11/12/2025 	11 990 	11 900 	11 990 	11 900 	901 	10 802 990 	0.76%
10/12/2025 	11 900 	11 900 	11 900 	11 900 	440 	5 236 000 	-0.67%
09/12/2025 	11 980 	11 880 	11 980 	11 880 	702 	8 409 960 	0.67%
08/12/2025 	11 900 	11 900 	11 990 	11 990 	257 	3 058 300 	-0.71%
05/12/2025 	11 985 	11 985 	11 985 	11 985 	1 094 	13 111 590 	0.00%
04/12/2025 	11 985 	11 985 	11 985 	11 985 	989 	11 853 165 	-0.04%
03/12/2025 	11 990 	11 505 	11 990 	11 505 	1 012 	12 133 880 	0.76%
02/12/2025 	11 900 	11 900 	11 955 	11 955 	640 	7 616 000 	-0.75%
01/12/2025 	11 990 	11 905 	11 990 	11 905 	406 	4 867 940 	0.00%
28/11/2025 	11 990 	11 990 	11 990 	11 990 	874 	10 479 260 	0.00%
27/11/2025 	11 990 	11 990 	11 995 	11 995 	1 738 	20 838 620 	-0.04%
26/11/2025 	11 995 	11 980 	11 995 	11 980 	633 	7 592 835 	-0.04%
25/11/2025 	12 000 	11 955 	12 000 	11 955 	2 379 	28 548 000 	0.38%
24/11/2025 	11 955 	11 955 	11 990 	11 990 	261 	3 120 255 	-0.29%
21/11/2025 	11 990 	11 990 	12 000 	12 000 	3 226 	38 679 740 	-0.08%
