Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	11 100 	11 100 	11 400 	11 400 	3 206 	35 586 600 	-2.59%
26/01/2026 	11 395 	11 300 	11 395 	11 300 	1 004 	11 440 580 	1.29%
23/01/2026 	11 250 	11 195 	11 250 	11 195 	2 707 	30 453 750 	1.35%
22/01/2026 	11 100 	11 100 	11 300 	11 300 	537 	5 960 700 	-0.89%
21/01/2026 	11 200 	11 105 	11 200 	11 105 	1 439 	16 116 800 	0.86%
20/01/2026 	11 105 	11 105 	11 400 	11 400 	190 	2 109 950 	-2.50%
19/01/2026 	11 390 	11 100 	11 390 	11 100 	866 	9 863 740 	2.61%
16/01/2026 	11 100 	10 715 	11 100 	10 715 	263 	2 919 300 	3.64%
15/01/2026 	10 710 	10 710 	11 500 	11 500 	793 	8 493 030 	-6.87%
14/01/2026 	11 500 	10 900 	11 500 	10 900 	64 592 	742 808 000 	5.50%
13/01/2026 	10 900 	10 700 	10 900 	10 700 	906 	9 875 400 	1.87%
12/01/2026 	10 700 	10 700 	10 995 	10 995 	470 	5 029 000 	-2.55%
09/01/2026 	10 980 	10 900 	10 980 	10 900 	454 	4 984 920 	0.73%
08/01/2026 	10 900 	10 900 	10 900 	10 900 	525 	5 722 500 	0.00%
07/01/2026 	10 900 	10 895 	10 900 	10 895 	1 061 	11 564 900 	0.00%
06/01/2026 	10 900 	10 900 	10 945 	10 945 	646 	7 041 400 	-0.41%
05/01/2026 	10 945 	10 945 	10 995 	10 995 	881 	9 642 545 	-0.45%
02/01/2026 	10 995 	10 650 	10 995 	10 650 	464 	5 101 680 	3.24%
01/01/2026 	10 650 	10 600 	10 650 	10 600 	297 	3 163 050 	0.00%
31/12/2025 	10 650 	10 600 	10 650 	10 600 	297 	3 163 050 	0.42%
30/12/2025 	10 605 	10 500 	10 605 	10 500 	805 	8 537 025 	1.00%
29/12/2025 	10 500 	10 500 	10 795 	10 795 	677 	7 108 500 	-2.78%
26/12/2025 	10 800 	10 800 	10 900 	10 900 	1 380 	14 904 000 	-0.96%
25/12/2025 	10 905 	10 905 	10 925 	10 925 	297 	3 238 785 	0.00%
24/12/2025 	10 905 	10 905 	10 925 	10 925 	297 	3 238 785 	-0.18%
23/12/2025 	10 925 	10 925 	11 050 	11 050 	413 	4 512 025 	-1.13%
22/12/2025 	11 050 	11 050 	11 145 	11 145 	1 657 	18 309 850 	-0.90%
19/12/2025 	11 150 	11 150 	11 200 	11 200 	612 	6 823 800 	-0.45%
18/12/2025 	11 200 	11 200 	11 200 	11 200 	310 	3 472 000 	0.00%
17/12/2025 	11 200 	11 200 	11 250 	11 250 	1 255 	14 056 000 	-0.44%
16/12/2025 	11 250 	11 250 	11 290 	11 290 	418 	4 702 500 	-0.35%
15/12/2025 	11 290 	11 290 	11 290 	11 290 	1 259 	14 214 110 	0.00%
12/12/2025 	11 290 	11 290 	11 395 	11 395 	218 	2 461 220 	0.36%
11/12/2025 	11 250 	11 250 	11 400 	11 400 	248 	2 790 000 	-1,32%
10/12/2025 	11 400 	11 400 	11 400 	11 400 	6 396 	72 914 400 	-0.18%
09/12/2025 	11 420 	11 400 	11 420 	11 400 	656 	7 491 520 	0.18%
08/12/2025 	11 400 	11 400 	11 450 	11 450 	557 	6 349 800 	-0.44%
05/12/2025 	11 450 	11 450 	11 495 	11 495 	132 	1 511 400 	-0.39%
04/12/2025 	11 495 	11 000 	11 495 	11 000 	2 394 	27 519 030 	0.00%
03/12/2025 	11 495 	11 495 	11 530 	11 530 	750 	8 621 250 	-0.30%
02/12/2025 	11 530 	11 530 	11 530 	11 530 	94 	1 083 820 	0.00%
01/12/2025 	11 530 	11 450 	11 530 	11 450 	933 	10 757 490 	0.70%
28/11/2025 	11 450 	11 450 	11 500 	11 500 	317 	3 629 650 	-0.43%
27/11/2025 	11 500 	11 500 	11 820 	11 820 	912 	10 488 000 	-2.54%
26/11/2025 	11 800 	11 800 	11 820 	11 820 	15 549 	183 478 200 	-0.17%
25/11/2025 	11 820 	11 530 	11 820 	11 530 	655 	7 742 100 	2.52%
24/11/2025 	11 530 	11 530 	11 850 	11 850 	223 	2 571 190 	-2,70%
21/11/2025 	11 850 	11 515 	11 850 	11 515 	324 	3 839 400 	3.04%
20/11/2025 	11 500 	11 500 	12 380 	12 380 	1 108 	12 742 000 	-7.33%
19/11/2025 	12 410 	12 410 	12 550 	12 550 	153 	1 898 730 	-1.12%
18/11/2025 	12 550 	12 550 	12 600 	12 600 	1 883 	23 631 650 	0.00%
17/11/2025 	12 550 	11 995 	12 550 	11 995 	1 910 	23 970 500 	4.58%
14/11/2025 	12 000 	11 050 	12 000 	11 050 	2 103 	25 236 000 	4.35%
13/11/2025 	11 500 	11 100 	11 500 	11 100 	433 	4 979 500 	3.60%
12/11/2025 	11 100 	11 000 	11 100 	11 000 	1 096 	12 165 600 	1.37%
11/11/2025 	10 950 	10 950 	11 000 	11 000 	2 095 	22 940 250 	-0.45%
10/11/2025 	11 000 	10 250 	11 000 	10 250 	3 373 	37 103 000 	7.32%
07/11/2025 	10 250 	10 250 	10 250 	10 250 	- 	0 	-0.87%
06/11/2025 	10 340 	10 340 	10 340 	10 340 	1 108 	11 456 720 	-7.47%
05/11/2025 	11 175 	11 175 	11 175 	11 175 	858 	9 588 150 	-7.49%
04/11/2025 	12 080 	12 080 	12 500 	12 500 	522 	6 305 760 	-7.47%
03/11/2025 	13 055 	13 055 	13 060 	13 060 	1 197 	15 626 835 	-7.48%
31/10/2025 	14 110 	14 110 	14 110 	14 110 	448 	6 321 280 	-7.48%
30/10/2025 	15 250 	15 250 	15 495 	15 495 	549 	8 372 250 	5.50%
