Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 595 	2 595 	2 595 	2 595 	383 	993 885 	0.58%
26/01/2026 	2 580 	2 580 	2 580 	2 580 	2 227 	5 745 660 	0.00%
23/01/2026 	2 580 	2 580 	2 585 	2 585 	489 	1 261 620 	-0.19%
22/01/2026 	2 585 	2 585 	2 600 	2 600 	534 	1 380 390 	-1.15%
21/01/2026 	2 615 	2 615 	2 620 	2 620 	9 920 	25 940 800 	-0.19%
20/01/2026 	2 620 	2 510 	2 620 	2 510 	1 003 	2 627 860 	4.38%
19/01/2026 	2 510 	2 495 	2 510 	2 495 	3 472 	8 714 720 	0.60%
16/01/2026 	2 495 	2 495 	2 500 	2 500 	1 049 	2 617 255 	2.89%
15/01/2026 	2 425 	2 425 	2 425 	2 425 	1 683 	4 081 275 	0.41%
14/01/2026 	2 415 	2 415 	2 415 	2 415 	2 191 	5 291 265 	0.00%
13/01/2026 	2 415 	2 415 	2 415 	2 415 	526 	1 270 290 	-1.43%
12/01/2026 	2 450 	2 450 	2 450 	2 450 	897 	2 197 650 	1.45%
09/01/2026 	2 415 	2 415 	2 465 	2 465 	1 270 	3 067 050 	-2.42%
08/01/2026 	2 475 	2 475 	2 475 	2 475 	5 562 	13 765 950 	0.00%
07/01/2026 	2 475 	2 460 	2 475 	2 460 	1 125 	2 784 375 	0.61%
06/01/2026 	2 460 	2 460 	2 485 	2 485 	1 582 	3 891 720 	-0.81%
05/01/2026 	2 480 	2 480 	2 480 	2 480 	1 160 	2 876 800 	1.22%
02/01/2026 	2 450 	2 300 	2 450 	2 300 	1 690 	4 140 500 	-1.41%
01/01/2026 	2 485 	2 485 	2 490 	2 490 	313 	777 805 	0.00%
31/12/2025 	2 485 	2 485 	2 490 	2 490 	313 	777 805 	-0.20%
30/12/2025 	2 490 	2 490 	2 495 	2 495 	13 227 	32 935 230 	0.40%
29/12/2025 	2 480 	2 385 	2 480 	2 385 	3 525 	8 742 000 	-0.40%
26/12/2025 	2 490 	2 490 	2 500 	2 500 	1 585 	3 946 650 	-0.20%
25/12/2025 	2 495 	2 490 	2 495 	2 490 	573 	1 429 635 	0.00%
24/12/2025 	2 495 	2 490 	2 495 	2 490 	573 	1 429 635 	0.20%
23/12/2025 	2 490 	2 490 	2 495 	2 495 	993 	2 472 570 	2.05%
22/12/2025 	2 440 	2 440 	2 450 	2 450 	5 869 	14 320 360 	-2,20%
19/12/2025 	2 495 	2 495 	2 500 	2 500 	1 845 	4 603 275 	-0.20%
18/12/2025 	2 500 	2 450 	2 500 	2 450 	6 146 	15 365 000 	2.04%
17/12/2025 	2 450 	2 450 	2 495 	2 495 	2 489 	6 098 050 	1.45%
16/12/2025 	2 415 	2 410 	2 415 	2 410 	1 329 	3 209 535 	-3.59%
15/12/2025 	2 505 	2 505 	2 505 	2 505 	14 195 	35 558 475 	0.00%
12/12/2025 	2 505 	2 505 	2 510 	2 510 	637 	1 595 685 	-0.79%
11/12/2025 	2 525 	2 520 	2 525 	2 520 	3 054 	7 711 350 	0.00%
10/12/2025 	2 525 	2 500 	2 525 	2 500 	1 646 	4 156 150 	1.81%
09/12/2025 	2 480 	2 480 	2 500 	2 500 	1 226 	3 040 480 	-0.80%
08/12/2025 	2 500 	2 500 	2 500 	2 500 	2 463 	6 157 500 	0.00%
05/12/2025 	2 500 	2 485 	2 500 	2 485 	5 337 	13 342 500 	0.00%
04/12/2025 	2 500 	2 500 	2 510 	2 510 	8 409 	21 022 500 	-0.40%
03/12/2025 	2 510 	2 510 	2 520 	2 520 	4 238 	10 637 380 	-0.40%
02/12/2025 	2 520 	2 520 	2 520 	2 520 	300 	756 000 	-0.20%
01/12/2025 	2 525 	2 480 	2 525 	2 480 	595 	1 502 375 	-0.59%
