Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	14 400 	14 400 	14 400 	14 400 	1 134 	16 329 600 	0.35%
26/01/2026 	14 350 	14 300 	14 350 	14 300 	1 045 	14 995 750 	-0.35%
23/01/2026 	14 400 	14 400 	14 400 	14 400 	591 	8 510 400 	0.00%
22/01/2026 	14 400 	14 100 	14 400 	14 100 	1 728 	24 883 200 	-0.69%
21/01/2026 	14 500 	14 490 	14 500 	14 490 	1 775 	25 737 500 	2.08%
20/01/2026 	14 205 	14 205 	14 470 	14 470 	734 	10 426 470 	-1.83%
19/01/2026 	14 470 	14 450 	14 470 	14 450 	854 	12 357 380 	0.14%
16/01/2026 	14 450 	14 450 	14 450 	14 450 	1 115 	16 111 750 	0.00%
15/01/2026 	14 450 	14 100 	14 450 	14 100 	811 	11 718 950 	2.48%
14/01/2026 	14 100 	14 020 	14 100 	14 020 	12 148 	171 286 800 	0.53%
13/01/2026 	14 025 	13 800 	14 025 	13 800 	1 636 	22 944 900 	0.18%
12/01/2026 	14 000 	14 000 	14 130 	14 130 	3 757 	52 598 000 	-0.96%
09/01/2026 	14 135 	14 100 	14 135 	14 100 	4 530 	64 031 550 	0.25%
08/01/2026 	14 100 	14 100 	14 190 	14 190 	1 270 	17 907 000 	-0.63%
07/01/2026 	14 190 	14 190 	14 190 	14 190 	1 514 	21 483 660 	0.00%
06/01/2026 	14 190 	14 030 	14 190 	14 030 	1 429 	20 277 510 	1.21%
05/01/2026 	14 020 	14 020 	14 200 	14 200 	1 646 	23 076 920 	-0.25%
02/01/2026 	14 055 	14 055 	14 250 	14 250 	2 639 	37 091 145 	-1.37%
01/01/2026 	14 250 	14 250 	14 290 	14 290 	1 783 	25 407 750 	0.00%
31/12/2025 	14 250 	14 250 	14 290 	14 290 	1 783 	25 407 750 	-0.35%
30/12/2025 	14 300 	14 000 	14 300 	14 000 	6 686 	95 609 800 	-1.24%
29/12/2025 	14 480 	14 480 	14 490 	14 490 	2 896 	41 934 080 	-0.14%
26/12/2025 	14 500 	14 500 	14 610 	14 610 	1 001 	14 514 500 	-0.68%
25/12/2025 	14 600 	14 600 	14 790 	14 790 	342 	4 993 200 	0.00%
24/12/2025 	14 600 	14 600 	14 790 	14 790 	342 	4 993 200 	0.69%
23/12/2025 	14 500 	14 500 	14 600 	14 600 	2 691 	39 019 500 	-0.68%
22/12/2025 	14 600 	14 510 	14 600 	14 510 	2 134 	31 156 400 	0.69%
19/12/2025 	14 500 	14 400 	14 500 	14 400 	466 	6 757 000 	1.40%
18/12/2025 	14 300 	14 300 	14 800 	14 800 	3 139 	44 887 700 	-4,03%
17/12/2025 	14 900 	14 800 	14 900 	14 800 	408 	6 079 200 	0.68%
16/12/2025 	14 800 	14 500 	14 800 	14 500 	5 553 	82 184 400 	-1,95%
15/12/2025 	15 095 	15 095 	15 100 	15 100 	2 162 	32 635 390 	-0.03%
12/12/2025 	15 100 	15 100 	15 150 	15 150 	325 	4 907 500 	-0.33%
11/12/2025 	15 150 	15 150 	15 345 	15 345 	1 473 	22 315 950 	-1,30%
10/12/2025 	15 350 	15 350 	15 350 	15 350 	374 	5 740 900 	0.00%
09/12/2025 	15 350 	15 300 	15 350 	15 300 	317 	4 865 950 	0.33%
08/12/2025 	15 300 	15 300 	15 495 	15 495 	640 	9 792 000 	0.66%
05/12/2025 	15 200 	15 200 	15 200 	15 200 	388 	5 897 600 	0.00%
04/12/2025 	15 200 	15 000 	15 200 	15 000 	699 	10 624 800 	0.26%
03/12/2025 	15 160 	15 000 	15 160 	15 000 	1 167 	17 691 720 	1.07%
02/12/2025 	15 000 	14 950 	15 000 	14 950 	181 	2 715 000 	-4,18%
01/12/2025 	15 655 	15 095 	15 655 	15 095 	1 524 	23 858 220 	6.86%
28/11/2025 	14 650 	14 510 	14 650 	14 510 	2 097 	30 721 050 	-3,62%
27/11/2025 	15 200 	15 200 	15 280 	15 280 	1 420 	21 584 000 	-0.52%
26/11/2025 	15 280 	14 525 	15 280 	14 525 	5 295 	80 907 600 	4.30%
25/11/2025 	14 650 	14 650 	14 650 	14 650 	218 	3 193 700 	0.69%
24/11/2025 	14 550 	14 550 	14 990 	14 990 	1 157 	16 834 350 	-3,00%
21/11/2025 	15 000 	14 700 	15 000 	14 700 	2 309 	34 635 000 	2.04%
20/11/2025 	14 700 	14 450 	14 700 	14 450 	1 639 	24 093 300 	1.38%
19/11/2025 	14 500 	14 450 	14 500 	14 450 	20 702 	300 179 000 	0.35%
18/11/2025 	14 450 	14 300 	14 450 	14 300 	3 652 	52 771 400 	0.00%
17/11/2025 	14 450 	14 300 	14 450 	14 300 	540 	7 803 000 	1.05%
14/11/2025 	14 300 	14 280 	14 300 	14 280 	838 	11 983 400 	0.14%
13/11/2025 	14 280 	14 280 	14 500 	14 500 	995 	14 208 600 	-1.86%
12/11/2025 	14 550 	14 550 	14 600 	14 600 	503 	7 318 650 	-0.34%
11/11/2025 	14 600 	14 210 	14 600 	14 210 	10 235 	149 431 000 	2.78%
10/11/2025 	14 205 	14 200 	14 205 	14 200 	27 465 	390 140 325 	0.35%
07/11/2025 	14 155 	14 155 	14 155 	14 155 	- 	0 	-3.08%
06/11/2025 	14 605 	14 200 	14 605 	14 200 	2 229 	32 554 545 	2.85%
05/11/2025 	14 200 	14 200 	14 400 	14 400 	2 778 	39 447 600 	-1,39%
04/11/2025 	14 400 	14 400 	14 400 	14 400 	3 227 	46 468 800 	-0.03%
03/11/2025 	14 405 	14 400 	14 405 	14 400 	886 	12 762 830 	-0.52%
31/10/2025 	14 480 	14 480 	14 490 	14 490 	852 	12 336 960 	-0.07%
30/10/2025 	14 490 	14 485 	14 490 	14 485 	3 065 	44 411 850 	0.03%
