Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 900 	2 840 	2 900 	2 840 	2 658 	7 708 200 	2.29%
26/01/2026 	2 835 	2 710 	2 835 	2 710 	2 633 	7 464 555 	5.00%
23/01/2026 	2 700 	2 650 	2 700 	2 650 	5 117 	13 815 900 	3.85%
22/01/2026 	2 600 	2 600 	2 605 	2 605 	4 716 	12 261 600 	0.00%
21/01/2026 	2 600 	2 600 	2 600 	2 600 	1 057 	2 748 200 	0.19%
20/01/2026 	2 595 	2 595 	2 595 	2 595 	2 310 	5 994 450 	0.00%
19/01/2026 	2 595 	2 595 	2 650 	2 650 	3 382 	8 776 290 	-2.08%
16/01/2026 	2 650 	2 610 	2 650 	2 610 	3 316 	8 787 400 	1.92%
15/01/2026 	2 600 	2 550 	2 600 	2 550 	2 912 	7 571 200 	1.96%
14/01/2026 	2 550 	2 550 	2 600 	2 600 	4 537 	11 569 350 	-1.92%
13/01/2026 	2 600 	2 600 	2 620 	2 620 	3 726 	9 687 600 	-0.76%
12/01/2026 	2 620 	2 620 	2 620 	2 620 	8 610 	22 558 200 	0.00%
09/01/2026 	2 620 	2 610 	2 620 	2 610 	2 178 	5 706 360 	0.58%
08/01/2026 	2 605 	2 605 	2 640 	2 640 	3 326 	8 664 230 	-1,33%
07/01/2026 	2 640 	2 600 	2 640 	2 600 	1 324 	3 495 360 	1.54%
06/01/2026 	2 600 	2 600 	2 650 	2 650 	6 489 	16 871 400 	-1,33%
05/01/2026 	2 635 	2 500 	2 635 	2 500 	5 612 	14 787 620 	6.04%
02/01/2026 	2 485 	2 425 	2 485 	2 425 	239 	593 915 	3.54%
01/01/2026 	2 400 	2 400 	2 400 	2 400 	97 	232 800 	0.00%
31/12/2025 	2 400 	2 400 	2 400 	2 400 	97 	232 800 	-3.81%
30/12/2025 	2 495 	2 400 	2 495 	2 400 	911 	2 272 945 	3.96%
29/12/2025 	2 400 	2 400 	2 500 	2 500 	2 223 	5 335 200 	-4,00%
26/12/2025 	2 500 	2 450 	2 500 	2 450 	1 130 	2 825 000 	2.04%
25/12/2025 	2 450 	2 450 	2 500 	2 500 	3 239 	7 935 550 	0.00%
24/12/2025 	2 450 	2 450 	2 500 	2 500 	3 239 	7 935 550 	-2,00%
23/12/2025 	2 500 	2 495 	2 500 	2 495 	290 	725 000 	-2.53%
22/12/2025 	2 565 	2 500 	2 565 	2 500 	525 	1 346 625 	2.60%
19/12/2025 	2 500 	2 500 	2 500 	2 500 	1 740 	4 350 000 	0.00%
18/12/2025 	2 500 	2 500 	2 500 	2 500 	1 351 	3 377 500 	0.00%
17/12/2025 	2 500 	2 500 	2 570 	2 570 	1 110 	2 775 000 	-2,72%
16/12/2025 	2 570 	2 570 	2 575 	2 575 	212 	544 840 	-0.19%
15/12/2025 	2 575 	2 575 	2 575 	2 575 	1 295 	3 334 625 	0.19%
12/12/2025 	2 570 	2 560 	2 570 	2 560 	1 108 	2 847 560 	2.19%
11/12/2025 	2 515 	2 515 	2 580 	2 580 	159 	399 885 	0.60%
10/12/2025 	2 500 	2 500 	2 580 	2 580 	4 324 	10 810 000 	-3,10%
09/12/2025 	2 580 	2 555 	2 580 	2 555 	1 904 	4 912 320 	0.98%
08/12/2025 	2 555 	2 500 	2 555 	2 500 	1 045 	2 669 975 	2.20%
05/12/2025 	2 500 	2 500 	2 590 	2 590 	864 	2 160 000 	-3.47%
04/12/2025 	2 590 	2 500 	2 590 	2 500 	342 	885 780 	3.60%
03/12/2025 	2 500 	2 500 	2 565 	2 565 	1 522 	3 805 000 	-2.53%
02/12/2025 	2 565 	2 550 	2 565 	2 550 	400 	1 026 000 	-1,35%
01/12/2025 	2 600 	2 510 	2 600 	2 510 	1 041 	2 706 600 	5.91%
28/11/2025 	2 455 	2 455 	2 500 	2 500 	3 896 	9 564 680 	0.00%
27/11/2025 	2 455 	2 455 	2 525 	2 525 	3 974 	9 756 170 	-2.77%
26/11/2025 	2 525 	2 525 	2 600 	2 600 	3 501 	8 840 025 	-1.75%
25/11/2025 	2 570 	2 570 	2 580 	2 580 	1 202 	3 089 140 	-0.39%
24/11/2025 	2 580 	2 580 	2 640 	2 640 	1 548 	3 993 840 	3.20%
21/11/2025 	2 500 	2 495 	2 500 	2 495 	1 032 	2 580 000 	0.20%
20/11/2025 	2 495 	2 495 	2 500 	2 500 	1 000 	2 495 000 	0.00%
19/11/2025 	2 495 	2 495 	2 560 	2 560 	4 557 	11 369 715 	-2,16%
18/11/2025 	2 550 	2 500 	2 550 	2 500 	3 792 	9 669 600 	4.29%
17/11/2025 	2 445 	2 445 	2 555 	2 555 	9 094 	22 234 830 	-4.12%
14/11/2025 	2 550 	2 505 	2 550 	2 505 	1 208 	3 080 400 	-2,67%
13/11/2025 	2 620 	2 620 	2 640 	2 640 	1 133 	2 968 460 	0.00%
12/11/2025 	2 620 	2 620 	2 645 	2 645 	1 220 	3 196 400 	-0.76%
11/11/2025 	2 640 	2 640 	2 645 	2 645 	1 504 	3 970 560 	-0.19%
10/11/2025 	2 645 	2 630 	2 645 	2 630 	1 124 	2 972 980 	0.95%
07/11/2025 	2 620 	2 620 	2 620 	2 620 	- 	0 	5.01%
06/11/2025 	2 495 	2 400 	2 495 	2 400 	6 812 	16 995 940 	4.61%
05/11/2025 	2 385 	2 385 	2 450 	2 450 	3 718 	8 867 430 	-3.44%
04/11/2025 	2 470 	2 465 	2 470 	2 465 	3 900 	9 633 000 	-0.80%
03/11/2025 	2 490 	2 490 	2 500 	2 500 	3 340 	8 316 600 	-0,60%
31/10/2025 	2 505 	2 505 	2 570 	2 570 	2 572 	6 442 860 	-3,28%
30/10/2025 	2 590 	2 590 	2 600 	2 600 	1 530 	3 962 700 	-0.96%
