Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	8 200 	8 200 	8 300 	8 300 	3 434 	28 158 800 	-1,20%
26/01/2026 	8 300 	8 300 	8 300 	8 300 	5 338 	44 305 400 	-0.42%
23/01/2026 	8 335 	8 335 	8 340 	8 340 	11 214 	93 468 690 	-0.06%
22/01/2026 	8 340 	7 985 	8 340 	7 985 	6 695 	55 836 300 	4.32%
21/01/2026 	7 995 	7 860 	7 995 	7 860 	4 558 	36 441 210 	1.72%
20/01/2026 	7 860 	7 860 	8 000 	8 000 	3 000 	23 580 000 	-1.75%
19/01/2026 	8 000 	7 860 	8 000 	7 860 	3 539 	28 312 000 	1.78%
16/01/2026 	7 860 	7 860 	7 950 	7 950 	879 	6 908 940 	-0.44%
15/01/2026 	7 895 	7 895 	7 920 	7 920 	2 167 	17 108 465 	-0.06%
14/01/2026 	7 900 	7 860 	7 900 	7 860 	2 447 	19 331 300 	0.64%
13/01/2026 	7 850 	7 545 	7 850 	7 545 	845 	6 633 250 	-0.76%
12/01/2026 	7 910 	7 910 	7 950 	7 950 	565 	4 469 150 	-0.63%
09/01/2026 	7 960 	7 940 	7 960 	7 940 	1 404 	11 175 840 	0.25%
08/01/2026 	7 940 	7 940 	7 945 	7 945 	401 	3 183 940 	-0.13%
07/01/2026 	7 950 	7 950 	7 960 	7 960 	699 	5 557 050 	0.00%
06/01/2026 	7 950 	7 950 	7 995 	7 995 	1 432 	11 384 400 	-0.50%
05/01/2026 	7 990 	7 990 	8 000 	8 000 	1 687 	13 479 130 	-0.13%
02/01/2026 	8 000 	8 000 	8 100 	8 100 	221 	1 768 000 	-1.23%
01/01/2026 	8 100 	8 095 	8 100 	8 095 	4 628 	37 486 800 	0.00%
31/12/2025 	8 100 	8 095 	8 100 	8 095 	4 628 	37 486 800 	-0.06%
30/12/2025 	8 105 	8 050 	8 105 	8 050 	10 413 	84 397 365 	0.68%
29/12/2025 	8 050 	7 795 	8 050 	7 795 	5 751 	46 295 550 	0.63%
26/12/2025 	8 000 	8 000 	8 095 	8 095 	14 287 	114 296 000 	0.69%
25/12/2025 	7 945 	7 705 	7 945 	7 705 	535 	4 250 575 	0.00%
24/12/2025 	7 945 	7 705 	7 945 	7 705 	535 	4 250 575 	-1.85%
23/12/2025 	8 095 	8 000 	8 095 	8 000 	4 427 	35 836 565 	1.19%
22/12/2025 	8 000 	7 975 	8 000 	7 975 	5 443 	43 544 000 	0.63%
19/12/2025 	7 950 	7 950 	8 010 	8 010 	651 	5 175 450 	-0.63%
18/12/2025 	8 000 	8 000 	8 000 	8 000 	7 264 	58 112 000 	0.00%
17/12/2025 	8 000 	8 000 	8 000 	8 000 	8 781 	70 248 000 	0.00%
16/12/2025 	8 000 	7 605 	8 000 	7 605 	6 557 	52 456 000 	0.00%
15/12/2025 	8 000 	7 995 	8 000 	7 995 	1 517 	12 136 000 	0.06%
12/12/2025 	7 995 	7 995 	7 995 	7 995 	522 	4 173 390 	-0.06%
11/12/2025 	8 000 	8 000 	8 045 	8 045 	462 	3 696 000 	0.00%
10/12/2025 	8 000 	7 990 	8 000 	7 990 	14 937 	119 496 000 	-1.17%
09/12/2025 	8 095 	8 095 	8 100 	8 100 	1 114 	9 017 830 	-0.06%
08/12/2025 	8 100 	8 000 	8 100 	8 000 	2 692 	21 805 200 	0.00%
05/12/2025 	8 100 	7 995 	8 100 	7 995 	3 839 	31 095 900 	1.31%
04/12/2025 	7 995 	7 995 	8 000 	8 000 	762 	6 092 190 	-1.54%
03/12/2025 	8 120 	8 075 	8 120 	8 075 	5 436 	44 140 320 	1.37%
02/12/2025 	8 010 	8 000 	8 010 	8 000 	2 810 	22 508 100 	0.13%
01/12/2025 	8 000 	7 945 	8 000 	7 945 	7 486 	59 888 000 	0.63%
28/11/2025 	7 950 	7 950 	8 000 	8 000 	795 	6 320 250 	-0.56%
27/11/2025 	7 995 	7 995 	8 120 	8 120 	2 493 	19 931 535 	-1.54%
26/11/2025 	8 120 	8 120 	8 180 	8 180 	1 758 	14 274 960 	-0.85%
25/11/2025 	8 190 	8 100 	8 190 	8 100 	5 305 	43 447 950 	1.11%
24/11/2025 	8 100 	8 095 	8 100 	8 095 	4 238 	34 327 800 	0.06%
21/11/2025 	8 095 	8 095 	8 100 	8 100 	2 941 	23 807 395 	1.12%
20/11/2025 	8 005 	8 005 	8 090 	8 090 	1 537 	12 303 685 	-1.05%
19/11/2025 	8 090 	8 090 	8 100 	8 100 	1 415 	11 447 350 	0.00%
18/11/2025 	8 090 	8 000 	8 090 	8 000 	4 767 	38 565 030 	-0.74%
17/11/2025 	8 150 	7 950 	8 150 	7 950 	8 871 	72 298 650 	2.52%
14/11/2025 	7 950 	7 865 	7 950 	7 865 	2 241 	17 815 950 	-2.45%
13/11/2025 	8 150 	8 150 	8 200 	8 200 	12 856 	104 776 400 	-0.61%
12/11/2025 	8 200 	8 200 	8 350 	8 350 	4 951 	40 598 200 	-1,80%
11/11/2025 	8 350 	8 350 	8 450 	8 450 	4 067 	33 959 450 	-1.18%
10/11/2025 	8 450 	8 200 	8 450 	8 200 	4 299 	36 326 550 	4.84%
07/11/2025 	8 060 	8 060 	8 060 	8 060 	- 	0 	7.47%
06/11/2025 	7 500 	7 000 	7 500 	7 000 	10 540 	79 050 000 	7.30%
05/11/2025 	6 990 	6 620 	6 990 	6 620 	9 967 	69 669 330 	-2.24%
04/11/2025 	7 150 	7 150 	7 150 	7 150 	4 838 	34 591 700 	-7.44%
03/11/2025 	7 725 	7 725 	7 750 	7 750 	1 986 	15 341 850 	-7.49%
