Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	4 540 	4 540 	4 580 	4 580 	5 945 	26 990 300 	6.32%
26/01/2026 	4 270 	4 270 	4 270 	4 270 	4 618 	19 718 860 	7.42%
23/01/2026 	3 975 	3 960 	3 975 	3 960 	1 962 	7 798 950 	7.43%
22/01/2026 	3 700 	3 700 	3 700 	3 700 	1 867 	6 907 900 	-2,63%
21/01/2026 	3 800 	3 800 	3 910 	3 910 	1 745 	6 631 000 	-2.81%
20/01/2026 	3 910 	3 900 	3 910 	3 900 	1 371 	5 360 610 	0.13%
19/01/2026 	3 905 	3 905 	3 910 	3 910 	401 	1 565 905 	-0.13%
16/01/2026 	3 910 	3 805 	3 910 	3 805 	2 582 	10 095 620 	5.25%
15/01/2026 	3 715 	3 715 	3 730 	3 730 	1 856 	6 895 040 	-0.40%
14/01/2026 	3 730 	3 730 	3 750 	3 750 	1 403 	5 233 190 	0.81%
13/01/2026 	3 700 	3 700 	3 700 	3 700 	1 066 	3 944 200 	0.00%
12/01/2026 	3 700 	3 700 	3 745 	3 745 	439 	1 624 300 	-1,20%
09/01/2026 	3 745 	3 745 	3 770 	3 770 	76 	284 620 	-0.79%
08/01/2026 	3 775 	3 775 	3 780 	3 780 	3 662 	13 824 050 	-0.40%
07/01/2026 	3 790 	3 785 	3 790 	3 785 	241 	913 390 	0.00%
06/01/2026 	3 790 	3 790 	3 865 	3 865 	1 305 	4 945 950 	-1,30%
05/01/2026 	3 840 	3 840 	3 860 	3 860 	782 	3 002 880 	-0.78%
02/01/2026 	3 870 	3 870 	3 875 	3 875 	222 	859 140 	-0.13%
01/01/2026 	3 875 	3 800 	3 875 	3 800 	544 	2 108 000 	0.00%
31/12/2025 	3 875 	3 800 	3 875 	3 800 	544 	2 108 000 	1.97%
30/12/2025 	3 800 	3 650 	3 800 	3 650 	1 077 	4 092 600 	-3.43%
29/12/2025 	3 935 	3 775 	3 935 	3 775 	1 727 	6 795 745 	4.24%
26/12/2025 	3 775 	3 775 	3 795 	3 795 	1 606 	6 062 650 	-0.13%
25/12/2025 	3 780 	3 780 	3 790 	3 790 	75 	283 500 	0.00%
24/12/2025 	3 780 	3 780 	3 790 	3 790 	75 	283 500 	0.80%
23/12/2025 	3 750 	3 750 	3 800 	3 800 	144 	540 000 	-1.45%
22/12/2025 	3 805 	3 650 	3 805 	3 650 	601 	2 286 805 	1.60%
19/12/2025 	3 745 	3 745 	3 750 	3 750 	1 902 	7 122 990 	-0.79%
18/12/2025 	3 775 	3 775 	3 780 	3 780 	904 	3 412 600 	-0.53%
17/12/2025 	3 795 	3 795 	3 800 	3 800 	345 	1 309 275 	-0.13%
16/12/2025 	3 800 	3 800 	3 800 	3 800 	324 	1 231 200 	0.00%
15/12/2025 	3 800 	3 800 	3 850 	3 850 	1 056 	4 012 800 	-1,30%
12/12/2025 	3 850 	3 850 	3 850 	3 850 	428 	1 647 800 	-0.13%
11/12/2025 	3 855 	3 810 	3 855 	3 810 	86 	331 530 	-0.26%
10/12/2025 	3 865 	3 800 	3 865 	3 800 	2 168 	8 379 320 	0.65%
09/12/2025 	3 840 	3 810 	3 840 	3 810 	1 317 	5 057 280 	0.79%
08/12/2025 	3 810 	3 810 	3 880 	3 880 	1 501 	5 718 810 	-2.06%
05/12/2025 	3 890 	3 890 	3 895 	3 895 	129 	501 810 	-0.13%
04/12/2025 	3 895 	3 895 	3 895 	3 895 	347 	1 351 565 	0.00%
03/12/2025 	3 895 	3 895 	3 895 	3 895 	1 344 	5 234 880 	-0.13%
02/12/2025 	3 900 	3 900 	3 900 	3 900 	722 	2 815 800 	0.00%
01/12/2025 	3 900 	3 900 	3 950 	3 950 	1 407 	5 487 300 	0.00%
28/11/2025 	3 900 	3 900 	3 940 	3 940 	449 	1 751 100 	1.83%
27/11/2025 	3 830 	3 830 	3 910 	3 910 	1 002 	3 837 660 	-2.05%
26/11/2025 	3 910 	3 900 	3 910 	3 900 	1 062 	4 152 420 	-1,39%
25/11/2025 	3 965 	3 965 	3 965 	3 965 	325 	1 288 625 	-0.13%
24/11/2025 	3 970 	3 970 	3 970 	3 970 	968 	3 842 960 	0.00%
21/11/2025 	3 970 	3 920 	3 970 	3 920 	911 	3 616 670 	0.76%
20/11/2025 	3 940 	3 880 	3 940 	3 880 	1 032 	4 066 080 	1.55%
