Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	3 800 	3 800 	3 845 	3 845 	2 930 	11 134 000 	-1,30%
26/01/2026 	3 850 	3 830 	3 850 	3 830 	5 193 	19 993 050 	0.52%
23/01/2026 	3 830 	3 695 	3 830 	3 695 	5 465 	20 930 950 	3.65%
22/01/2026 	3 695 	3 545 	3 695 	3 545 	1 870 	6 909 650 	5.57%
21/01/2026 	3 500 	3 335 	3 500 	3 335 	2 454 	8 589 000 	5.74%
20/01/2026 	3 310 	3 295 	3 310 	3 295 	5 481 	18 142 110 	-0.75%
19/01/2026 	3 335 	3 295 	3 335 	3 295 	870 	2 901 450 	1.21%
16/01/2026 	3 295 	3 295 	3 300 	3 300 	1 715 	5 650 925 	0.00%
15/01/2026 	3 295 	3 255 	3 295 	3 255 	449 	1 479 455 	1.38%
14/01/2026 	3 250 	3 250 	3 350 	3 350 	4 095 	13 308 750 	-0.31%
13/01/2026 	3 260 	3 260 	3 345 	3 345 	2 401 	7 827 260 	-2.69%
12/01/2026 	3 350 	3 300 	3 350 	3 300 	2 732 	9 152 200 	3.08%
09/01/2026 	3 250 	3 230 	3 250 	3 230 	922 	2 996 500 	0.62%
08/01/2026 	3 230 	3 150 	3 230 	3 150 	1 703 	5 500 690 	0.94%
07/01/2026 	3 200 	3 200 	3 200 	3 200 	964 	3 084 800 	0.00%
06/01/2026 	3 200 	3 175 	3 200 	3 175 	1 339 	4 284 800 	0.00%
05/01/2026 	3 200 	3 200 	3 200 	3 200 	3 228 	10 329 600 	0.79%
02/01/2026 	3 175 	3 175 	3 250 	3 250 	934 	2 965 450 	-3,93%
01/01/2026 	3 305 	3 305 	3 305 	3 305 	831 	2 746 455 	0.00%
31/12/2025 	3 305 	3 305 	3 305 	3 305 	831 	2 746 455 	-1.05%
30/12/2025 	3 340 	3 300 	3 340 	3 300 	1 024 	3 420 160 	1.21%
29/12/2025 	3 300 	3 300 	3 300 	3 300 	5 019 	16 562 700 	-0.15%
26/12/2025 	3 305 	3 270 	3 305 	3 270 	5 156 	17 040 580 	1.07%
25/12/2025 	3 270 	3 270 	3 300 	3 300 	297 	971 190 	0.00%
24/12/2025 	3 270 	3 270 	3 300 	3 300 	297 	971 190 	-0.91%
23/12/2025 	3 300 	3 245 	3 300 	3 245 	2 088 	6 890 400 	1.69%
22/12/2025 	3 245 	3 245 	3 300 	3 300 	1 246 	4 043 270 	-2.84%
19/12/2025 	3 340 	3 325 	3 340 	3 325 	1 499 	5 006 660 	0.60%
18/12/2025 	3 320 	3 320 	3 320 	3 320 	1 627 	5 401 640 	-0,60%
17/12/2025 	3 340 	3 340 	3 340 	3 340 	1 146 	3 827 640 	-0.30%
16/12/2025 	3 350 	3 350 	3 350 	3 350 	1 578 	5 286 300 	0.00%
15/12/2025 	3 350 	3 350 	3 350 	3 350 	4 315 	14 455 250 	3.40%
12/12/2025 	3 240 	3 240 	3 240 	3 240 	1 613 	5 226 120 	-6.09%
11/12/2025 	3 450 	3 450 	3 450 	3 450 	1 162 	4 008 900 	-0.14%
10/12/2025 	3 455 	3 455 	3 455 	3 455 	495 	1 710 225 	-1.29%
09/12/2025 	3 500 	3 500 	3 500 	3 500 	1 995 	6 982 500 	0.29%
