Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 200 	1 200 	1 200 	1 200 	5 446 	6 535 200 	1.27%
26/01/2026 	1 185 	1 185 	1 265 	1 265 	8 565 	10 149 525 	-6.32%
23/01/2026 	1 265 	1 265 	1 265 	1 265 	7 575 	9 582 375 	7.20%
22/01/2026 	1 180 	1 110 	1 180 	1 110 	6 037 	7 123 660 	7.27%
21/01/2026 	1 100 	1 100 	1 110 	1 110 	1 383 	1 521 300 	0.00%
20/01/2026 	1 100 	1 090 	1 100 	1 090 	12 279 	13 506 900 	1.85%
19/01/2026 	1 080 	1 080 	1 080 	1 080 	2 280 	2 462 400 	0.00%
16/01/2026 	1 080 	1 075 	1 080 	1 075 	1 729 	1 867 320 	0.47%
15/01/2026 	1 075 	1 075 	1 090 	1 090 	1 117 	1 200 775 	2.38%
14/01/2026 	1 050 	1 050 	1 065 	1 065 	3 418 	3 588 900 	-0.94%
13/01/2026 	1 060 	1 040 	1 060 	1 040 	3 963 	4 200 780 	2.91%
12/01/2026 	1 030 	1 030 	1 045 	1 045 	3 229 	3 325 870 	-1,90%
09/01/2026 	1 050 	1 050 	1 055 	1 055 	2 906 	3 051 300 	-0.47%
08/01/2026 	1 055 	1 055 	1 060 	1 060 	790 	833 450 	-0.47%
07/01/2026 	1 060 	1 060 	1 065 	1 065 	3 144 	3 332 640 	0.00%
06/01/2026 	1 060 	1 045 	1 060 	1 045 	2 836 	3 006 160 	1.44%
05/01/2026 	1 045 	1 045 	1 060 	1 060 	3 350 	3 500 750 	0.00%
02/01/2026 	1 045 	1 045 	1 060 	1 060 	6 651 	6 950 295 	-1.42%
01/01/2026 	1 060 	1 030 	1 060 	1 030 	979 	1 037 740 	0.00%
31/12/2025 	1 060 	1 030 	1 060 	1 030 	979 	1 037 740 	2.91%
30/12/2025 	1 030 	1 020 	1 030 	1 020 	5 069 	5 221 070 	-0.96%
29/12/2025 	1 040 	1 040 	1 100 	1 100 	3 385 	3 520 400 	-5.45%
26/12/2025 	1 100 	1 100 	1 110 	1 110 	3 021 	3 323 100 	-0.90%
