Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	6 120 	6 010 	6 120 	6 010 	591 	3 616 920 	1.83%
26/01/2026 	6 010 	6 010 	6 025 	6 025 	963 	5 787 630 	-0.08%
23/01/2026 	6 015 	6 005 	6 015 	6 005 	188 	1 130 820 	0.17%
22/01/2026 	6 005 	5 900 	6 005 	5 900 	410 	2 462 050 	1.78%
21/01/2026 	5 900 	5 900 	5 900 	5 900 	228 	1 345 200 	0.00%
20/01/2026 	5 900 	5 900 	5 950 	5 950 	179 	1 056 100 	1.64%
19/01/2026 	5 805 	5 800 	5 805 	5 800 	436 	2 530 980 	0.09%
16/01/2026 	5 800 	5 800 	5 800 	5 800 	1 825 	10 585 000 	0.00%
15/01/2026 	5 800 	5 800 	5 800 	5 800 	2 154 	12 493 200 	0.00%
14/01/2026 	5 800 	5 800 	5 800 	5 800 	1 657 	9 610 600 	0.00%
13/01/2026 	5 800 	5 800 	5 800 	5 800 	344 	1 995 200 	0.09%
12/01/2026 	5 795 	5 795 	5 795 	5 795 	312 	1 808 040 	0.00%
09/01/2026 	5 795 	5 795 	5 800 	5 800 	242 	1 402 390 	-0.09%
08/01/2026 	5 800 	5 800 	5 800 	5 800 	80 	464 000 	0.00%
07/01/2026 	5 800 	5 800 	5 800 	5 800 	714 	4 141 200 	0.00%
06/01/2026 	5 800 	5 755 	5 800 	5 755 	980 	5 684 000 	0.78%
05/01/2026 	5 755 	5 755 	5 800 	5 800 	382 	2 198 410 	-0.78%
02/01/2026 	5 800 	5 800 	5 800 	5 800 	381 	2 209 800 	0.00%
01/01/2026 	5 800 	5 800 	5 800 	5 800 	989 	5 736 200 	0.00%
31/12/2025 	5 800 	5 800 	5 800 	5 800 	989 	5 736 200 	0.00%
30/12/2025 	5 800 	5 800 	5 800 	5 800 	458 	2 656 400 	0.00%
29/12/2025 	5 800 	5 800 	5 800 	5 800 	307 	1 780 600 	0.00%
26/12/2025 	5 800 	5 800 	5 800 	5 800 	704 	4 083 200 	0.87%
25/12/2025 	5 750 	5 750 	5 800 	5 800 	377 	2 167 750 	0.00%
24/12/2025 	5 750 	5 750 	5 800 	5 800 	377 	2 167 750 	-0.86%
23/12/2025 	5 800 	5 800 	5 800 	5 800 	761 	4 413 800 	0.00%
22/12/2025 	5 800 	5 800 	6 100 	6 100 	561 	3 253 800 	-4.92%
19/12/2025 	6 100 	6 050 	6 100 	6 050 	375 	2 287 500 	0.91%
18/12/2025 	6 045 	5 605 	6 045 	5 605 	464 	2 804 880 	-0.08%
17/12/2025 	6 050 	6 050 	6 105 	6 105 	150 	907 500 	-0.98%
16/12/2025 	6 110 	6 110 	6 110 	6 110 	291 	1 778 010 	0.00%
15/12/2025 	6 110 	6 110 	6 110 	6 110 	808 	4 936 880 	0.00%
12/12/2025 	6 110 	6 100 	6 110 	6 100 	180 	1 099 800 	0.16%
11/12/2025 	6 100 	6 100 	6 115 	6 115 	237 	1 445 700 	0.00%
10/12/2025 	6 100 	6 100 	6 100 	6 100 	1 536 	9 369 600 	0.00%
09/12/2025 	6 100 	6 100 	6 100 	6 100 	185 	1 128 500 	0.00%
08/12/2025 	6 100 	6 080 	6 100 	6 080 	546 	3 330 600 	0.00%
05/12/2025 	6 100 	6 100 	6 100 	6 100 	304 	1 854 400 	0.00%
04/12/2025 	6 100 	6 100 	6 100 	6 100 	1 645 	10 034 500 	0.00%
03/12/2025 	6 100 	6 100 	6 100 	6 100 	247 	1 506 700 	0.00%
02/12/2025 	6 100 	6 095 	6 100 	6 095 	359 	2 189 900 	0.08%
01/12/2025 	6 095 	6 095 	6 095 	6 095 	1 670 	10 178 650 	0.00%
