Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 590 	1 575 	1 590 	1 575 	21 576 	34 305 840 	2.58%
26/01/2026 	1 550 	1 550 	1 555 	1 555 	9 010 	13 965 500 	0.00%
23/01/2026 	1 550 	1 540 	1 550 	1 540 	9 658 	14 969 900 	0.65%
22/01/2026 	1 540 	1 540 	1 545 	1 545 	3 030 	4 666 200 	-0.32%
21/01/2026 	1 545 	1 545 	1 545 	1 545 	5 096 	7 873 320 	-0.32%
20/01/2026 	1 550 	1 515 	1 550 	1 515 	4 474 	6 934 700 	2.65%
19/01/2026 	1 510 	1 510 	1 565 	1 565 	9 811 	14 814 610 	-2.89%
16/01/2026 	1 555 	1 555 	1 600 	1 600 	11 815 	18 372 325 	-2.81%
15/01/2026 	1 600 	1 535 	1 600 	1 535 	10 242 	16 387 200 	5.96%
14/01/2026 	1 510 	1 510 	1 515 	1 515 	3 092 	4 668 920 	0.00%
13/01/2026 	1 510 	1 480 	1 510 	1 480 	9 801 	14 799 510 	2.03%
12/01/2026 	1 480 	1 480 	1 495 	1 495 	5 784 	8 560 320 	-0.67%
09/01/2026 	1 490 	1 490 	1 500 	1 500 	1 792 	2 670 080 	1.02%
08/01/2026 	1 475 	1 475 	1 490 	1 490 	2 365 	3 488 375 	-1.01%
07/01/2026 	1 490 	1 490 	1 515 	1 515 	11 159 	16 626 910 	1.71%
06/01/2026 	1 465 	1 455 	1 465 	1 455 	2 683 	3 930 595 	0.69%
05/01/2026 	1 455 	1 430 	1 455 	1 430 	5 201 	7 567 455 	-2,68%
02/01/2026 	1 495 	1 450 	1 495 	1 450 	1 190 	1 779 050 	-1,32%
01/01/2026 	1 515 	1 500 	1 515 	1 500 	8 286 	12 553 290 	0.00%
31/12/2025 	1 515 	1 500 	1 515 	1 500 	8 286 	12 553 290 	0.33%
30/12/2025 	1 510 	1 460 	1 510 	1 460 	23 503 	35 489 530 	3.42%
29/12/2025 	1 460 	1 460 	1 480 	1 480 	10 145 	14 811 700 	0.00%
26/12/2025 	1 460 	1 450 	1 460 	1 450 	38 023 	55 513 580 	0.69%
25/12/2025 	1 450 	1 440 	1 450 	1 440 	1 671 	2 422 950 	0.00%
24/12/2025 	1 450 	1 440 	1 450 	1 440 	1 671 	2 422 950 	1.05%
23/12/2025 	1 435 	1 420 	1 435 	1 420 	2 133 	3 060 855 	1.06%
22/12/2025 	1 420 	1 420 	1 450 	1 450 	7 686 	10 914 120 	-4,05%
19/12/2025 	1 480 	1 460 	1 480 	1 460 	2 228 	3 297 440 	-0.67%
18/12/2025 	1 490 	1 440 	1 490 	1 440 	8 345 	12 434 050 	2.76%
17/12/2025 	1 450 	1 450 	1 450 	1 450 	12 104 	17 550 800 	0.00%
16/12/2025 	1 450 	1 450 	1 465 	1 465 	7 528 	10 915 600 	-1,36%
15/12/2025 	1 470 	1 470 	1 470 	1 470 	1 176 	1 728 720 	-0.34%
12/12/2025 	1 475 	1 455 	1 475 	1 455 	2 073 	3 057 675 	-0.34%
11/12/2025 	1 480 	1 450 	1 480 	1 450 	2 817 	4 169 160 	2.07%
10/12/2025 	1 450 	1 450 	1 475 	1 475 	8 069 	11 700 050 	-0.68%
09/12/2025 	1 460 	1 380 	1 460 	1 380 	7 153 	10 443 380 	4.29%
08/12/2025 	1 400 	1 345 	1 400 	1 345 	121 907 	170 669 800 	-3.45%
05/12/2025 	1 450 	1 450 	1 455 	1 455 	17 852 	25 885 400 	-0.34%
04/12/2025 	1 455 	1 450 	1 455 	1 450 	19 476 	28 337 580 	0.34%
03/12/2025 	1 450 	1 440 	1 450 	1 440 	38 906 	56 413 700 	0.69%
02/12/2025 	1 440 	1 440 	1 450 	1 450 	4 080 	5 875 200 	-1.71%
01/12/2025 	1 465 	1 450 	1 465 	1 450 	14 900 	21 828 500 	-0.34%
28/11/2025 	1 470 	1 450 	1 470 	1 450 	7 438 	10 933 860 	-0.68%
27/11/2025 	1 480 	1 455 	1 480 	1 455 	12 164 	18 002 720 	2.07%
26/11/2025 	1 450 	1 450 	1 495 	1 495 	4 898 	7 102 100 	-1.69%
25/11/2025 	1 475 	1 475 	1 490 	1 490 	14 240 	21 004 000 	-1.01%
24/11/2025 	1 490 	1 445 	1 490 	1 445 	4 211 	6 274 390 	1.02%
21/11/2025 	1 475 	1 475 	1 495 	1 495 	15 727 	23 197 325 	-1.67%
20/11/2025 	1 500 	1 495 	1 500 	1 495 	3 911 	5 866 500 	0.33%
19/11/2025 	1 495 	1 495 	1 540 	1 540 	13 557 	20 267 715 	3.10%
18/11/2025 	1 450 	1 450 	1 480 	1 480 	42 598 	61 767 100 	-2.03%
17/11/2025 	1 480 	1 480 	1 495 	1 495 	71 038 	105 136 240 	2.07%
14/11/2025 	1 450 	1 405 	1 450 	1 405 	67 382 	97 703 900 	-0.68%
13/11/2025 	1 460 	1 460 	1 460 	1 460 	64 925 	94 790 500 	-7.30%
12/11/2025 	1 575 	1 575 	1 575 	1 575 	34 066 	53 653 950 	-7.35%
11/11/2025 	1 700 	1 700 	1 700 	1 700 	35 671 	60 640 700 	0.00%
10/11/2025 	1 700 	1 660 	1 700 	1 660 	67 380 	114 546 000 	2.41%
07/11/2025 	1 660 	1 660 	1 660 	1 660 	- 	0 	0.00%
06/11/2025 	1 660 	1 660 	1 740 	1 740 	103 084 	171 119 440 	2.47%
05/11/2025 	1 620 	1 525 	1 620 	1 525 	93 185 	150 959 700 	6.23%
04/11/2025 	1 525 	1 500 	1 525 	1 500 	113 893 	173 686 825 	2.35%
03/11/2025 	1 490 	1 470 	1 490 	1 470 	42 861 	63 862 890 	1.36%
31/10/2025 	1 470 	1 455 	1 470 	1 455 	52 600 	77 322 000 	1.38%
30/10/2025 	1 450 	1 450 	1 480 	1 480 	8 395 	12 172 750 	-0.68%
