Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 345 	1 340 	1 345 	1 340 	4 575 	6 153 375 	2.28%
26/01/2026 	1 315 	1 305 	1 315 	1 305 	8 959 	11 781 085 	0.38%
23/01/2026 	1 310 	1 310 	1 340 	1 340 	6 180 	8 095 800 	0.00%
22/01/2026 	1 310 	1 310 	1 315 	1 315 	11 299 	14 801 690 	0.00%
21/01/2026 	1 310 	1 300 	1 310 	1 300 	11 733 	15 370 230 	0.77%
20/01/2026 	1 300 	1 300 	1 400 	1 400 	15 588 	20 264 400 	-6.81%
19/01/2026 	1 395 	1 395 	1 400 	1 400 	29 688 	41 414 760 	6.49%
16/01/2026 	1 310 	1 310 	1 310 	1 310 	6 904 	9 044 240 	7.38%
15/01/2026 	1 220 	1 220 	1 220 	1 220 	5 884 	7 178 480 	7.49%
14/01/2026 	1 135 	1 080 	1 135 	1 080 	27 273 	30 954 855 	3.18%
13/01/2026 	1 100 	1 100 	1 220 	1 220 	122 930 	135 223 000 	-3.08%
12/01/2026 	1 135 	1 135 	1 135 	1 135 	6 205 	7 042 675 	7.08%
09/01/2026 	1 060 	1 060 	1 060 	1 060 	14 294 	15 151 640 	7.07%
08/01/2026 	990 	990 	990 	990 	5 412 	5 357 880 	7.03%
07/01/2026 	925 	925 	925 	925 	14 770 	13 662 250 	6.94%
06/01/2026 	865 	865 	865 	865 	10 100 	8 736 500 	7.45%
05/01/2026 	805 	805 	805 	805 	6 485 	5 220 425 	7.33%
02/01/2026 	750 	750 	750 	750 	135 518 	101 638 500 	7.14%
