Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	29 700 	29 500 	29 700 	29 500 	666 	19 780 200 	1.99%
26/01/2026 	29 120 	29 055 	29 120 	29 055 	7 321 	213 187 520 	-1.62%
23/01/2026 	29 600 	29 600 	29 600 	29 600 	11 964 	354 134 400 	0.68%
22/01/2026 	29 400 	29 000 	29 400 	29 000 	498 	14 641 200 	0.34%
21/01/2026 	29 300 	29 300 	29 390 	29 390 	20 084 	588 461 200 	-0.31%
20/01/2026 	29 390 	29 350 	29 390 	29 350 	169 	4 966 910 	0.14%
19/01/2026 	29 350 	28 405 	29 350 	28 405 	324 	9 509 400 	3.35%
16/01/2026 	28 400 	28 200 	28 400 	28 200 	360 	10 224 000 	0.94%
15/01/2026 	28 135 	28 135 	28 500 	28 500 	892 	25 096 420 	-1,28%
14/01/2026 	28 500 	28 500 	29 145 	29 145 	586 	16 701 000 	-2,21%
13/01/2026 	29 145 	29 145 	29 185 	29 185 	2 966 	86 444 070 	-0.14%
12/01/2026 	29 185 	29 185 	29 380 	29 380 	1 122 	32 745 570 	6.13%
09/01/2026 	27 500 	27 500 	28 500 	28 500 	19 508 	536 470 000 	-3,51%
08/01/2026 	28 500 	28 500 	29 400 	29 400 	4 946 	140 961 000 	-3.06%
07/01/2026 	29 400 	29 400 	29 400 	29 400 	445 	13 083 000 	0.00%
06/01/2026 	29 400 	29 400 	29 590 	29 590 	665 	19 551 000 	1.38%
05/01/2026 	29 000 	29 000 	29 650 	29 650 	254 	7 366 000 	-2.03%
02/01/2026 	29 600 	29 600 	29 875 	29 875 	6 186 	183 105 600 	-0.99%
01/01/2026 	29 895 	29 895 	29 900 	29 900 	495 	14 798 025 	0.00%
31/12/2025 	29 895 	29 895 	29 900 	29 900 	495 	14 798 025 	-0.02%
30/12/2025 	29 900 	28 550 	29 900 	28 550 	3 456 	103 334 400 	4.75%
29/12/2025 	28 545 	27 650 	28 545 	27 650 	12 730 	363 377 850 	0.87%
26/12/2025 	28 300 	28 300 	28 500 	28 500 	338 	9 565 400 	-0,70%
25/12/2025 	28 500 	28 000 	28 500 	28 000 	282 	8 037 000 	0.00%
24/12/2025 	28 500 	28 000 	28 500 	28 000 	282 	8 037 000 	2.52%
23/12/2025 	27 800 	27 800 	28 550 	28 550 	7 293 	202 745 400 	-0.71%
22/12/2025 	28 000 	28 000 	28 500 	28 500 	2 060 	57 680 000 	-1.75%
19/12/2025 	28 500 	28 500 	28 600 	28 600 	417 	11 884 500 	-0.35%
18/12/2025 	28 600 	28 600 	28 990 	28 990 	1 641 	46 932 600 	-1,35%
17/12/2025 	28 990 	28 990 	29 000 	29 000 	388 	11 248 120 	-0.03%
16/12/2025 	29 000 	28 505 	29 000 	28 505 	4 227 	122 583 000 	0.00%
15/12/2025 	29 000 	28 900 	29 000 	28 900 	296 	8 584 000 	0.35%
12/12/2025 	28 900 	28 900 	28 950 	28 950 	552 	15 952 800 	-0.34%
11/12/2025 	29 000 	29 000 	29 545 	29 545 	3 177 	92 133 000 	-0.85%
10/12/2025 	29 250 	29 250 	29 490 	29 490 	752 	21 996 000 	-0.17%
09/12/2025 	29 300 	29 300 	29 490 	29 490 	470 	13 771 000 	-0.64%
08/12/2025 	29 490 	29 490 	30 000 	30 000 	1 212 	35 741 880 	-1.86%
05/12/2025 	30 050 	30 000 	30 050 	30 000 	1 005 	30 200 250 	0.17%
04/12/2025 	30 000 	28 500 	30 000 	28 500 	1 615 	48 450 000 	5.26%
03/12/2025 	28 500 	28 000 	28 500 	28 000 	1 257 	35 824 500 	1.79%
02/12/2025 	28 000 	27 600 	28 000 	27 600 	690 	19 320 000 	1.45%
