
Period :
From: Au:
Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 560 	1 560 	1 590 	1 590 	22 603 	35 260 680 	-1,58%
26/01/2026 	1 585 	1 585 	1 600 	1 600 	5 505 	8 725 425 	-0.94%
23/01/2026 	1 600 	1 600 	1 620 	1 620 	3 627 	5 803 200 	-2.44%
22/01/2026 	1 640 	1 575 	1 640 	1 575 	3 929 	6 443 560 	4.46%
21/01/2026 	1 570 	1 570 	1 570 	1 570 	3 515 	5 518 550 	1.62%
20/01/2026 	1 545 	1 545 	1 550 	1 550 	3 182 	4 916 190 	0.00%
19/01/2026 	1 545 	1 545 	1 545 	1 545 	1 961 	3 029 745 	0.00%
16/01/2026 	1 545 	1 540 	1 545 	1 540 	4 321 	6 675 945 	0.00%
15/01/2026 	1 545 	1 545 	1 545 	1 545 	1 552 	2 397 840 	0.00%
14/01/2026 	1 545 	1 525 	1 545 	1 525 	3 705 	5 724 225 	1.64%
13/01/2026 	1 520 	1 520 	1 525 	1 525 	2 706 	4 113 120 	-0.33%
12/01/2026 	1 525 	1 525 	1 540 	1 540 	1 889 	2 880 725 	-1.29%
09/01/2026 	1 545 	1 545 	1 550 	1 550 	2 586 	3 995 370 	-0.32%
08/01/2026 	1 550 	1 545 	1 550 	1 545 	4 267 	6 613 850 	0.00%
07/01/2026 	1 550 	1 480 	1 550 	1 480 	4 020 	6 231 000 	4.73%
06/01/2026 	1 480 	1 450 	1 480 	1 450 	771 	1 141 080 	4.96%
05/01/2026 	1 410 	1 410 	1 435 	1 435 	2 441 	3 441 810 	-1.74%
02/01/2026 	1 435 	1 435 	1 440 	1 440 	1 304 	1 871 240 	-0.69%
01/01/2026 	1 445 	1 445 	1 445 	1 445 	2 042 	2 950 690 	0.00%
31/12/2025 	1 445 	1 445 	1 445 	1 445 	2 042 	2 950 690 	0.00%
30/12/2025 	1 445 	1 425 	1 445 	1 425 	12 615 	18 228 675 	3.21%
29/12/2025 	1 400 	1 360 	1 400 	1 360 	7 945 	11 123 000 	3.70%
26/12/2025 	1 350 	1 350 	1 350 	1 350 	2 314 	3 123 900 	0.00%
25/12/2025 	1 350 	1 315 	1 350 	1 315 	2 386 	3 221 100 	0.00%
24/12/2025 	1 350 	1 315 	1 350 	1 315 	2 386 	3 221 100 	2.66%
23/12/2025 	1 315 	1 315 	1 410 	1 410 	2 891 	3 801 665 	-6.74%
22/12/2025 	1 410 	1 410 	1 450 	1 450 	1 761 	2 483 010 	-5.37%
19/12/2025 	1 490 	1 490 	1 500 	1 500 	498 	742 020 	-0.67%
18/12/2025 	1 500 	1 500 	1 500 	1 500 	2 703 	4 054 500 	0.00%
17/12/2025 	1 500 	1 495 	1 500 	1 495 	2 903 	4 354 500 	0.00%
16/12/2025 	1 500 	1 500 	1 560 	1 560 	1 456 	2 184 000 	-3.85%
15/12/2025 	1 560 	1 550 	1 560 	1 550 	9 638 	15 035 280 	0.65%
12/12/2025 	1 550 	1 550 	1 565 	1 565 	990 	1 534 500 	0.00%
11/12/2025 	1 550 	1 550 	1 570 	1 570 	4 756 	7 371 800 	-0.96%
10/12/2025 	1 565 	1 560 	1 565 	1 560 	806 	1 261 390 	0.64%
09/12/2025 	1 555 	1 550 	1 555 	1 550 	9 271 	14 416 405 	0.32%
08/12/2025 	1 550 	1 550 	1 565 	1 565 	4 809 	7 453 950 	0.65%
05/12/2025 	1 540 	1 540 	1 565 	1 565 	2 075 	3 195 500 	-1,60%
04/12/2025 	1 565 	1 565 	1 595 	1 595 	4 570 	7 152 050 	1.62%
03/12/2025 	1 540 	1 520 	1 540 	1 520 	3 422 	5 269 880 	1.32%
02/12/2025 	1 520 	1 510 	1 520 	1 510 	2 295 	3 488 400 	-1.94%
01/12/2025 	1 550 	1 510 	1 550 	1 510 	3 662 	5 676 100 	1.97%
28/11/2025 	1 520 	1 520 	1 530 	1 530 	2 454 	3 730 080 	-1.62%
27/11/2025 	1 545 	1 535 	1 545 	1 535 	4 808 	7 428 360 	0.98%
26/11/2025 	1 530 	1 505 	1 530 	1 505 	9 605 	14 695 650 	1.32%
25/11/2025 	1 510 	1 510 	1 565 	1 565 	12 820 	19 358 200 	-3,82%
24/11/2025 	1 570 	1 570 	1 620 	1 620 	23 187 	36 403 590 	3.97%
21/11/2025 	1 510 	1 510 	1 510 	1 510 	12 693 	19 166 430 	7.47%
20/11/2025 	1 405 	1 310 	1 405 	1 310 	29 389 	41 291 545 	7.25%
19/11/2025 	1 310 	1 305 	1 310 	1 305 	2 454 	3 214 740 	0.38%
18/11/2025 	1 305 	1 295 	1 305 	1 295 	2 327 	3 036 735 	1.16%
17/11/2025 	1 290 	1 230 	1 290 	1 230 	5 191 	6 696 390 	4.45%
14/11/2025 	1 235 	1 235 	1 235 	1 235 	3 511 	4 336 085 	0.00%
13/11/2025 	1 235 	1 230 	1 235 	1 230 	10 612 	13 105 820 	0.00%
12/11/2025 	1 235 	1 210 	1 235 	1 210 	3 775 	4 662 125 	-0.40%
11/11/2025 	1 240 	1 230 	1 240 	1 230 	2 849 	3 532 760 	0.81%
10/11/2025 	1 230 	1 180 	1 230 	1 180 	6 961 	8 562 030 	5.13%
07/11/2025 	1 170 	1 170 	1 170 	1 170 	- 	0 	7.34%
06/11/2025 	1 090 	1 070 	1 090 	1 070 	4 771 	5 200 390 	-0.46%
05/11/2025 	1 095 	1 095 	1 095 	1 095 	7 358 	8 057 010 	-7.20%
04/11/2025 	1 180 	1 180 	1 180 	1 180 	9 420 	11 115 600 	-0.84%
03/11/2025 	1 190 	1 190 	1 200 	1 200 	7 476 	8 896 440 	-0.83%
31/10/2025 	1 200 	1 200 	1 200 	1 200 	2 289 	2 746 800 	0.00%
30/10/2025 	1 200 	1 200 	1 200 	1 200 	6 632 	7 958 400 	0.84%
