Date 	Clôture 	Plus bas 	Plus haut 	Ouverture 	Volume Titres 	Volume FCFA 	Variation %
27/01/2026 	6 090 	6 000 	6 090 	6 000 	9 363 	57 020 670 	3,13%
26/01/2026 	5 905 	5 905 	6 100 	6 100 	11 802 	69 690 810 	-3,12%
23/01/2026 	6 095 	6 045 	6 095 	6 045 	8 031 	48 948 945 	0,83%
22/01/2026 	6 045 	6 045 	6 055 	6 055 	3 083 	18 636 735 	-0,08%
21/01/2026 	6 050 	5 995 	6 050 	5 995 	3 910 	23 655 500 	1,00%
20/01/2026 	5 990 	5 990 	6 000 	6 000 	3 132 	18 760 680 	-0,08%
19/01/2026 	5 995 	5 990 	5 995 	5 990 	4 796 	28 752 020 	0,08%
16/01/2026 	5 990 	5 950 	5 990 	5 950 	2 322 	13 908 780 	0,67%
15/01/2026 	5 950 	5 850 	5 950 	5 850 	3 814 	22 693 300 	1,71%
14/01/2026 	5 850 	5 850 	5 850 	5 850 	1 341 	7 844 850 	0,60%
13/01/2026 	5 815 	5 815 	5 850 	5 850 	2 129 	12 380 135 	-0,51%
12/01/2026 	5 845 	5 810 	5 845 	5 810 	1 202 	7 025 690 	0,78%
09/01/2026 	5 800 	5 800 	5 850 	5 850 	7 746 	44 926 800 	-0,17%
08/01/2026 	5 810 	5 810 	5 890 	5 890 	6 689 	38 863 090 	-2,68%
07/01/2026 	5 970 	5 735 	5 970 	5 735 	4 403 	26 285 910 	4,10%
06/01/2026 	5 735 	5 735 	5 735 	5 735 	4 515 	25 893 525 	-0,09%
05/01/2026 	5 740 	5 740 	5 740 	5 740 	2 180 	12 513 200 	0,00%
02/01/2026 	5 740 	5 740 	5 750 	5 750 	761 	4 368 140 	-0,17%
01/01/2026 	5 750 	5 580 	5 750 	5 580 	2 504 	14 398 000 	0,00%
31/12/2025 	5 750 	5 580 	5 750 	5 580 	2 504 	14 398 000 	3,23%
30/12/2025 	5 570 	5 565 	5 570 	5 565 	16 766 	93 386 620 	0,09%
29/12/2025 	5 565 	5 565 	5 565 	5 565 	43 199 	240 402 435 	0,00%
26/12/2025 	5 565 	5 555 	5 565 	5 555 	5 367 	29 867 355 	-1,50%
25/12/2025 	5 650 	5 650 	5 650 	5 650 	13 198 	74 568 700 	0,00%
24/12/2025 	5 650 	5 650 	5 650 	5 650 	13 198 	74 568 700 	0,00%
23/12/2025 	5 650 	5 650 	5 650 	5 650 	3 630 	20 509 500 	0,00%
22/12/2025 	5 650 	5 650 	5 650 	5 650 	7 834 	44 262 100 	-1,48%
19/12/2025 	5 735 	5 725 	5 735 	5 725 	1 548 	8 877 780 	0,61%
18/12/2025 	5 700 	5 700 	5 700 	5 700 	2 607 	14 859 900 	0,00%
17/12/2025 	5 700 	5 650 	5 700 	5 650 	9 060 	51 642 000 	0,88%
16/12/2025 	5 650 	5 500 	5 650 	5 500 	3 956 	22 351 400 	-2,42%
15/12/2025 	5 790 	5 620 	5 790 	5 620 	4 096 	23 715 840 	1,58%
12/12/2025 	5 700 	5 700 	5 700 	5 700 	2 429 	13 845 300 	0,00%
11/12/2025 	5 700 	5 700 	5 750 	5 750 	4 080 	23 256 000 	-0,87%
10/12/2025 	5 750 	5 750 	5 795 	5 795 	4 314 	24 805 500 	-0,78%
09/12/2025 	5 795 	5 750 	5 795 	5 750 	3 932 	22 785 940 	0,78%
08/12/2025 	5 750 	5 685 	5 750 	5 685 	3 166 	18 204 500 	-0,86%
05/12/2025 	5 800 	5 800 	5 800 	5 800 	2 117 	12 278 600 	0,09%
04/12/2025 	5 795 	5 795 	5 815 	5 815 	1 681 	9 741 395 	-0,26%
03/12/2025 	5 810 	5 770 	5 810 	5 770 	9 338 	54 253 780 	0,78%
02/12/2025 	5 765 	5 765 	5 765 	5 765 	2 066 	11 910 490 	0,00%
01/12/2025 	5 765 	5 765 	5 770 	5 770 	2 364 	13 628 460 	-0,17%
28/11/2025 	5 775 	5 750 	5 775 	5 750 	2 965 	17 122 875 	0,43%
27/11/2025 	5 750 	5 740 	5 750 	5 740 	5 355 	30 791 250 	0,17%
26/11/2025 	5 740 	5 740 	5 750 	5 750 	1 979 	11 359 460 	0,00%
25/11/2025 	5 740 	5 555 	5 740 	5 555 	2 489 	14 286 860 	3,42%
24/11/2025 	5 550 	5 550 	5 780 	5 780 	4 559 	25 302 450 	-3,98%
21/11/2025 	5 780 	5 700 	5 780 	5 700 	3 672 	21 224 160 	1,40%
20/11/2025 	5 700 	5 700 	5 700 	5 700 	3 406 	19 414 200 	0,00%
19/11/2025 	5 700 	5 600 	5 700 	5 600 	6 256 	35 659 200 	3,64%
18/11/2025 	5 500 	5 500 	5 600 	5 600 	4 630 	25 465 000 	-3,51%
17/11/2025 	5 700 	5 620 	5 700 	5 620 	6 187 	35 265 900 	1,42%
14/11/2025 	5 620 	5 620 	5 650 	5 650 	4 103 	23 058 860 	-0,53%
13/11/2025 	5 650 	5 650 	5 700 	5 700 	13 044 	73 698 600 	0,00%
12/11/2025 	5 650 	5 620 	5 650 	5 620 	10 323 	58 324 950 	0,18%
11/11/2025 	5 640 	5 600 	5 640 	5 600 	6 875 	38 775 000 	0,71%
10/11/2025 	5 600 	5 600 	5 640 	5 640 	6 123 	34 288 800 	-0,71%
07/11/2025 	5 640 	5 640 	5 640 	5 640 	- 	0 	0,71%
06/11/2025 	5 600 	5 550 	5 600 	5 550 	10 058 	56 324 800 	0,90%
05/11/2025 	5 550 	5 550 	5 650 	5 650 	14 340 	79 587 000 	-1,77%
04/11/2025 	5 650 	5 600 	5 650 	5 600 	12 099 	68 359 350 	0,36%
03/11/2025 	5 630 	5 550 	5 630 	5 550 	4 066 	22 891 580 	-1,92%
31/10/2025 	5 740 	5 740 	5 850 	5 850 	5 394 	30 961 560 	2,59%
30/10/2025 	5 595 	5 595 	6 000 	6 000 	9 157 	51 233 415 	-3,53%
