Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
26/01/2026 	3 600 	3 600 	3 600 	3 600 	48 	172 800 	0.00%
23/01/2026 	3 600 	3 600 	3 800 	3 800 	35 	126 000 	-5.26%
22/01/2026 	3 800 	3 800 	3 800 	3 800 	10 	38 000 	-0.39%
21/01/2026 	3 815 	3 800 	3 815 	3 800 	183 	698 145 	1.73%
20/01/2026 	3 750 	3 750 	3 750 	3 750 	136 	510 000 	-1,32%
19/01/2026 	3 800 	3 555 	3 800 	3 555 	67 	254 600 	0.00%
16/01/2026 	3 800 	3 750 	3 800 	3 750 	281 	1 067 800 	-0.26%
15/01/2026 	3 810 	3 700 	3 810 	3 700 	27 	102 870 	-0.13%
14/01/2026 	3 815 	3 800 	3 815 	3 800 	13 	49 595 	3.11%
13/01/2026 	3 700 	3 700 	3 820 	3 820 	64 	236 800 	4.08%
12/01/2026 	3 555 	3 555 	3 700 	3 700 	98 	348 390 	-3,92%
09/01/2026 	3 700 	3 555 	3 700 	3 555 	159 	588 300 	4.08%
08/01/2026 	3 555 	3 550 	3 555 	3 550 	115 	408 825 	0.00%
07/01/2026 	3 555 	3 555 	3 555 	3 555 	17 	60 435 	0.00%
06/01/2026 	3 555 	3 555 	3 555 	3 555 	11 	39 105 	7.40%
05/01/2026 	3 310 	3 310 	3 310 	3 310 	50 	165 500 	0.30%
02/01/2026 	3 300 	3 300 	3 300 	3 300 	2 	6 600 	0.00%
01/01/2026 	3 300 	3 300 	3 500 	3 500 	31 	102 300 	0.00%
31/12/2025 	3 300 	3 300 	3 500 	3 500 	31 	102 300 	-5.71%
30/12/2025 	3 500 	3 300 	3 500 	3 300 	31 	108 500 	6.71%
29/12/2025 	3 280 	3 280 	3 285 	3 285 	100 	328 000 	0.46%
25/12/2025 	3 265 	3 265 	3 265 	3 265 	111 	362 415 	0.00%
24/12/2025 	3 265 	3 265 	3 265 	3 265 	111 	362 415 	0.31%
23/12/2025 	3 255 	3 255 	3 255 	3 255 	400 	1 302 000 	0.31%
22/12/2025 	3 245 	3 245 	3 505 	3 505 	383 	1 242 835 	-7.42%
19/12/2025 	3 505 	3 505 	3 505 	3 505 	8 	28 040 	-3,71%
18/12/2025 	3 640 	3 600 	3 640 	3 600 	22 	80 080 	3.85%
17/12/2025 	3 505 	3 505 	3 595 	3 595 	156 	546 780 	-2.37%
16/12/2025 	3 590 	3 590 	3 590 	3 590 	17 	61 030 	2.28%
15/12/2025 	3 510 	3 500 	3 510 	3 500 	173 	607 230 	-2.50%
12/12/2025 	3 600 	3 600 	3 600 	3 600 	1 	3 600 	-1,10%
11/12/2025 	3 640 	3 640 	3 640 	3 640 	26 	94 640 	0.00%
10/12/2025 	3 640 	3 640 	3 640 	3 640 	96 	349 440 	0.00%
09/12/2025 	3 640 	3 600 	3 640 	3 600 	52 	189 280 	7.37%
08/12/2025 	3 390 	3 390 	3 395 	3 395 	1 436 	4 868 040 	0.00%
02/12/2025 	3 390 	3 390 	3 390 	3 390 	20 	67 800 	0.00%
01/12/2025 	3 390 	3 390 	3 390 	3 390 	2 	6 780 	-6.87%
27/11/2025 	3 640 	3 640 	3 640 	3 640 	75 	273 000 	7.37%
26/11/2025 	3 390 	3 390 	3 640 	3 640 	72 	244 080 	-6.87%
24/11/2025 	3 640 	3 640 	3 640 	3 640 	5 	18 200 	0.00%
21/11/2025 	3 640 	3 575 	3 640 	3 575 	16 	58 240 	1.82%
20/11/2025 	3 575 	3 575 	3 575 	3 575 	8 	28 600 	-0.69%
19/11/2025 	3 600 	3 600 	3 640 	3 640 	57 	205 200 	-1,10%
18/11/2025 	3 640 	3 390 	3 640 	3 390 	110 	400 400 	7.37%
17/11/2025 	3 390 	3 340 	3 390 	3 340 	6 	20 340 	7.45%
13/11/2025 	3 155 	3 150 	3 155 	3 150 	146 	460 630 	-5.40%
12/11/2025 	3 335 	3 335 	3 335 	3 335 	1 	3 335 	0.30%
11/11/2025 	3 325 	3 325 	3 325 	3 325 	7 	23 275 	-7.38%
10/11/2025 	3 590 	3 590 	3 590 	3 590 	3 	10 770 	-0.28%
07/11/2025 	3 600 	3 600 	3 600 	3 600 	- 	0 	2.86%
05/11/2025 	3 500 	3 500 	3 500 	3 500 	25 	87 500 	0.00%
04/11/2025 	3 500 	3 500 	3 500 	3 500 	577 	2 019 500 	6.06%
03/11/2025 	3 300 	3 300 	3 300 	3 300 	38 	125 400 	-5.71%
31/10/2025 	3 500 	3 500 	3 500 	3 500 	10 	35 000 	0.00%
