Date 	Clôture 	Plus bas 	Plus haut 	Ouverture 	Volume Titres 	Volume FCFA 	Variation %
27/01/2026 	1 800 	1 800 	1 800 	1 800 	7 930 	14 274 000 	0,00%
26/01/2026 	1 800 	1 730 	1 800 	1 730 	16 099 	28 978 200 	2,86%
23/01/2026 	1 750 	1 720 	1 750 	1 720 	1 478 	2 586 500 	2,34%
22/01/2026 	1 710 	1 700 	1 710 	1 700 	10 071 	17 221 410 	0,00%
21/01/2026 	1 710 	1 695 	1 710 	1 695 	24 319 	41 585 490 	0,88%
20/01/2026 	1 695 	1 695 	1 700 	1 700 	2 467 	4 181 565 	-0,29%
19/01/2026 	1 700 	1 700 	1 700 	1 700 	8 753 	14 880 100 	0,00%
16/01/2026 	1 700 	1 685 	1 700 	1 685 	9 648 	16 401 600 	0,29%
15/01/2026 	1 695 	1 690 	1 695 	1 690 	4 357 	7 385 115 	0,59%
14/01/2026 	1 685 	1 675 	1 685 	1 675 	6 478 	10 915 430 	0,90%
13/01/2026 	1 670 	1 670 	1 670 	1 670 	660 	1 102 200 	1,21%
12/01/2026 	1 650 	1 650 	1 660 	1 660 	1 996 	3 293 400 	-0,60%
09/01/2026 	1 660 	1 660 	1 670 	1 670 	1 782 	2 958 120 	3,75%
08/01/2026 	1 600 	1 600 	1 665 	1 665 	4 725 	7 560 000 	-3,90%
07/01/2026 	1 665 	1 665 	1 700 	1 700 	13 220 	22 011 300 	-1,77%
06/01/2026 	1 695 	1 695 	1 700 	1 700 	6 255 	10 602 225 	-1,17%
05/01/2026 	1 715 	1 700 	1 715 	1 700 	8 529 	14 627 235 	2,08%
02/01/2026 	1 680 	1 680 	1 695 	1 695 	10 948 	18 392 640 	6,33%
01/01/2026 	1 580 	1 505 	1 580 	1 505 	11 592 	18 315 360 	0,00%
31/12/2025 	1 580 	1 505 	1 580 	1 505 	11 592 	18 315 360 	5,33%
30/12/2025 	1 500 	1 485 	1 500 	1 485 	37 047 	55 570 500 	-6,25%
29/12/2025 	1 600 	1 600 	1 680 	1 680 	14 051 	22 481 600 	-6,98%
26/12/2025 	1 720 	1 720 	1 780 	1 780 	41 200 	70 864 000 	-3,10%
25/12/2025 	1 775 	1 775 	1 805 	1 805 	22 277 	39 541 675 	0,00%
24/12/2025 	1 775 	1 775 	1 805 	1 805 	22 277 	39 541 675 	0,00%
23/12/2025 	1 775 	1 660 	1 775 	1 660 	86 341 	153 255 275 	7,25%
22/12/2025 	1 655 	1 655 	1 655 	1 655 	1 951 	3 228 905 	7,47%
19/12/2025 	1 540 	1 540 	1 540 	1 540 	5 495 	8 462 300 	7,32%
18/12/2025 	1 435 	1 435 	1 435 	1 435 	4 680 	6 715 800 	7,49%
17/12/2025 	1 335 	1 335 	1 335 	1 335 	1 073 	1 432 455 	7,23%
16/12/2025 	1 245 	1 245 	1 245 	1 245 	5 283 	6 577 335 	7,33%
15/12/2025 	1 160 	1 160 	1 160 	1 160 	42 373 	49 152 680 	7,41%
12/12/2025 	1 080 	1 080 	1 080 	1 080 	3 408 	3 680 640 	7,46%
11/12/2025 	1 005 	1 005 	1 005 	1 005 	6 010 	6 040 050 	7,49%
10/12/2025 	935 	935 	935 	935 	3 233 	3 022 855 	7,47%
09/12/2025 	870 	870 	870 	870 	1 191 	1 036 170 	7,41%
08/12/2025 	810 	810 	810 	810 	2 459 	1 991 790 	7,28%
05/12/2025 	755 	705 	755 	705 	50 981 	38 490 655 	7,09%
04/12/2025 	705 	700 	705 	700 	10 144 	7 151 520 	0,00%
03/12/2025 	705 	700 	705 	700 	3 029 	2 135 445 	0,71%
02/12/2025 	700 	665 	700 	665 	16 510 	11 557 000 	5,26%
01/12/2025 	665 	665 	665 	665 	10 877 	7 233 205 	-6,99%
28/11/2025 	715 	715 	720 	720 	3 076 	2 199 340 	-0,69%
27/11/2025 	720 	700 	720 	700 	5 601 	4 032 720 	3,60%
26/11/2025 	695 	695 	700 	700 	2 952 	2 051 640 	-0,71%
25/11/2025 	700 	680 	700 	680 	3 607 	2 524 900 	0,72%
24/11/2025 	695 	685 	695 	685 	4 578 	3 181 710 	0,72%
21/11/2025 	690 	690 	695 	695 	1 107 	763 830 	-0,72%
20/11/2025 	695 	695 	700 	700 	681 	473 295 	-0,71%
19/11/2025 	700 	685 	700 	685 	1 734 	1 213 800 	2,19%
18/11/2025 	685 	685 	700 	700 	788 	539 780 	-2,14%
17/11/2025 	700 	695 	700 	695 	1 839 	1 287 300 	0,72%
14/11/2025 	695 	695 	700 	700 	3 776 	2 624 320 	1,46%
13/11/2025 	685 	685 	700 	700 	22 943 	15 715 955 	-2,14%
12/11/2025 	700 	700 	705 	705 	1 799 	1 259 300 	-0,71%
11/11/2025 	705 	700 	705 	700 	515 	363 075 	0,71%
10/11/2025 	700 	700 	715 	715 	5 078 	3 554 600 	0,72%
07/11/2025 	695 	695 	695 	695 	- 	0 	0,00%
06/11/2025 	695 	695 	700 	700 	2 814 	1 955 730 	2,21%
05/11/2025 	680 	680 	690 	690 	2 007 	1 364 760 	0,00%
04/11/2025 	680 	680 	690 	690 	5 522 	3 754 960 	-1,45%
03/11/2025 	690 	690 	695 	695 	1 250 	862 500 	-1,43%
31/10/2025 	700 	700 	700 	700 	5 019 	3 513 300 	0,00%
30/10/2025 	700 	700 	710 	710 	18 697 	13 087 900 	-1,41%
