Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	25 500 	25 500 	25 500 	25 500 	10 319 	263 134 500 	0.00%
26/01/2026 	25 500 	25 500 	25 500 	25 500 	4 133 	105 391 500 	0.00%
23/01/2026 	25 500 	25 500 	25 500 	25 500 	5 530 	141 015 000 	0.02%
22/01/2026 	25 495 	25 495 	25 500 	25 500 	3 700 	94 331 500 	-0.02%
21/01/2026 	25 500 	25 500 	25 500 	25 500 	3 853 	98 251 500 	0.00%
20/01/2026 	25 500 	25 495 	25 500 	25 495 	2 011 	51 280 500 	0.00%
19/01/2026 	25 500 	25 500 	25 500 	25 500 	1 977 	50 413 500 	0.00%
16/01/2026 	25 500 	25 500 	25 500 	25 500 	10 446 	266 373 000 	0.00%
15/01/2026 	25 500 	25 500 	25 500 	25 500 	9 957 	253 903 500 	0.00%
14/01/2026 	25 500 	25 500 	25 500 	25 500 	3 047 	77 698 500 	0.37%
13/01/2026 	25 405 	25 405 	25 500 	25 500 	1 470 	37 345 350 	-0.37%
12/01/2026 	25 500 	25 500 	25 995 	25 995 	2 574 	65 637 000 	0.00%
09/01/2026 	25 500 	25 450 	25 500 	25 450 	2 619 	66 784 500 	0.00%
08/01/2026 	25 500 	25 500 	25 500 	25 500 	1 555 	39 652 500 	0.00%
07/01/2026 	25 500 	25 500 	25 500 	25 500 	1 387 	35 368 500 	0.00%
06/01/2026 	25 500 	25 000 	25 500 	25 000 	2 947 	75 148 500 	2.02%
05/01/2026 	24 995 	24 995 	25 980 	25 980 	3 073 	76 809 635 	-3.85%
02/01/2026 	25 995 	24 600 	25 995 	24 600 	2 383 	61 946 085 	-0.48%
01/01/2026 	26 120 	24 400 	26 120 	24 400 	12 627 	329 817 240 	0.00%
31/12/2025 	26 120 	24 400 	26 120 	24 400 	12 627 	329 817 240 	7.05%
30/12/2025 	24 400 	24 400 	24 800 	24 800 	8 279 	202 007 600 	-1.61%
29/12/2025 	24 800 	24 800 	24 800 	24 800 	17 598 	436 430 400 	-0.40%
26/12/2025 	24 900 	24 895 	24 900 	24 895 	64 785 	1 613 146 500 	0.00%
25/12/2025 	24 900 	24 900 	25 000 	25 000 	3 047 	75 870 300 	0.00%
24/12/2025 	24 900 	24 900 	25 000 	25 000 	3 047 	75 870 300 	-0.40%
23/12/2025 	25 000 	25 000 	25 090 	25 090 	2 653 	66 325 000 	0.00%
22/12/2025 	25 000 	25 000 	25 000 	25 000 	5 518 	137 950 000 	-0.40%
19/12/2025 	25 100 	25 010 	25 100 	25 010 	119 059 	2 988 380 900 	0.38%
18/12/2025 	25 005 	25 005 	25 200 	25 200 	20 321 	508 126 605 	-0.77%
17/12/2025 	25 200 	25 200 	25 200 	25 200 	5 682 	143 186 400 	0.00%
16/12/2025 	25 200 	25 105 	25 200 	25 105 	5 893 	148 503 600 	0.38%
15/12/2025 	25 105 	25 105 	25 600 	25 600 	1 747 	43 858 435 	-1.55%
12/12/2025 	25 500 	25 500 	25 600 	25 600 	1 119 	28 534 500 	2.00%
11/12/2025 	25 000 	25 000 	25 500 	25 500 	8 044 	201 100 000 	-1.96%
10/12/2025 	25 500 	25 500 	25 500 	25 500 	2 812 	71 706 000 	0.00%
09/12/2025 	25 500 	25 500 	25 505 	25 505 	3 002 	76 551 000 	0.00%
08/12/2025 	25 500 	25 500 	25 515 	25 515 	6 256 	159 528 000 	-1.16%
05/12/2025 	25 800 	25 800 	25 800 	25 800 	20 922 	539 787 600 	0.39%
04/12/2025 	25 700 	25 700 	25 950 	25 950 	45 643 	1 173 025 100 	-0.96%
03/12/2025 	25 950 	25 515 	25 950 	25 515 	3 189 	82 754 550 	0.00%
02/12/2025 	25 950 	25 950 	26 000 	26 000 	2 138 	55 481 100 	-0.19%
01/12/2025 	26 000 	25 600 	26 000 	25 600 	3 923 	101 998 000 	1.56%
28/11/2025 	25 600 	25 425 	25 600 	25 425 	1 665 	42 624 000 	0.69%
27/11/2025 	25 425 	25 425 	25 450 	25 450 	1 062 	27 001 350 	-0.68%
26/11/2025 	25 600 	25 500 	25 600 	25 500 	21 639 	553 958 400 	0.79%
25/11/2025 	25 400 	25 300 	25 400 	25 300 	11 633 	295 478 200 	0.99%
24/11/2025 	25 150 	25 000 	25 150 	25 000 	13 475 	338 896 250 	0.20%
21/11/2025 	25 100 	25 100 	25 500 	25 500 	2 246 	56 374 600 	-1.57%
20/11/2025 	25 500 	25 500 	25 500 	25 500 	2 061 	52 555 500 	0.39%
19/11/2025 	25 400 	25 400 	25 500 	25 500 	29 111 	739 419 400 	1.60%
18/11/2025 	25 000 	25 000 	25 100 	25 100 	10 562 	264 050 000 	-1.96%
17/11/2025 	25 500 	25 000 	25 500 	25 000 	3 322 	84 711 000 	0.00%
14/11/2025 	25 500 	25 500 	25 600 	25 600 	21 842 	556 971 000 	-1.92%
13/11/2025 	26 000 	25 500 	26 000 	25 500 	2 779 	72 254 000 	2.14%
12/11/2025 	25 455 	25 455 	25 900 	25 900 	10 311 	262 466 505 	-0.57%
11/11/2025 	25 600 	25 600 	25 900 	25 900 	54 748 	1 401 548 800 	-1.16%
10/11/2025 	25 900 	25 900 	25 990 	25 990 	7 040 	182 336 000 	-0.38%
07/11/2025 	26 000 	26 000 	26 000 	26 000 	- 	0 	0.04%
06/11/2025 	25 990 	25 990 	26 000 	26 000 	2 598 	67 522 020 	-0.04%
05/11/2025 	26 000 	26 000 	26 100 	26 100 	2 579 	67 054 000 	-0.38%
04/11/2025 	26 100 	26 095 	26 100 	26 095 	43 257 	1 129 007 700 	0.00%
03/11/2025 	26 100 	26 100 	26 105 	26 105 	33 115 	864 301 500 	-0.02%
31/10/2025 	26 105 	26 105 	26 200 	26 200 	2 923 	76 304 915 	-0.36%
30/10/2025 	26 200 	26 200 	26 350 	26 350 	2 502 	65 552 400 	-0.57%
