Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	7 900 	7 850 	7 900 	7 850 	4 097 	32 366 300 	0.64%
26/01/2026 	7 850 	7 800 	7 850 	7 800 	2 083 	16 351 550 	0.64%
23/01/2026 	7 800 	7 800 	7 800 	7 800 	1 642 	12 807 600 	0.00%
22/01/2026 	7 800 	7 695 	7 800 	7 695 	364 	2 839 200 	1.43%
21/01/2026 	7 690 	7 690 	7 850 	7 850 	4 540 	34 912 600 	-2.04%
20/01/2026 	7 850 	7 850 	7 900 	7 900 	1 229 	9 647 650 	-0.51%
19/01/2026 	7 890 	7 695 	7 890 	7 695 	3 638 	28 703 820 	2.53%
16/01/2026 	7 695 	7 695 	7 695 	7 695 	675 	5 194 125 	0.07%
15/01/2026 	7 690 	7 610 	7 690 	7 610 	2 642 	20 316 980 	1.18%
14/01/2026 	7 600 	7 600 	7 645 	7 645 	3 053 	23 202 800 	-0.59%
13/01/2026 	7 645 	7 600 	7 645 	7 600 	874 	6 681 730 	-0.84%
12/01/2026 	7 710 	7 710 	7 785 	7 785 	1 106 	8 527 260 	-0.96%
09/01/2026 	7 785 	7 770 	7 785 	7 770 	1 177 	9 162 945 	-0.06%
08/01/2026 	7 790 	7 780 	7 790 	7 780 	755 	5 881 450 	0.52%
07/01/2026 	7 750 	7 750 	7 790 	7 790 	2 611 	20 235 250 	-0.64%
06/01/2026 	7 800 	7 700 	7 800 	7 700 	1 239 	9 664 200 	3.24%
05/01/2026 	7 555 	7 555 	7 795 	7 795 	439 	3 316 645 	-3.08%
02/01/2026 	7 795 	7 505 	7 795 	7 505 	290 	2 260 550 	-1,33%
01/01/2026 	7 900 	7 660 	7 900 	7 660 	8 949 	70 697 100 	0.00%
31/12/2025 	7 900 	7 660 	7 900 	7 660 	8 949 	70 697 100 	2.93%
30/12/2025 	7 675 	7 675 	7 740 	7 740 	1 898 	14 567 150 	-0.90%
29/12/2025 	7 745 	7 745 	7 785 	7 785 	2 536 	19 641 320 	-0.58%
26/12/2025 	7 790 	7 790 	7 820 	7 820 	1 078 	8 397 620 	-0.38%
25/12/2025 	7 820 	7 820 	7 840 	7 840 	6 459 	50 509 380 	0.00%
24/12/2025 	7 820 	7 820 	7 840 	7 840 	6 459 	50 509 380 	0.45%
23/12/2025 	7 785 	7 750 	7 785 	7 750 	2 840 	22 109 400 	0.58%
22/12/2025 	7 740 	7 740 	7 790 	7 790 	1 246 	9 644 040 	-0.71%
19/12/2025 	7 795 	7 760 	7 795 	7 760 	1 467 	11 435 265 	0.58%
18/12/2025 	7 750 	7 750 	7 750 	7 750 	3 023 	23 428 250 	-0.58%
17/12/2025 	7 795 	7 795 	7 800 	7 800 	1 350 	10 523 250 	-0.06%
16/12/2025 	7 800 	7 800 	7 840 	7 840 	3 282 	25 599 600 	-0.57%
15/12/2025 	7 845 	7 845 	7 845 	7 845 	1 251 	9 814 095 	0.00%
12/12/2025 	7 845 	7 845 	7 850 	7 850 	2 717 	21 314 865 	-0.06%
11/12/2025 	7 850 	7 845 	7 850 	7 845 	3 417 	26 823 450 	0.06%
10/12/2025 	7 845 	7 800 	7 845 	7 800 	1 971 	15 462 495 	0.58%
09/12/2025 	7 800 	7 800 	7 800 	7 800 	5 137 	40 068 600 	-0.64%
08/12/2025 	7 850 	7 850 	7 850 	7 850 	1 193 	9 365 050 	1.55%
05/12/2025 	7 730 	7 730 	7 900 	7 900 	2 750 	21 257 500 	-1.65%
04/12/2025 	7 860 	7 860 	7 905 	7 905 	2 957 	23 242 020 	-0.95%
03/12/2025 	7 935 	7 935 	7 940 	7 940 	1 162 	9 220 470 	-0.06%
02/12/2025 	7 940 	7 940 	7 940 	7 940 	764 	6 066 160 	-0.13%
01/12/2025 	7 950 	7 950 	7 970 	7 970 	1 426 	11 336 700 	-0.31%
28/11/2025 	7 975 	7 910 	7 975 	7 910 	1 044 	8 325 900 	0.82%
27/11/2025 	7 910 	7 910 	7 975 	7 975 	1 427 	11 287 570 	0.13%
26/11/2025 	7 900 	7 900 	7 970 	7 970 	3 366 	26 591 400 	-0.88%
25/11/2025 	7 970 	7 950 	7 970 	7 950 	1 125 	8 966 250 	0.25%
24/11/2025 	7 950 	7 950 	7 990 	7 990 	765 	6 081 750 	-0.50%
21/11/2025 	7 990 	7 990 	8 000 	8 000 	1 498 	11 969 020 	-0.13%
20/11/2025 	8 000 	7 850 	8 000 	7 850 	5 287 	42 296 000 	1.91%
19/11/2025 	7 850 	7 805 	7 850 	7 805 	541 	4 246 850 	0.64%
18/11/2025 	7 800 	7 750 	7 800 	7 750 	303 	2 363 400 	0.65%
17/11/2025 	7 750 	7 750 	7 860 	7 860 	618 	4 789 500 	-1.40%
14/11/2025 	7 860 	7 860 	7 860 	7 860 	758 	5 957 880 	0.00%
13/11/2025 	7 860 	7 860 	7 950 	7 950 	15 043 	118 237 980 	0.51%
12/11/2025 	7 820 	7 820 	7 970 	7 970 	2 013 	15 741 660 	-1.94%
11/11/2025 	7 975 	7 975 	7 990 	7 990 	1 042 	8 309 950 	-0.31%
10/11/2025 	8 000 	8 000 	8 000 	8 000 	2 187 	17 496 000 	1.39%
07/11/2025 	7 890 	7 890 	7 890 	7 890 	- 	0 	5.20%
06/11/2025 	7 500 	7 400 	7 500 	7 400 	4 741 	35 557 500 	2.04%
05/11/2025 	7 350 	7 350 	7 400 	7 400 	15 717 	115 519 950 	-0.68%
04/11/2025 	7 400 	7 400 	7 500 	7 500 	17 776 	131 542 400 	-1.40%
03/11/2025 	7 505 	7 505 	7 840 	7 840 	10 067 	75 552 835 	-4,27%
31/10/2025 	7 840 	7 320 	7 840 	7 320 	25 599 	200 696 160 	-0.88%
30/10/2025 	7 910 	7 910 	8 385 	8 385 	11 601 	91 763 910 	-3,83%
