Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	7 650 	7 500 	7 650 	7 500 	4 875 	37 293 750 	0.86%
26/01/2026 	7 585 	7 500 	7 585 	7 500 	938 	7 114 730 	1.13%
23/01/2026 	7 500 	7 500 	7 675 	7 675 	530 	3 975 000 	-1,32%
22/01/2026 	7 600 	7 600 	7 675 	7 675 	9 626 	73 157 600 	-0.98%
21/01/2026 	7 675 	7 555 	7 675 	7 555 	826 	6 339 550 	-0.20%
20/01/2026 	7 690 	7 690 	7 700 	7 700 	528 	4 060 320 	-0.58%
19/01/2026 	7 735 	7 480 	7 735 	7 480 	3 883 	30 035 005 	3.27%
16/01/2026 	7 490 	7 245 	7 490 	7 245 	4 042 	30 274 580 	3.31%
15/01/2026 	7 250 	7 250 	7 250 	7 250 	3 340 	24 215 000 	0.00%
14/01/2026 	7 250 	7 250 	7 335 	7 335 	4 908 	35 583 000 	-1.02%
13/01/2026 	7 325 	7 320 	7 325 	7 320 	1 254 	9 185 550 	0.07%
12/01/2026 	7 320 	7 320 	7 400 	7 400 	579 	4 238 280 	-3,56%
09/01/2026 	7 590 	7 590 	7 625 	7 625 	1 973 	14 975 070 	-0.46%
08/01/2026 	7 625 	7 625 	7 680 	7 680 	311 	2 371 375 	-0.72%
07/01/2026 	7 680 	7 505 	7 680 	7 505 	1 175 	9 024 000 	-0.26%
06/01/2026 	7 700 	7 700 	7 735 	7 735 	823 	6 337 100 	-0.45%
05/01/2026 	7 735 	7 500 	7 735 	7 500 	2 179 	16 854 565 	-0.19%
02/01/2026 	7 750 	7 750 	7 895 	7 895 	351 	2 720 250 	-1,90%
01/01/2026 	7 900 	7 130 	7 900 	7 130 	3 407 	26 915 300 	0.00%
31/12/2025 	7 900 	7 130 	7 900 	7 130 	3 407 	26 915 300 	5.33%
30/12/2025 	7 500 	7 500 	7 545 	7 545 	4 235 	31 762 500 	-0,60%
29/12/2025 	7 545 	7 350 	7 545 	7 350 	8 547 	64 487 115 	1.96%
26/12/2025 	7 400 	7 350 	7 400 	7 350 	4 614 	34 143 600 	0.75%
25/12/2025 	7 345 	7 010 	7 345 	7 010 	5 834 	42 850 730 	0.00%
24/12/2025 	7 345 	7 010 	7 345 	7 010 	5 834 	42 850 730 	4.93%
23/12/2025 	7 000 	7 000 	7 420 	7 420 	9 976 	69 832 000 	-5.66%
22/12/2025 	7 420 	7 420 	7 700 	7 700 	1 207 	8 955 940 	-3,64%
19/12/2025 	7 700 	7 410 	7 700 	7 410 	1 378 	10 610 600 	-0.77%
18/12/2025 	7 760 	7 320 	7 760 	7 320 	2 063 	16 008 880 	-0.32%
17/12/2025 	7 785 	7 785 	7 800 	7 800 	65 	506 025 	-0.57%
16/12/2025 	7 830 	7 795 	7 830 	7 795 	3 551 	27 804 330 	-0.13%
15/12/2025 	7 840 	7 840 	7 850 	7 850 	384 	3 010 560 	-0.06%
12/12/2025 	7 845 	7 845 	7 850 	7 850 	848 	6 652 560 	-0.06%
11/12/2025 	7 850 	7 785 	7 850 	7 785 	949 	7 449 650 	0.83%
10/12/2025 	7 785 	7 785 	7 830 	7 830 	368 	2 864 880 	-0.45%
09/12/2025 	7 820 	7 805 	7 820 	7 805 	1 678 	13 121 960 	-0.06%
08/12/2025 	7 825 	7 800 	7 825 	7 800 	2 398 	18 764 350 	-0.19%
05/12/2025 	7 840 	7 840 	7 895 	7 895 	265 	2 077 600 	-0.76%
04/12/2025 	7 900 	7 750 	7 900 	7 750 	1 952 	15 420 800 	-0.63%
03/12/2025 	7 950 	7 950 	8 000 	8 000 	322 	2 559 900 	-0.63%
02/12/2025 	8 000 	7 650 	8 000 	7 650 	736 	5 888 000 	0.00%
01/12/2025 	8 000 	8 000 	8 145 	8 145 	4 177 	33 416 000 	-1.84%
28/11/2025 	8 150 	7 780 	8 150 	7 780 	2 549 	20 774 350 	0.68%
27/11/2025 	8 095 	7 790 	8 095 	7 790 	1 959 	15 858 105 	3.92%
26/11/2025 	7 790 	7 690 	7 790 	7 690 	3 004 	23 401 160 	1.30%
25/11/2025 	7 690 	7 690 	7 690 	7 690 	3 547 	27 276 430 	0.00%
24/11/2025 	7 690 	7 400 	7 690 	7 400 	7 639 	58 743 910 	4.70%
21/11/2025 	7 345 	7 345 	7 460 	7 460 	2 360 	17 334 200 	-1.54%
20/11/2025 	7 460 	7 390 	7 460 	7 390 	3 487 	26 013 020 	0.88%
19/11/2025 	7 395 	7 320 	7 395 	7 320 	2 005 	14 826 975 	1.02%
18/11/2025 	7 320 	7 320 	7 450 	7 450 	1 309 	9 581 880 	-1.74%
17/11/2025 	7 450 	7 450 	7 485 	7 485 	1 385 	10 318 250 	-0.40%
14/11/2025 	7 480 	7 460 	7 480 	7 460 	817 	6 111 160 	0.00%
13/11/2025 	7 480 	7 480 	7 480 	7 480 	1 462 	10 935 760 	0.00%
12/11/2025 	7 480 	7 480 	7 480 	7 480 	3 040 	22 739 200 	-0.07%
11/11/2025 	7 485 	7 485 	7 490 	7 490 	924 	6 916 140 	-0.07%
10/11/2025 	7 490 	7 490 	7 490 	7 490 	3 549 	26 582 010 	0.00%
07/11/2025 	7 490 	7 490 	7 490 	7 490 	- 	0 	1.90%
06/11/2025 	7 350 	7 350 	7 450 	7 450 	1 988 	14 611 800 	-1,34%
05/11/2025 	7 450 	7 300 	7 450 	7 300 	6 766 	50 406 700 	-0.47%
04/11/2025 	7 485 	7 485 	7 800 	7 800 	9 208 	68 921 880 	-3,98%
03/11/2025 	7 795 	7 795 	7 890 	7 890 	2 424 	18 895 080 	-1,20%
31/10/2025 	7 890 	7 125 	7 890 	7 125 	35 414 	279 416 460 	2.53%
30/10/2025 	7 695 	7 695 	7 985 	7 985 	3 498 	26 917 110 	-4,53%
