Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 220 	1 220 	1 265 	1 265 	593 	723 460 	0.41%
26/01/2026 	1 215 	1 200 	1 215 	1 200 	986 	1 197 990 	1.25%
23/01/2026 	1 200 	1 200 	1 200 	1 200 	4 857 	5 828 400 	0.00%
22/01/2026 	1 200 	1 200 	1 250 	1 250 	5 603 	6 723 600 	0.00%
21/01/2026 	1 200 	1 200 	1 250 	1 250 	5 687 	6 824 400 	-4,00%
20/01/2026 	1 250 	1 250 	1 275 	1 275 	6 040 	7 550 000 	-1.96%
19/01/2026 	1 275 	1 275 	1 290 	1 290 	1 593 	2 031 075 	0.00%
16/01/2026 	1 275 	1 260 	1 275 	1 260 	1 729 	2 204 475 	2.00%
15/01/2026 	1 250 	1 185 	1 250 	1 185 	3 403 	4 253 750 	3.31%
14/01/2026 	1 210 	1 210 	1 250 	1 250 	5 470 	6 618 700 	-4.35%
13/01/2026 	1 265 	1 215 	1 265 	1 215 	13 413 	16 967 445 	5.42%
12/01/2026 	1 200 	1 200 	1 200 	1 200 	767 	920 400 	7.14%
09/01/2026 	1 120 	1 120 	1 215 	1 215 	11 789 	13 203 680 	-7.05%
08/01/2026 	1 205 	1 205 	1 280 	1 280 	26 005 	31 336 025 	-5.49%
07/01/2026 	1 275 	1 275 	1 280 	1 280 	1 505 	1 918 875 	0.00%
06/01/2026 	1 275 	1 275 	1 280 	1 280 	1 444 	1 841 100 	-0.39%
05/01/2026 	1 280 	1 280 	1 280 	1 280 	3 139 	4 017 920 	0.00%
02/01/2026 	1 280 	1 240 	1 280 	1 240 	4 096 	5 242 880 	-3,40%
01/01/2026 	1 325 	1 325 	1 330 	1 330 	2 632 	3 487 400 	0.00%
31/12/2025 	1 325 	1 325 	1 330 	1 330 	2 632 	3 487 400 	-6.69%
30/12/2025 	1 420 	1 420 	1 530 	1 530 	6 485 	9 208 700 	-7.19%
29/12/2025 	1 530 	1 530 	1 530 	1 530 	4 168 	6 377 040 	7.37%
26/12/2025 	1 425 	1 425 	1 425 	1 425 	11 570 	16 487 250 	7.14%
25/12/2025 	1 330 	1 300 	1 330 	1 300 	346 	460 180 	0.00%
24/12/2025 	1 330 	1 300 	1 330 	1 300 	346 	460 180 	7.26%
23/12/2025 	1 240 	1 240 	1 240 	1 240 	5 737 	7 113 880 	7.36%
22/12/2025 	1 155 	1 080 	1 155 	1 080 	3 725 	4 302 375 	7.44%
19/12/2025 	1 075 	1 075 	1 075 	1 075 	2 940 	3 160 500 	0.00%
18/12/2025 	1 075 	1 075 	1 075 	1 075 	2 734 	2 939 050 	0.00%
17/12/2025 	1 075 	1 075 	1 075 	1 075 	4 609 	4 954 675 	0.94%
16/12/2025 	1 065 	1 050 	1 065 	1 050 	1 281 	1 364 265 	1.43%
15/12/2025 	1 050 	1 050 	1 075 	1 075 	1 766 	1 854 300 	-1.87%
12/12/2025 	1 070 	1 070 	1 140 	1 140 	2 256 	2 413 920 	-2,73%
11/12/2025 	1 100 	1 100 	1 155 	1 155 	462 	508 200 	0.00%
10/12/2025 	1 100 	1 100 	1 160 	1 160 	1 004 	1 104 400 	-5.17%
09/12/2025 	1 160 	1 160 	1 160 	1 160 	1 317 	1 527 720 	-6.83%
08/12/2025 	1 245 	1 245 	1 260 	1 260 	602 	749 490 	-1.19%
05/12/2025 	1 260 	1 180 	1 260 	1 180 	1 622 	2 043 720 	6.78%
04/12/2025 	1 180 	1 180 	1 180 	1 180 	140 	165 200 	0.00%
03/12/2025 	1 180 	1 180 	1 180 	1 180 	820 	967 600 	2.61%
02/12/2025 	1 150 	1 150 	1 150 	1 150 	217 	249 550 	0.00%
01/12/2025 	1 150 	1 095 	1 150 	1 095 	411 	472 650 	5.02%
28/11/2025 	1 095 	1 065 	1 095 	1 065 	2 152 	2 356 440 	2.82%
27/11/2025 	1 065 	1 065 	1 150 	1 150 	294 	313 110 	-7.39%
26/11/2025 	1 150 	1 150 	1 150 	1 150 	455 	523 250 	0.00%
25/11/2025 	1 150 	1 100 	1 150 	1 100 	1 019 	1 171 850 	4.55%
24/11/2025 	1 100 	1 090 	1 100 	1 090 	995 	1 094 500 	0.00%
21/11/2025 	1 100 	1 100 	1 100 	1 100 	455 	500 500 	-4.35%
20/11/2025 	1 150 	1 150 	1 150 	1 150 	1 001 	1 151 150 	0.00%
19/11/2025 	1 150 	1 065 	1 150 	1 065 	1 034 	1 189 100 	0.44%
18/11/2025 	1 145 	1 145 	1 150 	1 150 	214 	245 030 	-0.43%
17/11/2025 	1 150 	1 150 	1 175 	1 175 	3 168 	3 643 200 	-4,17%
14/11/2025 	1 200 	1 200 	1 200 	1 200 	1 164 	1 396 800 	3.45%
13/11/2025 	1 160 	1 160 	1 195 	1 195 	4 276 	4 960 160 	0.00%
