Date 	Clôture 	Plus bas 	Plus haut 	Ouverture 	Volume Titres 	Volume FCFA 	Variation %
27/01/2026 	21 900 	21 870 	21 900 	21 870 	5 506 	120 581 400 	0,25%
26/01/2026 	21 845 	21 500 	21 845 	21 500 	2 314 	50 549 330 	1,60%
23/01/2026 	21 500 	21 500 	21 500 	21 500 	2 739 	58 888 500 	0,02%
22/01/2026 	21 495 	21 495 	21 500 	21 500 	1 701 	36 562 995 	1,13%
21/01/2026 	21 255 	20 995 	21 255 	20 995 	621 	13 199 355 	3,68%
20/01/2026 	20 500 	20 150 	20 500 	20 150 	4 572 	93 726 000 	2,19%
19/01/2026 	20 060 	20 050 	20 060 	20 050 	3 521 	70 631 260 	1,31%
16/01/2026 	19 800 	19 800 	20 000 	20 000 	3 638 	72 032 400 	0,00%
15/01/2026 	19 800 	19 800 	19 800 	19 800 	2 264 	44 827 200 	0,00%
14/01/2026 	19 800 	19 800 	20 000 	20 000 	1 074 	21 265 200 	-1,00%
13/01/2026 	20 000 	19 780 	20 000 	19 780 	1 632 	32 640 000 	1,55%
12/01/2026 	19 695 	19 675 	19 695 	19 675 	1 701 	33 501 195 	0,10%
09/01/2026 	19 675 	19 500 	19 675 	19 500 	596 	11 726 300 	0,90%
08/01/2026 	19 500 	19 500 	19 505 	19 505 	1 053 	20 533 500 	0,52%
07/01/2026 	19 400 	19 400 	19 680 	19 680 	2 793 	54 184 200 	-1,42%
06/01/2026 	19 680 	19 680 	19 685 	19 685 	634 	12 477 120 	0,00%
05/01/2026 	19 680 	19 680 	19 690 	19 690 	616 	12 122 880 	-0,05%
02/01/2026 	19 690 	19 690 	19 780 	19 780 	175 	3 445 750 	-0,46%
01/01/2026 	19 780 	19 490 	19 780 	19 490 	4 417 	87 368 260 	0,00%
31/12/2025 	19 780 	19 490 	19 780 	19 490 	4 417 	87 368 260 	1,49%
30/12/2025 	19 490 	19 490 	19 490 	19 490 	2 867 	55 877 830 	0,00%
29/12/2025 	19 490 	19 450 	19 490 	19 450 	1 773 	34 555 770 	0,15%
26/12/2025 	19 460 	19 460 	19 550 	19 550 	3 514 	68 382 440 	-0,46%
25/12/2025 	19 550 	19 550 	19 550 	19 550 	360 	7 038 000 	0,00%
