Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 400 	2 400 	2 450 	2 450 	1 758 	4 219 200 	-0.83%
26/01/2026 	2 420 	2 415 	2 420 	2 415 	3 956 	9 573 520 	0.83%
23/01/2026 	2 400 	2 390 	2 400 	2 390 	1 935 	4 644 000 	0.42%
22/01/2026 	2 390 	2 390 	2 400 	2 400 	2 021 	4 830 190 	0.21%
21/01/2026 	2 385 	2 385 	2 395 	2 395 	3 543 	8 450 055 	0.21%
20/01/2026 	2 380 	2 340 	2 380 	2 340 	2 488 	5 921 440 	-0.21%
19/01/2026 	2 385 	2 350 	2 385 	2 350 	5 462 	13 026 870 	1.49%
16/01/2026 	2 350 	2 350 	2 395 	2 395 	908 	2 133 800 	-1.88%
15/01/2026 	2 395 	2 370 	2 395 	2 370 	2 227 	5 333 665 	1.05%
14/01/2026 	2 370 	2 370 	2 380 	2 380 	1 310 	3 104 700 	0.64%
13/01/2026 	2 355 	2 355 	2 380 	2 380 	1 248 	2 939 040 	-1.05%
12/01/2026 	2 380 	2 380 	2 395 	2 395 	1 389 	3 305 820 	1.28%
09/01/2026 	2 350 	2 350 	2 360 	2 360 	1 531 	3 597 850 	1.73%
08/01/2026 	2 310 	2 310 	2 340 	2 340 	914 	2 111 340 	-1.49%
07/01/2026 	2 345 	2 345 	2 350 	2 350 	3 607 	8 458 415 	-0.21%
06/01/2026 	2 350 	2 350 	2 400 	2 400 	3 223 	7 574 050 	0.00%
05/01/2026 	2 350 	2 335 	2 350 	2 335 	11 041 	25 946 350 	0.64%
02/01/2026 	2 335 	2 335 	2 335 	2 335 	738 	1 723 230 	0.00%
01/01/2026 	2 335 	2 335 	2 340 	2 340 	882 	2 059 470 	0.00%
31/12/2025 	2 335 	2 335 	2 340 	2 340 	882 	2 059 470 	-0.21%
30/12/2025 	2 340 	2 340 	2 345 	2 345 	6 748 	15 790 320 	-0.21%
29/12/2025 	2 345 	2 325 	2 345 	2 325 	4 807 	11 272 415 	0.00%
26/12/2025 	2 345 	2 345 	2 345 	2 345 	4 186 	9 816 170 	0.21%
25/12/2025 	2 340 	2 340 	2 345 	2 345 	449 	1 050 660 	0.00%
24/12/2025 	2 340 	2 340 	2 345 	2 345 	449 	1 050 660 	-0.21%
23/12/2025 	2 345 	2 340 	2 345 	2 340 	581 	1 362 445 	0.21%
22/12/2025 	2 340 	2 340 	2 350 	2 350 	2 592 	6 065 280 	-0.85%
19/12/2025 	2 360 	2 360 	2 360 	2 360 	2 019 	4 764 840 	0.00%
18/12/2025 	2 360 	2 300 	2 360 	2 300 	785 	1 852 600 	0.00%
17/12/2025 	2 360 	2 360 	2 360 	2 360 	1 059 	2 499 240 	-0.42%
16/12/2025 	2 370 	2 370 	2 370 	2 370 	2 308 	5 469 960 	-0.84%
15/12/2025 	2 390 	2 390 	2 395 	2 395 	929 	2 220 310 	-0.21%
12/12/2025 	2 395 	2 390 	2 395 	2 390 	2 059 	4 931 305 	0.21%
11/12/2025 	2 390 	2 390 	2 395 	2 395 	1 062 	2 538 180 	0.21%
10/12/2025 	2 385 	2 385 	2 385 	2 385 	3 226 	7 694 010 	0.00%
09/12/2025 	2 385 	2 375 	2 385 	2 375 	2 709 	6 460 965 	0.00%
08/12/2025 	2 385 	2 385 	2 390 	2 390 	1 721 	4 104 585 	0.63%
05/12/2025 	2 370 	2 365 	2 370 	2 365 	2 916 	6 910 920 	0.21%
04/12/2025 	2 365 	2 365 	2 370 	2 370 	1 056 	2 497 440 	-0.21%
03/12/2025 	2 370 	2 370 	2 395 	2 395 	2 079 	4 927 230 	-0.84%
02/12/2025 	2 390 	2 390 	2 395 	2 395 	567 	1 355 130 	-0.21%
01/12/2025 	2 395 	2 350 	2 395 	2 350 	1 602 	3 836 790 	2.13%
28/11/2025 	2 345 	2 305 	2 345 	2 305 	1 211 	2 839 795 	1.74%
27/11/2025 	2 305 	2 305 	2 325 	2 325 	1 381 	3 183 205 	0.22%
26/11/2025 	2 300 	2 300 	2 325 	2 325 	2 125 	4 887 500 	-1.08%
25/11/2025 	2 325 	2 325 	2 400 	2 400 	1 999 	4 647 675 	-1.06%
24/11/2025 	2 350 	2 250 	2 350 	2 250 	9 356 	21 986 600 	-0.42%
21/11/2025 	2 360 	2 355 	2 360 	2 355 	2 603 	6 143 080 	-0.21%
20/11/2025 	2 365 	2 365 	2 370 	2 370 	4 740 	11 210 100 	-0.21%
19/11/2025 	2 370 	2 350 	2 370 	2 350 	2 526 	5 986 620 	0.85%
18/11/2025 	2 350 	2 350 	2 380 	2 380 	374 	878 900 	-1.26%
17/11/2025 	2 380 	2 360 	2 380 	2 360 	2 759 	6 566 420 	0.85%
14/11/2025 	2 360 	2 350 	2 360 	2 350 	1 191 	2 810 760 	0.64%
13/11/2025 	2 345 	2 345 	2 350 	2 350 	2 293 	5 377 085 	1.96%
12/11/2025 	2 300 	2 250 	2 300 	2 250 	7 828 	18 004 400 	-1.08%
11/11/2025 	2 325 	2 315 	2 325 	2 315 	11 542 	26 835 150 	-0.43%
10/11/2025 	2 335 	2 335 	2 335 	2 335 	2 947 	6 881 245 	0.00%
07/11/2025 	2 335 	2 335 	2 335 	2 335 	- 	0 	0.00%
06/11/2025 	2 335 	2 320 	2 335 	2 320 	6 366 	14 864 610 	0.43%
05/11/2025 	2 325 	2 320 	2 325 	2 320 	4 344 	10 099 800 	0.00%
04/11/2025 	2 325 	2 320 	2 325 	2 320 	11 627 	27 032 775 	0.00%
03/11/2025 	2 325 	2 325 	2 380 	2 380 	4 924 	11 448 300 	-2,31%
31/10/2025 	2 380 	2 350 	2 380 	2 350 	8 270 	19 682 600 	1.28%
30/10/2025 	2 350 	2 350 	2 350 	2 350 	7 440 	17 484 000 	-0.21%
