Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	2 550 	2 540 	2 550 	2 540 	869 	2 215 950 	0.39%
26/01/2026 	2 540 	2 540 	2 550 	2 550 	277 	703 580 	-0.39%
23/01/2026 	2 550 	2 550 	2 550 	2 550 	409 	1 042 950 	0.00%
22/01/2026 	2 550 	2 500 	2 550 	2 500 	714 	1 820 700 	0.00%
21/01/2026 	2 550 	2 500 	2 550 	2 500 	2 195 	5 597 250 	0.79%
20/01/2026 	2 530 	2 530 	2 550 	2 550 	459 	1 161 270 	-0.78%
19/01/2026 	2 550 	2 550 	2 600 	2 600 	705 	1 797 750 	0.00%
16/01/2026 	2 550 	2 550 	2 600 	2 600 	835 	2 129 250 	-1.92%
15/01/2026 	2 600 	2 550 	2 600 	2 550 	656 	1 705 600 	1.76%
14/01/2026 	2 555 	2 555 	2 600 	2 600 	390 	996 450 	-1.73%
13/01/2026 	2 600 	2 530 	2 600 	2 530 	1 249 	3 247 400 	2.77%
12/01/2026 	2 530 	2 530 	2 530 	2 530 	795 	2 011 350 	0.00%
09/01/2026 	2 530 	2 530 	2 530 	2 530 	459 	1 161 270 	0.00%
08/01/2026 	2 530 	2 450 	2 530 	2 450 	636 	1 609 080 	3.27%
07/01/2026 	2 450 	2 425 	2 450 	2 425 	1 913 	4 686 850 	1.03%
06/01/2026 	2 425 	2 425 	2 495 	2 495 	1 422 	3 448 350 	3.19%
05/01/2026 	2 350 	2 350 	2 530 	2 530 	2 916 	6 852 600 	-7.11%
02/01/2026 	2 530 	2 510 	2 530 	2 510 	453 	1 146 090 	1.20%
01/01/2026 	2 500 	2 480 	2 500 	2 480 	320 	800 000 	0.00%
31/12/2025 	2 500 	2 480 	2 500 	2 480 	320 	800 000 	0.81%
30/12/2025 	2 480 	2 480 	2 500 	2 500 	108 	267 840 	0.00%
29/12/2025 	2 480 	2 480 	2 500 	2 500 	3 714 	9 210 720 	-0.80%
26/12/2025 	2 500 	2 500 	2 500 	2 500 	1 647 	4 117 500 	0.00%
25/12/2025 	2 500 	2 475 	2 500 	2 475 	567 	1 417 500 	0.00%
24/12/2025 	2 500 	2 475 	2 500 	2 475 	567 	1 417 500 	-1.77%
23/12/2025 	2 545 	2 545 	2 545 	2 545 	733 	1 865 485 	2.83%
22/12/2025 	2 475 	2 475 	2 475 	2 475 	1 719 	4 254 525 	-2.75%
19/12/2025 	2 545 	2 485 	2 545 	2 485 	1 942 	4 942 390 	2.41%
18/12/2025 	2 485 	2 485 	2 520 	2 520 	959 	2 383 115 	-0,60%
17/12/2025 	2 500 	2 500 	2 510 	2 510 	2 482 	6 205 000 	-0.40%
16/12/2025 	2 510 	2 510 	2 550 	2 550 	403 	1 011 530 	-1.76%
15/12/2025 	2 555 	2 555 	2 555 	2 555 	317 	809 935 	-0.20%
12/12/2025 	2 560 	2 530 	2 560 	2 530 	275 	704 000 	0.39%
11/12/2025 	2 550 	2 550 	2 550 	2 550 	345 	879 750 	0.00%
10/12/2025 	2 550 	2 550 	2 560 	2 560 	392 	999 600 	-0.39%
09/12/2025 	2 560 	2 560 	2 560 	2 560 	1 219 	3 120 640 	0.00%
08/12/2025 	2 560 	2 490 	2 560 	2 490 	617 	1 579 520 	2.81%
05/12/2025 	2 490 	2 490 	2 500 	2 500 	1 933 	4 813 170 	-0.40%
04/12/2025 	2 500 	2 500 	2 500 	2 500 	694 	1 735 000 	0.40%
03/12/2025 	2 490 	2 490 	2 550 	2 550 	1 910 	4 755 900 	-2.35%
02/12/2025 	2 550 	2 550 	2 550 	2 550 	1 004 	2 560 200 	0.00%
01/12/2025 	2 550 	2 550 	2 555 	2 555 	849 	2 164 950 	-0.20%
28/11/2025 	2 555 	2 500 	2 555 	2 500 	321 	820 155 	3.02%
27/11/2025 	2 480 	2 475 	2 480 	2 475 	1 310 	3 248 800 	-0.80%
26/11/2025 	2 500 	2 495 	2 500 	2 495 	1 330 	3 325 000 	0.20%
25/11/2025 	2 495 	2 495 	2 500 	2 500 	1 082 	2 699 590 	-0.20%
24/11/2025 	2 500 	2 500 	2 500 	2 500 	374 	935 000 	0.40%
21/11/2025 	2 490 	2 490 	2 490 	2 490 	345 	859 050 	-0.40%
20/11/2025 	2 500 	2 500 	2 500 	2 500 	699 	1 747 500 	0.40%
19/11/2025 	2 490 	2 470 	2 490 	2 470 	1 315 	3 274 350 	0.61%
18/11/2025 	2 475 	2 475 	2 475 	2 475 	4 074 	10 083 150 	-0.20%
17/11/2025 	2 480 	2 475 	2 480 	2 475 	3 743 	9 282 640 	-0.20%
14/11/2025 	2 485 	2 475 	2 485 	2 475 	3 190 	7 927 150 	0.20%
13/11/2025 	2 480 	2 480 	2 490 	2 490 	408 	1 011 840 	-0.20%
12/11/2025 	2 485 	2 485 	2 485 	2 485 	508 	1 262 380 	-0.20%
