
Period :
From: Au:
Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	43 250 	43 025 	43 250 	43 025 	26 	1 124 500 	0.53%
26/01/2026 	43 020 	43 020 	46 500 	46 500 	208 	8 948 160 	-7.48%
23/01/2026 	46 500 	46 500 	46 760 	46 760 	16 	744 000 	0.12%
22/01/2026 	46 445 	46 445 	46 700 	46 700 	3 	139 335 	-0.67%
21/01/2026 	46 760 	46 760 	46 760 	46 760 	26 	1 215 760 	7.49%
20/01/2026 	43 500 	43 500 	46 450 	46 450 	34 	1 479 000 	-6.25%
19/01/2026 	46 400 	46 400 	46 445 	46 445 	2 	92 800 	-0.10%
16/01/2026 	46 445 	43 475 	46 445 	43 475 	35 	1 625 575 	6.83%
15/01/2026 	43 475 	40 445 	43 475 	40 445 	24 	1 043 400 	7.49%
14/01/2026 	40 445 	40 445 	43 400 	43 400 	55 	2 224 475 	0.00%
13/01/2026 	40 445 	40 000 	40 445 	40 000 	29 	1 172 905 	7.50%
12/01/2026 	37 625 	35 005 	37 625 	35 005 	7 	263 375 	7.50%
09/01/2026 	35 000 	35 000 	35 000 	35 000 	57 	1 995 000 	-6.67%
08/01/2026 	37 500 	37 500 	37 500 	37 500 	13 	487 500 	0.00%
07/01/2026 	37 500 	37 500 	37 500 	37 500 	1 	37 500 	7.14%
06/01/2026 	35 000 	35 000 	35 000 	35 000 	5 	175 000 	0.00%
05/01/2026 	35 000 	35 000 	35 000 	35 000 	7 	245 000 	0.00%
02/01/2026 	35 000 	35 000 	35 000 	35 000 	7 	245 000 	2.26%
01/01/2026 	34 225 	34 225 	34 225 	34 225 	1 	34 225 	0.00%
31/12/2025 	34 225 	34 225 	34 225 	34 225 	1 	34 225 	0.00%
30/12/2025 	34 225 	34 225 	34 225 	34 225 	4 	136 900 	0.00%
29/12/2025 	34 225 	34 225 	34 225 	34 225 	7 	239 575 	0.00%
26/12/2025 	34 225 	34 225 	34 225 	34 225 	37 	1 266 325 	0.00%
23/12/2025 	34 225 	34 225 	34 225 	34 225 	21 	718 725 	0.00%
22/12/2025 	34 225 	34 225 	34 225 	34 225 	96 	3 285 600 	-7.50%
19/12/2025 	37 000 	37 000 	40 000 	40 000 	10 	370 000 	-7.50%
18/12/2025 	40 000 	40 000 	40 000 	40 000 	5 	200 000 	0.00%
15/12/2025 	40 000 	40 000 	40 000 	40 000 	9 	360 000 	-6.97%
12/12/2025 	42 995 	42 995 	43 000 	43 000 	6 	257 970 	-0.47%
11/12/2025 	43 200 	43 200 	43 200 	43 200 	10 	432 000 	0.00%
10/12/2025 	43 200 	43 200 	43 200 	43 200 	2 	86 400 	0.00%
09/12/2025 	43 200 	43 200 	43 200 	43 200 	1 	43 200 	-0.21%
08/12/2025 	43 290 	43 290 	43 290 	43 290 	5 	216 450 	-0.23%
05/12/2025 	43 390 	43 385 	43 390 	43 385 	2 	86 780 	0.00%
04/12/2025 	43 390 	43 390 	43 390 	43 390 	1 	43 390 	0.00%
03/12/2025 	43 390 	43 300 	43 390 	43 300 	7 	303 730 	-0.02%
01/12/2025 	43 400 	43 400 	43 400 	43 400 	22 	954 800 	0.00%
27/11/2025 	43 400 	40 850 	43 400 	40 850 	12 	520 800 	0.01%
26/11/2025 	43 395 	43 395 	43 495 	43 495 	7 	303 765 	-1.15%
25/11/2025 	43 900 	40 850 	43 900 	40 850 	14 	614 600 	7.47%
24/11/2025 	40 850 	38 000 	40 850 	38 000 	13 	531 050 	7.50%
21/11/2025 	38 000 	38 000 	38 295 	38 295 	38 	1 444 000 	-0.78%
20/11/2025 	38 300 	38 300 	38 305 	38 305 	8 	306 400 	-0.01%
19/11/2025 	38 305 	38 305 	38 305 	38 305 	1 	38 305 	7.49%
18/11/2025 	35 635 	35 635 	35 635 	35 635 	5 	178 175 	7.50%
17/11/2025 	33 150 	32 000 	33 150 	32 000 	6 	198 900 	7.49%
14/11/2025 	30 840 	30 840 	30 840 	30 840 	6 	185 040 	7.49%
13/11/2025 	28 690 	26 700 	28 690 	26 700 	12 	344 280 	7.49%
12/11/2025 	26 690 	26 690 	26 690 	26 690 	1 	26 690 	7.49%
11/11/2025 	24 830 	24 830 	24 830 	24 830 	1 	24 830 	7.49%
10/11/2025 	23 100 	23 020 	23 100 	23 020 	4 	92 400 	0.35%
07/11/2025 	23 020 	23 020 	23 020 	23 020 	- 	0 	0.07%
06/11/2025 	23 005 	23 005 	23 005 	23 005 	7 	161 035 	0.02%
30/10/2025 	23 000 	23 000 	23 000 	23 000 	10 	230 000 	6.98%
