Date 	Closing 	Further down 	Higher 	Opening 	Volume Titles 	FCFA Volume 	Variation %
27/01/2026 	1 650 	1 650 	1 710 	1 710 	5 948 	9 814 200 	-3.79%
26/01/2026 	1 715 	1 620 	1 715 	1 620 	20 739 	35 567 385 	5.54%
23/01/2026 	1 625 	1 525 	1 625 	1 525 	10 766 	17 494 750 	7.26%
22/01/2026 	1 515 	1 500 	1 515 	1 500 	9 371 	14 197 065 	1.68%
21/01/2026 	1 490 	1 480 	1 490 	1 480 	5 898 	8 788 020 	0.00%
20/01/2026 	1 490 	1 485 	1 490 	1 485 	3 273 	4 876 770 	0.34%
19/01/2026 	1 485 	1 455 	1 485 	1 455 	3 448 	5 120 280 	2.06%
16/01/2026 	1 455 	1 455 	1 455 	1 455 	2 119 	3 083 145 	0.00%
15/01/2026 	1 455 	1 450 	1 455 	1 450 	3 567 	5 189 985 	0.00%
14/01/2026 	1 455 	1 425 	1 455 	1 425 	4 486 	6 527 130 	2.11%
13/01/2026 	1 425 	1 395 	1 425 	1 395 	2 083 	2 968 275 	2.15%
12/01/2026 	1 395 	1 395 	1 395 	1 395 	7 157 	9 984 015 	0.00%
09/01/2026 	1 395 	1 385 	1 395 	1 385 	1 319 	1 840 005 	0.00%
08/01/2026 	1 395 	1 395 	1 395 	1 395 	2 954 	4 120 830 	0.00%
07/01/2026 	1 395 	1 380 	1 395 	1 380 	3 774 	5 264 730 	1.09%
06/01/2026 	1 380 	1 380 	1 390 	1 390 	2 807 	3 873 660 	-2,13%
05/01/2026 	1 410 	1 395 	1 410 	1 395 	2 482 	3 499 620 	0.00%
02/01/2026 	1 410 	1 400 	1 410 	1 400 	5 488 	7 738 080 	0.71%
01/01/2026 	1 400 	1 400 	1 420 	1 420 	2 066 	2 892 400 	0.00%
31/12/2025 	1 400 	1 400 	1 420 	1 420 	2 066 	2 892 400 	-0.36%
30/12/2025 	1 405 	1 400 	1 405 	1 400 	14 136 	19 861 080 	0.36%
29/12/2025 	1 400 	1 390 	1 400 	1 390 	2 019 	2 826 600 	0.72%
26/12/2025 	1 390 	1 390 	1 395 	1 395 	4 270 	5 935 300 	0.36%
25/12/2025 	1 385 	1 385 	1 395 	1 395 	5 402 	7 481 770 	0.00%
24/12/2025 	1 385 	1 385 	1 395 	1 395 	5 402 	7 481 770 	-0.72%
23/12/2025 	1 395 	1 395 	1 400 	1 400 	13 334 	18 600 930 	-0.36%
22/12/2025 	1 400 	1 400 	1 400 	1 400 	32 491 	45 487 400 	-2.78%
19/12/2025 	1 440 	1 435 	1 440 	1 435 	1 939 	2 792 160 	0.35%
18/12/2025 	1 435 	1 435 	1 445 	1 445 	821 	1 178 135 	0.70%
17/12/2025 	1 425 	1 425 	1 430 	1 430 	5 012 	7 142 100 	0.00%
16/12/2025 	1 425 	1 425 	1 430 	1 430 	1 827 	2 603 475 	-0.35%
15/12/2025 	1 430 	1 430 	1 430 	1 430 	2 086 	2 982 980 	0.00%
12/12/2025 	1 430 	1 430 	1 440 	1 440 	1 192 	1 704 560 	-0.69%
11/12/2025 	1 440 	1 440 	1 440 	1 440 	2 436 	3 507 840 	0.00%
10/12/2025 	1 440 	1 440 	1 440 	1 440 	1 304 	1 877 760 	-0.69%
09/12/2025 	1 450 	1 400 	1 450 	1 400 	13 627 	19 759 150 	3.57%
08/12/2025 	1 400 	1 400 	1 400 	1 400 	6 355 	8 897 000 	0.00%
05/12/2025 	1 400 	1 390 	1 400 	1 390 	11 932 	16 704 800 	0.00%
04/12/2025 	1 400 	1 400 	1 435 	1 435 	11 150 	15 610 000 	-3,11%
03/12/2025 	1 445 	1 445 	1 450 	1 450 	1 927 	2 784 515 	-0.34%
02/12/2025 	1 450 	1 450 	1 450 	1 450 	1 507 	2 185 150 	0.00%
01/12/2025 	1 450 	1 390 	1 450 	1 390 	1 476 	2 140 200 	-2,68%
28/11/2025 	1 490 	1 490 	1 500 	1 500 	8 896 	13 255 040 	-0.33%
27/11/2025 	1 495 	1 495 	1 505 	1 505 	2 040 	3 049 800 	-3.24%
26/11/2025 	1 545 	1 500 	1 545 	1 500 	5 701 	8 808 045 	-0.96%
25/11/2025 	1 560 	1 560 	1 560 	1 560 	3 243 	5 059 080 	-0.95%
24/11/2025 	1 575 	1 430 	1 575 	1 430 	7 509 	11 826 675 	7.14%
21/11/2025 	1 470 	1 430 	1 470 	1 430 	2 270 	3 336 900 	2.80%
